Quem era o líder europeu no auge da força e da glória em 1807?;Napoleão Bonaparte.
Início das experiências de imigração dirigida;Suíços e alemães no Brasil e AL.
Pioneiros da imigração na AL;Europeus, coolies chineses, indianos, javaneses.
Caracterização do início do séc. XIX na AL;Primórdios da primeira globalização latino-americana.
Como foi a transição do monopólio no Brasil?;Precedeu a independência e sinalizou seu início.
Como foi a transição do monopólio na AL hispânica?;Acompanhou ou seguiu a independência.
Característica do processo no Brasil;Regular, centralizado, formal, sob dependência da Inglaterra.
Documentos formais do processo no Brasil;Carta régia de 1808, decretos, tratados de 1810.
Como foi o processo na América espanhola?;Fragmentário e irregular, vinculado à guerra de independência.
Motivo das variações no processo espanhol;Espanha passou de aliada a vítima da França e voltou a se alinhar aos franceses.
Elementos informais do processo na AL hispânica;Contrabando, arranjos ad hoc, flexibilização prática.
Alternância no processo comercial hispano-americano;Flexibilização vs. reafirmação monopolista.
Percentual das exportações inglesas para AL (1809-1811);35% do total das vendas externas da Inglaterra.
Valor médio anual exportado pela Inglaterra para AL (1820-1850);5 milhões de libras esterlinas (metade AL hispânica, metade Brasil).
Relação do Brasil com as exportações inglesas em 1812;"Importou 25% a mais que a Ásia inteira; 4/5 das vendas à América do Sul."
Participação do Brasil nas exportações britânicas pós-1815;Absorvia 2/3 das vendas às colônias estrangeiras na AL.
Produtos principais exportados pela Inglaterra ao Brasil;Manufaturados de algodão (maioria), seguidos de lãs.
Característica constante do comércio Inglaterra-Brasil;Desequilíbrio: Brasil como grande mercado, mas fonte secundária de importações britânicas.
Balança comercial em 1812 entre Inglaterra e Brasil;"Exportações britânicas: 2 mi £; importações do Brasil: <700 mil £."
Produto principal exportado pelo Brasil para a Inglaterra em 1820;Algodão (900 mil £ do total de 1,3 mi £ importados).
Frase de Manchester sobre comércio anglo-brasileiro;Brasil seria importante mercado para manufaturas inglesas, mas fonte secundária de importações britânicas.
Entidade criada por 113 comerciantes de Londres em 1808;Sociedade dos Negociantes Ingleses que Traficam para o Brasil.
Número de estabelecimentos britânicos no RJ em 1811;75 estabelecimentos.
Efeito da concorrência inglesa no comércio local brasileiro;Antigos donos do comércio em “completa decadência” (Strangford).
Papel do ressentimento econômico na recolonização portuguesa;Perda das vantagens do monopólio motivou política de recolonização após 1820.
Percentual das receitas portuguesas de tarifas e monopólios (época Pombal);Quase 40% das receitas públicas vinham do comércio com o Brasil.
Dependência da indústria portuguesa em relação ao Brasil;90% das manufaturas portuguesas tinham o Brasil como mercado cativo.
Papel das reexportações nas exportações lusas antes de 1807;Representavam 65% das vendas ao exterior, 90% passando por Lisboa.
Conclusão de Valentim Alexandre sobre perdas de Portugal;Perdeu importante fonte de capital e mercado, afetando finanças e indústria artesanal/manufatureira.
Fase de recuperação parcial do entreposto lisboeta;Entre 1814 e 1818 (devido destruição de frotas europeias de longo curso).
Queda drástica das exportações portuguesas;A partir de 1819, colapso de 90% nas exportações de artigos coloniais.
Contradição do regime liberal português pós-1820;Tentativa de restaurar monopólio do Antigo Regime.
"""Conformação"" aprovada após separação";Taxa de 55% sobre bens estrangeiros no Brasil e 12% sobre exportações brasileiras a terceiros.
Última medida econômica de Portugal sobre o Brasil colonial;A “conformação” (Almeida, 2001:101).
Natureza da independência brasileira em comparação à AL;"Evolução gradual, não ruptura brusca; luta limitada e breve."
Expectativa de aceitação externa da independência brasileira;Deveria ser mais fácil por ser monarquia, liderada por príncipe herdeiro da metrópole.
Principal obstáculo ao reconhecimento externo;Ruptura e guerra com Portugal, aliado da Grã-Bretanha.
Condição para aceitação de novos Estados no cenário mundial (época);Reconhecimento de legitimidade pelas grandes potências.
Potências decisivas para reconhecimento de independências;Inglaterra, França, Áustria e Rússia (ordem decrescente).
O fator mais decisivo para países transatlânticos;Decisão da Grã-Bretanha (potência naval e mercantil).
Condições centrais para reconhecimento britânico;Acordos de liberdade de comércio e abolição do tráfico de escravos.
Qual condição já estava resolvida no Brasil antes do reconhecimento?;Liberdade de comércio (abertura dos portos e tratado de 1810).
Questão mais espinhosa para o reconhecimento britânico;Abolição do tráfico de escravos.
Dificuldade adicional específica do Brasil em relação ao reconhecimento;Aliança anglo-lusitana, inexistente para hispano-americanos.
Forma única do processo de reconhecimento brasileiro;Processo tripartite com mediação da Inglaterra entre Portugal e Brasil.
Período da 1ª fase do reconhecimento;Ago/1822 a jul/1823, sob José Bonifácio.
Período da 2ª fase do reconhecimento;Pós-queda de Bonifácio até tratado de 29/ago/1825 e reconhecimentos em 1826.
Anos dos reconhecimentos retardatários;Rússia (1827) e Espanha (1834).
Documento que inicia fase preparatória do reconhecimento;Manifesto aos Governos e Nações Amigas, 06/ago/1822.
Data do Manifesto aos Governos e Nações Amigas;06/08/1822 (um mês antes do 7 de setembro).
Ideia defendida pelo Manifesto de 06/08/1822;Vontade geral do Brasil pela independência, denúncia de tentativa de restauração do sistema colonial.
Conceito ainda presente no início do processo de independência;Coroa bifronte, ação como defesa do Reino Unido e não insubordinação.
Quem abandona a ideia de conciliação primeiro?;José Bonifácio, passando a trabalhar pela separação definitiva.
O que o conceito de Reino Unido nunca representou na prática;Predomínio de interesses brasileiros ou ascensão de brasileiros a dignidades de governo.
Frase de José Bonifácio revelando a exclusão dos brasileiros;“se eu fora fidalgo de polpa ou europeu…”
Caso único entre fundadores da independência latino-americana;José Bonifácio: não era militar nem jurista, mas homem de ciência.
Primeiro projeto coerente de modernização do país;"Concebido por José Bonifácio; cedo abandonado pela elite imperial."
Fórmula de independência imposta por José Bonifácio;Monarquia constitucional, liberalismo moderado, centralização.
Base de apoio territorial ao projeto de Bonifácio;Triângulo Rio de Janeiro - São Paulo - Minas Gerais.
Proposta de Bonifácio para Buenos Aires (maio/1822);Confederação ou tratado defensivo com o Brasil contra manobras europeias.
Documento de Bonifácio que antecipou o discurso de Monroe;Instruções a Antônio Manuel Corrêa da Câmara em 1822.
Personalidade de Bonifácio nas negociações com os ingleses;Firmeza, ausência de sentimento de inferioridade, realismo.
Instrução ao primeiro encarregado em Londres, Felisberto Brant;Brasil não temia potências europeias, poderia fechar portos se não reconhecessem independência.
Posição de Bonifácio sobre o tratado de 1810;Sua vigência dependia apenas do governo brasileiro após dissolução do pacto com Portugal.
Ação de Bonifácio em abril de 1823 em relação aos ingleses;Ordenou Brant a se retirar de Londres por manobras dilatórias britânicas.
Posição de Bonifácio sobre o tráfico de escravos;Pessoalmente contra, mas recusou abolir de imediato em troca de reconhecimento.
Motivo para Bonifácio recusar abolir o tráfico naquele momento;Ausência de condições políticas e econômicas para realizar a abolição imediatamente.
Fim da atuação de Bonifácio no processo de reconhecimento;Saída do ministério, golpe de D. Pedro I, prisão e exílio de Bonifácio.
Quem assumiu o processo de negociação após Bonifácio;Grupo ligado a interesses dinásticos de D. Pedro I.
Legado diplomático de Bonifácio;Firmeza e fidelidade aos interesses do Estado acima de interesses de facções e governantes.
Data da ratificação do tratado de reconhecimento por D. João VI;Novembro de 1825
Frase do embaixador inglês em Lisboa sobre a ratificação de 1825;“Selo final da emancipação total da América.”
Obra que sintetiza o sentido do processo de reconhecimento;Britain and the Independence of Latin America (C.K. Webster, 1938)
Objetivo central de D. Pedro no processo de reconhecimento;Preservar posição da Casa de Bragança em ambos hemisférios e sua própria predominância.
Papel da Grã-Bretanha no reconhecimento do Brasil;"Mediação essencial entre Portugal e Brasil; exigiu tratado comercial e pressão por abolição do tráfico."
Mudança de perspectiva após saída de José Bonifácio;Passagem de foco no Brasil independente para os interesses dinásticos pessoais de D. Pedro.
Reconhecimento pelos EUA ao Brasil;1824, sem grandes consequências práticas.
Citação de Canning sobre o equilíbrio de poder;“Dei vida ao Novo Mundo para restabelecer o equilíbrio do Velho.”
Dupla interpretação britânica da aliança com Portugal;Usada para pressionar Portugal a reconhecer o Brasil ou ameaçar o Brasil com a frota inglesa.
Medo britânico que apressou reconhecimento de hispano-americanos;Risco de reconquista espanhola sob influência francesa.
Diplomata britânico que concluiu mediação de reconhecimento;Sir Charles Stuart
Três dificuldades centrais nas negociações de reconhecimento;"1) Direitos de sucessão ao trono português; 2) Dívida de Portugal; 3) Título imperial de D. João."
Posição sobre direitos de sucessão ao trono português;O tema ficou fora do tratado, mantendo futura posição de D. Pedro em aberto.
Dívida assumida pelo Brasil no tratado de reconhecimento;2 milhões de libras esterlinas (valor final foi menor).
Crítica de Oliveira Lima à dívida do tratado;“Compra da independência” deixou estigma na monarquia brasileira.
Reação ao título de “imperador do Brasil” assumido por D. João;Causou indignação e crise política no Império.
Citação de Canning sobre o futuro de D. Pedro;“O futuro que o imperador se está preparando para si mesmo é outra história.”
Data da morte de D. João VI, acelerando a sucessão;1826
Principal custo imposto pela Grã-Bretanha ao Brasil pelo reconhecimento;Transferência de privilégios britânicos no Brasil e Reino Unido + pressão pela abolição do tráfico
Situação do Brasil em 1825 que o diferenciava de 1810;Já sem ameaça de ataque estrangeiro, tropas portuguesas expulsas, não dependia da frota inglesa
Interesses pessoais de D. Pedro no reconhecimento;Manter posição dinástica e legitimidade da Casa de Bragança
Principal vantagem britânica no tratado de reconhecimento;Garantia de privilégios comerciais e manutenção de vantagens anteriores no Brasil
Interesse britânico no tratado com o Brasil segundo Canning;"""Objeto de muito maior importância... que os tratados com Portugal."""
O que a Inglaterra ameaçou a Portugal caso não reconhecesse o Brasil até meados de 1825;Iria negociar diretamente com o Brasil, reconhecendo-o unilateralmente
Diplomata britânico que pressionou para assinatura dos tratados;Sir Charles Stuart
Tratados firmados por Stuart com o Brasil;Um tratado de comércio e outro sobre o tráfico
Crítica de Manchester à diplomacia brasileira;Falta de firmeza e incompetência dos negociadores brasileiros
Motivo do cancelamento dos tratados iniciais por Canning;Cláusulas sobre direito de visita/busca em guerra e Juiz Conservador
Diplomata britânico que substituiu Stuart e corrigiu os tratados;Robert Gordon
Tempo de validade do tratado comercial corrigido;15 anos, expirando dois anos após notificação de revogação
Substituição do tratamento preferencial inglês no Brasil;Cláusula da “nação mais favorecida”
Tarifa geral de importação estabelecida no Brasil em 1828;15% para todos os países
Medida fiscal tomada pelo Brasil em 1836 devido a dificuldades;Taxa de 8% sobre exportações
Participação das exportações inglesas ao Brasil em 1825;Metade das vendas ao EUA e quase o total às Antilhas britânicas
Produto brasileiro de maior interesse no mercado inglês;Algodão em rama
Privilégio britânico mantido mesmo após a independência;Jurisdição especial do Juiz Conservador
Juízo de Manchester sobre os privilégios britânicos no Brasil independente;Continuidade clara dos privilégios britânicos de Portugal para o Brasil independente
Situação do comércio vs tráfico no reconhecimento;Comércio ficou inalterado, mas tráfico foi pressionado pela Grã-Bretanha para abolir em 3 anos
Problema mais complicado da independência para o Brasil segundo Webster;Questão do tráfico de escravos
Primeira irrupção da modernidade nas relações internacionais;Luta pela abolição do tráfico (questão moral/direitos humanos x interesses econômicos)
Papel propulsor da luta contra o tráfico;Grã-Bretanha pós-Revolução Industrial
Razões britânicas para combater o tráfico;Mistura de iluminismo, abolicionismo religioso (Wilberforce) e interesses econômicos
Maior obstáculo britânico no combate ao tráfico;Portugal, responsável por 46% dos escravos transportados
Porcentagem de escravos levados aos EUA no tráfico atlântico;Apenas 7% (500 mil escravos)
Maior destino do tráfico atlântico;Brasil, com mais de 4 milhões de escravos (2 em cada 5 escravos desembarcados nas Américas)
Razão da necessidade constante de tráfico no Brasil;Baixa taxa de reprodução e alta mortalidade dos escravos no cativeiro
Visão de José Bonifácio sobre a escravidão;Detestava a escravidão, dava exemplo construindo sua casa com trabalhadores livres
Hipótese de Joaquim Nabuco sobre José Bonifácio;Oposição à escravidão pode ter encerrado sua carreira política precocemente
Visão de Bernardo Pereira de Vasconcelos sobre a escravidão;"""A África tem civilizado a América"" (defesa da escravidão como base da civilização material)"
Por que a luta contra o tráfico prolongou-se no Brasil;Tocava a estrutura econômica e ameaçava a classe dominante, gerando choques internos e com a Inglaterra
Divisão do problema do tráfico no período;Três fases, começando com o Tratado de Amizade e Aliança de 1810
Artigo X do Tratado de 1810;Portugal prometia cooperar para gradual abolição do tráfico e não permitir nas costas da África não portuguesas
Territórios que Portugal não abria mão no tráfico;Cabinda e Molembo (disputados com a França), Ajudá (Daomé) e Costa da Mina ao norte do Equador
Consequência da interpretação errada do Artigo X;Captura de navios de traficantes da Bahia e Pernambuco, gerando revolta
Medo de Strangford após capturas de navios negreiros;Temia rebelião na Bahia devido ao “clamor universal e descontentamento” entre portugueses e brasileiros
Evento que abre a segunda etapa da questão do tráfico;Assinatura, durante o Congresso de Viena (1815), de duas convenções: indenização inglesa e proibição do tráfico ao norte do Equador
Convenção adicional em 1817 (Castlereagh);Incluiu direito de visita e detenção de navios suspeitos em paz, para julgar em tribunais mistos
Terceira etapa do processo do tráfico;Aguarda o reconhecimento da independência do Brasil
Artigo III do Tratado de Paz e Aliança;Brasil prometia não aceitar colônias portuguesas no Império (visava Angola)
Interesse de Angola em aderir ao Brasil;Relações mercantis mais fortes com Brasil, dois dos três deputados enviados a Lisboa apoiavam o Brasil
Relação de Eusébio de Queirós com Angola;Pai do político abolicionista brasileiro nasceu em Luanda, deputado angolense em Lisboa
Data do tratado que proíbe definitivamente o tráfico;13 de março de 1827, proibindo tráfico após três anos (13/03/1830)
Tentativa do Brasil de prorrogar a data do fim do tráfico;Recusada terminantemente pela Inglaterra
Quando o tráfico se tornou ilegal do ponto de vista formal;A partir de 13 de março de 1830
Reação interna ao tratado de abolição do tráfico;Revolta e indignação na Assembleia Geral, mas sem efeito prático (imperador tinha prerrogativa exclusiva)
Consequência política do tratado sobre o tráfico para D. Pedro I;Isolamento político, posições autoritárias, desgaste que contribuiu para a abdicação
Razão do alto custo político do reconhecimento segundo Manchester;“Preço da Inglaterra pelo reconhecimento foi fator sério na queda de D. Pedro I”
Efeitos práticos do tratado sobre o tráfico;Tratado ineficaz, tráfico aumentou 10x nos 3 anos seguintes, mantido via contrabando
Número estimado de escravos introduzidos ilegalmente após 1830;Meio milhão ou mais
Número estimado de escravos trazidos de 1800 a 1830;Cerca de 750 mil
Total de escravos trazidos nos primeiros 50 anos do século XIX;Mais de 1 milhão, metade ilegalmente
Comparação com período colonial;3 milhões em 300 anos vs 1 milhão em 50 anos (Bethell, 1970)
Principal característica das relações internacionais brasileiras entre a chegada da família real e a abdicação;Eixo assimétrico das relações, com preponderância inglesa favorável à Grã-Bretanha
Região sul da América com maior interação e conflito entre Brasil e países vizinhos;Região do Rio da Prata, com presença luso-brasileira e espanhola
Situação comercial do Brasil com o mercado platino em 1822;Segundo maior exportador para o mercado platino, atrás apenas da Inglaterra
Obstáculo principal para relações construtivas com países vizinhos;Incorporação da Banda Oriental ao Império sob o nome de Província Cisplatina
Origem da guerra da Cisplatina;Expedição dos 33 Orientais comandada por Lavalleja em 1825
Desvantagem logística do Império do Brasil na guerra;Distância do Rio de Janeiro à área de combate, favorecendo argentinos e uruguaios
Resultado da Batalha de Passo do Rosário (Ituzaingó);Derrota das forças brasileiras
Papel dos oficiais e marinheiros ingleses na guerra;Fortes contingentes em ambas as marinhas, inclusive comandantes
Impacto do bloqueio brasileiro a Buenos Aires;Graves prejuízos ao comércio portenho e britânico, motivando intervenção inglesa
Finalização da guerra da Cisplatina;Convenção Preliminar de Paz (agosto 1828) criando a República Oriental do Uruguai
Atuação da Inglaterra na solução do conflito;Mediação decisiva, Ponsonby descreveu como “pusemos um algodão entre dois cristais”
Crítica de Luiz Francisco da Veiga à guerra da Cisplatina;Considera a revolta justa e a guerra um desastre causado pela prepotência brasileira
Relação do Império com países andinos e do Pacífico na época;Pouca interação, com incidente em Chiquitos e postura de desconfiança
Tentativa de coligação hispano-americana contra o Brasil;Liderada por Buenos Aires, com Bolívar consultando ingleses para evitar conflito
Conselho inglês dado a Bolívar e Santander sobre o Brasil;Manter abstenção de intervenção para não desgostar a Grã-Bretanha
Participação do Brasil no Congresso Anfictiônico do Panamá;Nomeou representante que nunca compareceu
Proposta de Canning para o conflito da Cisplatina;Que fosse julgado pelo Congresso Anfictiônico, sem execução prática
Qual a consequência principal do fracasso da Guerra da Cisplatina para o Brasil?;Evidenciou a fragilidade do Império e sua baixa capacidade de mobilizar recursos decisivos.
Como Canning atuou para resolver o impasse da Guerra da Cisplatina?;Interveio impondo uma “terceira via” para mediar o conflito entre Brasil e Províncias Unidas.
Qual foi o impacto econômico da Guerra da Cisplatina no Brasil?;Despesas militares ruinosas que agravaram a economia vulnerável e endividada, gerando motins em 1828.
O que ocorreu com a sucessão portuguesa após a morte de D. João VI em 1826?;Pedro abriu mão do trono em favor da filha D. Maria II, que foi usurpada pelo irmão Miguel, gerando crise dinástica.
Qual o efeito da aclamação de D. Miguel em 1828 para Pedro I?;Fortaleceu sua ideia fixa de restaurar os direitos usurpados e preparar a desforra contra os miguelistas.
Como a Revolução de Julho de 1830 na França influenciou o Brasil?;Reforçou a crise interna brasileira por associar a monarquia a um regime autocrático e lusitano desgastado.
O que foi o “Sete de Abril” de 1831?;A abdicação de Pedro I em favor de seu filho e sua partida para Portugal.
O que Sérgio Buarque de Holanda destaca sobre o período entre 1808 e 1831?;Uma transação fecunda entre o passado colonial e as instituições nacionais brasileiras.
Quais as características da construção institucional do Brasil nesse período?;Monarquia constitucional, centralização administrativa, espírito moderadamente liberal, relativa estabilidade política e continuidade da estrutura socioeconômica escravista.
Quando as ameaças desagregadoras à unidade nacional se tornariam mais graves?;Durante os turbulentos dias da Regência, após a abdicação de Pedro I.
Qual o “fio invisível” que conecta os episódios maiores do período da Independência?;A tensão entre interesses metropolitanos (portugueses) e locais (brasileiros).
Como a emancipação do Brasil é descrita nesse período?;Como uma obra em construção, simultaneamente de demolição e edificação, marcada pela continuidade de interesses da monarquia dual.
Que conceito de Gramsci é usado para descrever o período do Brasil pós-Independência?;A crise como o momento em que o velho não morre e o novo luta para nascer, com sintomas mórbidos evidentes.
Por que o autor considera anacrônico o acordo de 1827?;Porque aceitava imposições que só fariam sentido se o Brasil continuasse um protetorado da Inglaterra, o que já não era o caso.
Qual foi a diferença entre a supremacia britânica em Portugal no século XVIII e no Brasil no século XIX?;"Em Portugal, a Inglaterra tornou o país praticamente um vassalo econômico e político; no Brasil, houve resistência vigorosa e, por volta de 1845, os favores britânicos foram revogados."
O que aconteceu com os tratados comerciais e de tráfico de escravos assinados com a Inglaterra após a independência?;Foram declarados nulos, e a corte do Rio entrou em revolta contra a pressão do Foreign Office.
Qual foi a condição que possibilitou a reação brasileira contra a influência britânica?;A mudança da realidade estratégica nacional: o Brasil independente não dependia mais da proteção naval inglesa e deixou de ser apêndice do sistema europeu.
Como o Brasil passou a se inserir no sistema internacional após a independência?;Passou a integrar o sistema internacional das Américas, em fase incipiente de formação, com interesses próprios.
Quais seriam os principais determinantes da atuação internacional do Brasil a partir da independência?;Os objetivos e interesses projetados pelos dirigentes brasileiros, tanto para afirmar independência como para resistir à abolição do tráfico.
"Em que aspectos os dirigentes brasileiros agiram ""para o mal"" na política internacional?";Pela obstinada resistência à abolição do tráfico e pela responsabilidade na emergência de rivalidades semelhantes às do velho sistema europeu, especialmente no Rio da Prata.
Como evoluiu a inserção do Brasil no mundo após a independência?;Mudaram os problemas e respostas diplomáticas, mas numa linha de crescente afirmação de independência como obra aberta.
;
uais foram os dois movimentos fundamentais que marcaram o primeiro terço do século XIX no Brasil?;A implantação mundial do capitalismo e a construção de um Estado nacional no Brasil.
Qual era a situação do Brasil em 1800 em relação ao capitalismo e independência?;As noções de capitalismo e país independente eram apenas temas de intelectuais, cenário imaginário.
O que já estava estabelecido no Brasil em 1830?;O país nascente estava estabelecido como um país independente e integrado ao mundo capitalista.
Como era a economia do Rio Grande do Sul no início do século XIX?;Girava em torno da produção de gado e muares, trocados por escravos, farinha e aguardente, com um circuito comercial regional.
Quais produtos o Rio Grande do Sul exportava por rotas marítimas na virada do século XIX?;Trigo, charque, couros, graxas, navios, sebo e velas, principalmente para o mercado interno.
Quais eram os principais portos de destino das exportações do Rio Grande do Sul em 1810?;Rio de Janeiro (68%) e Salvador (21%).
Que produtos importados abasteciam a capitania do Rio Grande do Sul?;Tecidos e escravos, vindos principalmente do Rio de Janeiro (54%) e Salvador (32%).
Como se caracterizava a economia das regiões que hoje são Santa Catarina e Paraná?;"Santa Catarina tinha um planalto ligado ao gado e muares e uma região litorânea com produção de óleo de baleia; Paraná tinha produção de erva-mate e pecuária."
Qual era o centro econômico paulista no início do século XIX?;Sorocaba, importante nos negócios de mula e gado.
Quais regiões de São Paulo eram importantes para a produção de açúcar?;Oeste (Itu e Campinas) e o vale do rio Paraíba do Sul (Guaratinguetá).
Qual era o principal meio de transporte para o comércio interno brasileiro no século XVIII?;As mulas negociadas em Sorocaba, usadas nas caravanas dos tropeiros.
Até onde as caravanas de mulas dos tropeiros alcançavam na virada do século XIX?;Chegavam até o atual Mato Grosso, no extremo oeste.
O que aconteceu com as monções que abasteciam as minas de ouro a partir da década de 1770?;Começaram a desaparecer com a queda da produção do ouro, mas a economia local se reciclou em torno da pecuária.
Como os tropeiros dominaram o comércio na região central do Brasil?;Abrindo caminho terrestre pelo cerrado ligando Mato Grosso a Goiás, substituindo o comércio monçoneiro fluvial.
Como era o ciclo minerador em Goiás no século XVIII/XIX, segundo Americano do Brazil?;Apresentava descentralização quase total, com nomadismo constante devido à curta duração das lavras e dispersão dos depósitos de ouro.
Quem dominava os negócios comerciais em Goiás durante o ciclo minerador?;Os tropeiros, que vendiam produtos e buscavam ouro em diversas áreas, inclusive em meio a guerras com índios e quilombos.
Para que se transformou Goiás após a decadência da produção de ouro?;Em uma zona pecuária ligada ao sul e ao vale amazônico pelas bacias do Araguaia e Tocantins.
Como funcionava o circuito comercial na região amazônica?;Baseava-se em incursões fluviais com canoas que partiam de Belém e Manaus, fazendo trocas diretas com índios (resgate).
Qual era o centro econômico da região amazônica?;O porto de Belém.
Como tropeiros e regatões contribuíam para a integração do interior oeste do Brasil?;Tropas terrestres e caravanas fluviais uniam as regiões, promovendo a integração comercial do interior oeste.
Qual era a principal atividade econômica da região Nordeste no início do século XIX?;Exportação de algodão e arroz, principalmente no Maranhão.
Que região era pioneira na criação de gado no Nordeste?;O sul do Maranhão e o interior do Piauí.
Para onde as boiadas eram conduzidas no Nordeste?;Na direção do vale do Jaguaribe, no Ceará, e depois para Aracati, onde havia charqueadas.
Para quais cidades o charque de Aracati era embarcado?;Recife e Salvador.
Que importância tinha o algodão na região litorânea do Nordeste no final do século XVIII?;Tornou-se a principal cultura, especialmente em Fortaleza, representando 90% das exportações para a metrópole na virada do século.
Qual cidade nordestina era o centro da produção de açúcar e comércio do interior?;Recife.
Para onde Pernambuco enviava escravos?;Para todo o litoral norte, o vale amazônico, e o sertão do Piauí e Ceará.
Que região ligava Salvador a Minas Gerais pelo vale do rio São Francisco?;Uma artéria comercial importante para o sertão, passando por regiões mineradoras de ouro e diamantes.
Que culturas e atividades econômicas existiam nessa rota entre Bahia e Minas Gerais?;Mineração de ouro e diamantes, criação de gado, cultivos para abastecimento e algodão para exportação.
Qual era a principal rota de comércio interno no Brasil colonial?;A ligação terrestre entre Minas Gerais e o Rio de Janeiro.
Que produtos principais circulavam de Minas Gerais para o Rio de Janeiro pela rota terrestre?;Tecidos, fumo, produtos pecuários e agrícolas.
Que produtos chegavam ao Brasil pela rota inversa do comércio entre Minas Gerais e Rio de Janeiro?;Produtos importados e escravos.
Como Minas Gerais se posicionava economicamente após a queda da produção de ouro?;Continuava sendo a maior economia regional brasileira, produzindo quase exclusivamente para o mercado interno.
Qual comarca de Minas Gerais teve maior crescimento populacional entre 1776 e 1821?;A comarca do Rio das Velhas, com aumento de 158% da população.
Qual região mineira se desenvolveu como fonte de abastecimento da mineração?;A Zona da Mata, no sul de Minas Gerais.
Quantas tropas semanais enviava São João Del-Rei para o Rio de Janeiro?;Quatro tropas semanais com produtos de abastecimento.
Quantos escravos desembarcavam no Rio de Janeiro nas décadas de 1790 e 1800?;Cerca de 10 mil escravos por ano.
Como mudou o número de navios negreiros chegando ao Rio de Janeiro após a vinda da corte portuguesa?;Dobrou, passando de 21 navios (1796-1808) para 51 navios (1808-1825).
Quantos traficantes de escravos operavam entre 1811 e 1830 no Rio de Janeiro?;Registros indicam 279 traficantes, sendo 13 responsáveis por 42,1% das viagens.
Como era a concentração da riqueza dos traficantes de escravos em Salvador e Rio de Janeiro?;"Muito concentrada; poucos traficantes detinham grandes fortunas."
Quais eram as principais regiões produtoras para exportação na colônia?;Baixada Fluminense e Campos dos Goitacazes no Rio de Janeiro, e a Bahia.
Como cresceu a cultura da cana-de-açúcar em Campos dos Goitacazes?;O número de engenhos cresceu de 34 em 1767 para 400 em 1815.
Qual foi a participação dos portos do Rio de Janeiro e Bahia nas exportações brasileiras?;Responsáveis por 65,2% do total das exportações brasileiras.
Como se caracterizava a economia colonial em termos de mercado interno e comércio?;Havia um amplo mercado interno com uma burguesia comercial formada por tropeiros, atacadistas e grandes traficantes no topo.
Que percentual das exportações portuguesas vinha do Brasil entre 1796 e 1807?;83,7% das exportações das colônias portuguesas para a metrópole.
Qual era o consumo do Brasil em relação aos produtos portugueses?;Consumia 78,4% dos produtos enviados por Portugal para todas as colônias.
Qual porcentagem da produção total brasileira era consumida no mercado interno?;Aproximadamente 85%.
Qual evento em 1808 marcou a transformação econômica e institucional do Brasil?;A chegada da corte portuguesa de d. João, fugindo de Napoleão Bonaparte.
Como o Brasil passou a ser percebido após a chegada da corte em 1808?;Como uma ideia dotada de conteúdo econômico real, mesmo sem independência formal.
Que movimento ocorreu após a Revolução do Porto de 1820 no Brasil?;Os atores anteriores tornaram-se construtores do Estado nacional brasileiro.
O que a independência em 1822 resultou para o Brasil economicamente?;A construção da nação, com novas instituições e práticas econômicas inseridas na ordem capitalista mundial.
Como se deu a passagem para o capitalismo no Novo Mundo em comparação à Europa?;"Na América, não havia uma ordem feudal a ser superada; tudo girava em torno da criação de mercados internos misturando produtores livres e escravos."
Qual era o valor total da produção brasileira de 1800 comparado aos EUA?;"Muito próximo; ambos disputavam a liderança continental por terem aberto brechas no mercantilismo colonial."
Como os Estados Unidos abriram uma brecha no sistema mercantilista colonial?;No século XVII, abastecendo as colônias inglesas do Caribe, dominando o comércio de mercadorias e contrabando.
Quais produtos eram fornecidos pelos coloniais da Nova Inglaterra para as plantations caribenhas?;Comida para escravos, cavalos, bebidas e escravos.
Qual cidade americana era o maior fornecedor de escravos para o Caribe no início do século XIX?;Boston.
Qual evento histórico dos EUA está ligado à brecha comercial no Caribe?;A independência dos EUA em 1776.
O que ocorreu com as colônias caribenhas após a Guerra dos Sete Anos (1755-1763)?;A Inglaterra tomou as colônias de Espanha, França e Holanda, mas depois as devolveu aos antigos proprietários, dificultando o comércio americano.
Como a independência dos EUA influenciou seu comércio com as colônias francesas?;Permitindo o acesso aos mercados coloniais franceses via tratado com a França em 1778.
Como se comportaram as exportações norte-americanas após a independência?;Caíram em relação à Inglaterra, com produtos como tabaco, arroz e trigo mantendo ou diminuindo produção.
Qual foi a crise política e fiscal que quase dissolveu os EUA na década de 1780?;Revolta de agricultores contra impostos em Massachusetts em 1786.
Que solução política surgiu para resolver a crise tributária entre as 13 colônias?;A Constituição dos EUA, promulgada em 1787, com centralização tributária e proteção do mercado interno.
"Qual foi o ""dirty compromise"" nos EUA?";O acordo que manteve o monopólio do tráfico interno de escravos para estados como Virgínia e Geórgia em troca da centralização tributária e proibição da importação de escravos após 20 anos.
Por que o comércio com as Antilhas era vital para os EUA?;"Porque os mercados eram interdependentes: ""Eles não podem nada sem nós e não podemos nada sem eles."" (John Adams)"
Como a produção nas colônias francesas do Caribe evoluiu após o apoio americano?;Dobrou em seis anos (1783-1789), alcançando 8 milhões de libras esterlinas, superando o Caribe inglês em 40%.
