O que motivou a imigração europeia para o Brasil após 1888?;A abolição da escravidão e a necessidade de substituir a mão de obra no café.
Quais foram os ganhos diplomáticos do Brasil com a Primeira Guerra Mundial?;Participação na Conferência Interaliada de Paris e nas negociações de paz de Versalhes, obtenção de navios alemães apreendidos e reembolso de café vendido a casas comerciais alemãs.
Como o Brasil participou da criação da Liga das Nações?;Participou da primeira reunião da Comissão da Liga em fevereiro de 1919, sendo membro temporário do Conselho com apoio dos EUA, defendendo inicialmente o idealismo igualitário dos Estados.
Como mudou a postura diplomática brasileira após a Liga das Nações?;Transitou do idealismo igualitário para o realismo, aceitando a hierarquização imposta pelas potências europeias no Conselho da Liga.
Que medidas Epitácio Pessoa tomou em relação ao Paraguai?;Aproximou Brasil e Paraguai, promovendo cooperação militar e educacional, e apoiando projeto de ferrovia que ligasse o Paraguai ao porto de Santos, melhorando o comércio externo paraguaio.
Qual foi o marco internacional do governo Epitácio Pessoa em 1922?;Centenário da Independência com Exposição Universal no Rio de Janeiro, presença de delegações estrangeiras e destaque para a inserção internacional do Brasil.
Como o governo Bernardes lidou com a Conferência Internacional Americana de 1923?;Resistiu à redução de armamentos por estar em desvantagem naval, apoiou o Pacto de Gondra como forma de evitar conflitos armados e demonstrar que o Brasil não era belicoso.
Qual foi a política comercial do Brasil em relação aos EUA no governo Bernardes?;Resistiu à proposta de acordo com cláusula de nação mais favorecida e assinou um modus vivendi baseado em igualdade de tratamento, mantendo a predominância norte-americana.
Que objetivo diplomático buscou Arthur Bernardes na Liga das Nações?;Conseguir uma cadeira permanente no Conselho da Liga para aumentar o prestígio internacional e interno do Brasil.
Qual foi o resultado da reivindicação de Bernardes à Liga das Nações?;"O pleito fracassou; Bernardes vetou o ingresso da Alemanha, mas a pressão das potências europeias e delegados hispano-americanos levou à retirada do veto, resultando na saída simbólica do Brasil da Liga."
Como foi a política externa de Washington Luís em relação à América do Sul e aos EUA?;"Discreta e introspectiva; manteve relações estreitas com os EUA e cordiais com a Argentina, neutralidade em disputas regionais como Chaco entre Bolívia e Paraguai, retomando relações dinâmicas com o Paraguai."
Qual foi a decisão do Brasil em relação à Liga das Nações sob Washington Luís?;Efetivou a retirada do Brasil da Liga após o prazo de carência, mantendo participação em organismos técnicos e pagamento de contribuições, apesar do apelo do Conselho.
Por que o Brasil não aderiu ao Pacto Briand-Kellog de 1928?;Por não ter sido consultado na elaboração do pacto e considerá-lo redundante, já que a Constituição brasileira determinava o pacifismo do país.
Quais medidas foram tomadas pelo Itamaraty durante Washington Luís para modernizar a diplomacia?;Solucionou pequenos trechos de fronteira, modernizou instalações, reorganizou o serviço diplomático e criou o Serviço Econômico e Comercial para apoiar os diplomatas com informações econômicas.
Qual era a filosofia da política externa de Rio Branco?;Baseava-se no direito internacional, cooperação com os EUA, fortalecimento da defesa própria e cordialidade na América do Sul, defendendo os interesses do Brasil contra países mais fortes.
Como a política externa de Rio Branco beneficiava a economia brasileira?;Atendia à agroexportação de café, facilitava a entrada de imigrantes, investimentos estrangeiros e comércio com os EUA, fortalecendo a posição internacional do Brasil.
Qual foi o impacto da Primeira Guerra Mundial na diplomacia brasileira?;Permitiu ao Brasil participar das negociações de Versalhes e da fundação da Liga das Nações, aumentando seu prestígio internacional.
Como a política externa brasileira mudou após 1922?;Sofreu com tensões internas e erros de avaliação, resultando em descaso nas relações com países sul-americanos e enfraquecimento do dinamismo diplomático.
Qual era a situação da economia brasileira antes de 1930?;O país buscava expandir laços com a economia internacional, sobretudo pelo café, imigrantes e investimentos, mas enfrentava limitações internas e industrialização lenta.
Qual foi o debate monetário relevante na Primeira República?;Discussão sobre adesão ao padrão-ouro versus moeda fiduciária, com divergência entre metalistas e papelistas, refletindo debates internacionais e necessidade de maior elasticidade do meio circulante.
Como funcionava o padrão-ouro na época?;"O ouro era considerado a moeda verdadeira, e o papel-moeda funcionava como certificado conversível; as taxas de câmbio eram fixas segundo a paridade em relação ao ouro."
Por que o padrão-ouro era problemático para economias frágeis como a do Brasil?;A mineração de metais preciosos não garantia a quantidade exata de ouro necessária, limitando a liquidez e gerando riscos para o crescimento econômico.
Qual era o impasse entre metalistas e papelistas no final do Império?;Metalistas queriam contrair a oferta monetária por excesso de papel-moeda, enquanto papelistas defendiam expansão monetária para atender à necessidade de crédito.
"O que significava estar ""abaixo do par"" em relação ao mil-réis?";Significava que o papel-moeda estava desvalorizado em relação à paridade de ouro estabelecida por lei, gerando percepção de ágio sobre o ouro.
Por que mudar a paridade era considerado problemático?;Alterar o conteúdo de ouro da moeda era visto como confisco do poder de compra dos cidadãos e atentava contra convenções jurídicas vigentes.
Qual foi a relevância do Banco Nacional do Brasil criado em 1889?;Criado por Ouro Preto e com apoio do Banque de Paris et des Pays Bas, visava expandir crédito, promover adesão ao padrão-ouro e apoiar o crescimento econômico.
Qual foi a reação do mercado à política econômica inicial da República?;Euforia especulativa: o número de empresas listadas na bolsa passou de cerca de 90 para 450, impulsionando criação de bancos e novos empreendimentos.
O que caracterizou o episódio do Encilhamento?;"Explosão especulativa na bolsa e no sistema bancário, com formação de ""bolhas"", inovação institucional e alavancagem de empresas, muitas sem viabilidade real."
Quem descreveu o Encilhamento em romance e qual foi sua visão?;"O visconde de Taunay, sob pseudônimo ""Heitor Malheiros"", retratou o período como símbolo da nova ordem capitalista sem ética, influenciando a historiografia."
Quais foram os efeitos positivos do Encilhamento?;Formação de novas empresas, crescimento econômico e acumulação de capital, especialmente em São Paulo, apesar da especulação exagerada.
Como a moeda fiduciária foi aceita ao longo do tempo no Brasil?;"Sua aceitação foi gradual; só em 1933 se suspendeu a cláusula ouro temporariamente, e a revogação definitiva ocorreu em 1995 com o Plano Real."
Quantos bancos de emissão Rui Barbosa criou inicialmente e quais distritos abrangiam?;Três bancos: Norte, Sul e Centro (este com a capital), cada um com monopólio sobre seu distrito.
Qual era o limite inicial das emissões e como eram distribuídas?;"450 mil contos no total; metade para o Banco do Centro (Beub) e o restante para os outros dois bancos, proporcional ao lastro em títulos da dívida pública."
Qual foi a grande inovação introduzida por Rui Barbosa nas emissões?;Moeda fiduciária pura, desvinculada do padrão-ouro de 1846, com flutuação cambial sensível às finanças públicas.
O que ocorreu logo após o anúncio do novo sistema bancário em 1890?;Criação de um quarto banco para São Paulo e concessão de emissão acima do lastro aos principais bancos, incluindo Breub, Banco Nacional e Banco do Brasil.
O que foi o Breub e qual era sua função?;Banco da República dos Estados Unidos do Brasil, resultado da fusão de bancos emissores, autorizado a emitir até 500 mil contos, expandindo consideravelmente o papel-moeda inconversível.
Que evento externo impactou o Brasil em 1891 e agravou a crise cambial?;A Crise do Banco Baring em Londres, devido a problemas na Argentina, que reduziu bruscamente a entrada de capitais estrangeiros no Brasil.
Quem sucedeu Rui Barbosa e qual foi o efeito sobre a especulação na bolsa?;"Alencar Araripe e depois o barão de Lucena; a euforia na bolsa começou a ceder com a queda da taxa de câmbio."
O que levou à fusão do Breub com o Banco do Brasil e a criação do BRB?;"Situação crítica dos dois bancos; fusão buscou salvar instituições “too big to fail” e permitir intervenção oficial, incluindo emissão limitada de bônus à indústria."
O que eram os “auxílios à indústria” criados pelo BRB?;Cédulas de pequenas denominações com juros de 4%, equivalentes a papel-moeda, para apoiar empresas consideradas viáveis e preservar bancos em dificuldade.
Quais fatores compunham o ambiente favorável à indústria nos anos 1890?;Proteção aduaneira, desvalorização cambial, leis liberais para companhias anônimas e expansão do crédito, apesar da instabilidade e especulação financeira.
Quanto cresceu a oferta de moeda entre 1889 e 1894?;Cresceu 3,5 vezes, com inflação possivelmente alcançando 20% ao ano.
Quais eram os principais produtos importados que afetavam o custo de vida?;Trigo, charque, azeite e bebidas, componentes da cesta de consumo.
Quem assumiu a presidência em 1894 e quem foi nomeado ministro da Fazenda?;Prudente de Morais como presidente e Rodrigues Alves como ministro da Fazenda.
Qual era o objetivo do plano de Rodrigues Alves com relação aos bancos?;"Reorganização financeira dos bancos via ""encampação"", transferindo emissões para o governo, com possibilidade de liquidação ou estatização do BRB e outros bancos."
Como reagiram os banqueiros estrangeiros à iniciativa de Rodrigues Alves?;Os Rothschild reconheceram a necessidade de conceder tempo ao governo para reorganizar as finanças de forma permanente.
Qual foi o total de papel-moeda em circulação em dezembro de 1896?;712 mil contos, 39% acima do observado em novembro de 1891.
"O que consistia a operação de ""encampação""?";Transferência das emissões bancárias para o governo, substituindo-as por papel-moeda do Tesouro, com ajuste das carteiras e lastros dos bancos.
Qual era o impacto da encampação sobre os ativos dos bancos?;Os bancos ficaram com sérias deficiências patrimoniais, e muitas empresas inviáveis acabaram sendo absorvidas pelo setor público, aumentando a dívida.
O que foi o funding loan de 1898?;Empréstimo de reestruturação da dívida pública brasileira com os Rothschild, incluindo medidas deflacionárias e garantias sobre receitas da Alfândega do Rio de Janeiro.
Quais medidas fiscais acompanharam o funding loan?;"Redução de despesas, aumento da tributação, separação do ""orçamento ouro"" e ""orçamento papel"", visando equilíbrio das contas e pagamento da dívida."
Qual foi a filosofia econômica de Joaquim Murtinho?;"Aplicação do ""darwinismo econômico"", permitindo que indústrias artificiais e excesso de produção de café desaparecessem para restaurar equilíbrio econômico e financeiro."
Quando e como o BRB foi liquidado?;"Em 12 de setembro de 1900, submetido a liquidação extrajudicial; posteriormente, o regime se estendeu a outros bancos da capital."
Quais foram os efeitos da crise bancária e industrial no país?;Apesar de dolorosa, foi considerada benéfica, promovendo o restabelecimento do equilíbrio econômico e financeiro do Brasil
Qual era o efeito do programa de Murtinho sobre o papel-moeda em circulação?;Reduziu 113 mil contos (cerca de 13% do total em 1898) até maio de 1903, com efeitos recessivos no PIB per capita.
Qual foi o impacto no PIB per capita durante a política deflacionista de Murtinho?;O PIB per capita atingiu seu ponto mínimo em 1900, cerca de 20% inferior ao de 1890.
A política de Murtinho conseguiu atingir a paridade cambial de 1846?;"Não; a taxa de câmbio permaneceu em torno de 11 pence por mil-réis, distante da paridade de 1846."
Quem sucedeu Rodrigues Alves na presidência e quem foi seu ministro da Fazenda em 1902-1906?;Rodrigues Alves como presidente e Leopoldo de Bulhões como ministro da Fazenda.
Qual foi o efeito do ciclo econômico internacional favorável na administração de Alves?;Facilitou boom de empréstimos, investimentos públicos e privados, e crescimento do PIB em cerca de 4% ao ano entre 1900 e 1913.
O que ocorreu com o Banco da República sob Rodrigues Alves?;Foi reorganizado e transformado em Banco do Brasil em dezembro de 1905, sob controle do governo federal, com funções de banco comercial e emissão de notas ao par contra ouro.
Qual era a preocupação central de Rodrigues Alves com relação à taxa de câmbio?;Evitar valorização excessiva que prejudicasse a cafeicultura, conciliando valorização cambial com sustentação do setor cafeeiro.
Como cresceu a produção de café entre 1890/1891 e 1901/1902?;De 5,5 milhões para 16,3 milhões de sacas, gerando risco de superprodução e colapso dos preços.
Qual foi o objetivo do Convênio de Taubaté de 1906?;Aquisição financiada e retenção de estoques excedentes de café para sustentar os preços.
Como o financiamento do Convênio de Taubaté foi estruturado?;"Principalmente pelo estado de São Paulo, com empréstimos externos e cobertura do serviço da dívida via novo imposto em ouro sobre cada saca exportada; o governo federal não ofereceu garantias."
Qual lição Murtinho deixou sobre a paridade de 1846?;Reduziu ilusões de que o câmbio poderia retornar aos 27 pence, amadurecendo postura mais pragmática para políticas cambiais futuras.
"O que era a ""Caixa de Conversão"" criada por Afonso Pena?";Instituição que comprava divisas a taxa fixa, emitindo notas próprias para absorver excesso de divisas e manter conversibilidade parcial, permitindo saída automática do padrão-ouro.
Como a Caixa de Conversão diferia de um currency board convencional?;"Não substituía toda a moeda nacional; apenas emitia notas com lastro parcial, economizando reservas em divisas e limitando contração monetária."
Que país adotou mecanismo semelhante à Caixa de Conversão antes do Brasil?;A Argentina, em 1899, com sucesso.
Qual era a função do Banco do Brasil nesse arranjo cambial?;Defender a taxa de câmbio entre os pontos de exportação e importação de ouro, cobrindo também custos de transação segundo regras do padrão-ouro.
"Qual efeito tinha a combinação ""Caixa de Conversão mais valorização do café""?";Era procíclica, tendendo a agravar a superprodução de café a médio prazo.
Como foi o período de 1906 até a Primeira Guerra Mundial em termos cambiais e de crédito?;Ritmo de abundância cambial e crédito, aumento da disponibilidade de divisas e manutenção dos preços do café.
O que ocorreu com o limite de emissões da Caixa de Conversão em 1910?;O limite de 320 mil contos foi atingido, interrompendo emissões e iniciando valorização do câmbio até Hermes da Fonseca triplicar o limite.
Qual crise externa afetou a política de café e borracha em 1913?;"Ação antitruste americana embargou 950 mil sacas de café em Nova York, derrubando preços; preços da borracha também caíram acentuadamente."
Qual era a situação econômica relativa do Brasil em 1890?;PIB per capita de 797 dólares, muito abaixo da Argentina, México, Chile, Estados Unidos e Reino Unido, refletindo atraso econômico e baixo nível de urbanização e educação.
Como evoluiu a população urbana e escolarização entre 1890 e 1910?;"Urbanização passou de 5,7% para 9,8%; escolarização de 2,3% para 3%; analfabetismo manteve-se alto, em torno de 75-85%."
Como se comportou o PIB per capita brasileiro entre 1890 e 1913?;"Caiu 20% de 1890 a 1900, recuperou 35% até 1913, com ganho acumulado de apenas 8,2% no período; continuava atrasado em relação à América Latina e países desenvolvidos."
Qual era a concentração das exportações brasileiras entre 1908 e 1912?;Café 54,2% e borracha 27,3%, totalizando 81,5%, evidenciando alta dependência de poucas commodities.
Como evoluiu a produção de café brasileira de 1890 a 1913?;De 5,4 milhões para 13,7 milhões de sacas, controlando mais de dois terços da oferta mundial.
Como evoluiu a produção e exportação de borracha até 1913?;A borracha ainda representava cerca de 39% das exportações em 1910, mas preços caíram de 600 para metade em 1913, perdendo importância relativa frente ao café.
Qual era a participação da agricultura, indústria e serviços no PIB em 1900 e 1920?;"1900: agricultura 44,6%, indústria 11,6%, serviços 43,8%; 1920: agricultura 38,1%, indústria 15,7%, serviços 46,2%."
Como se deu a industrialização têxtil no período 1880-1915?;Crescimento do setor a partir de bases modestas, com aumento do número de fusos de algodão de 66 mil para cerca de 1,5 milhão, produção de 21 milhões para 471 milhões de metros e empregos de 3,2 mil para 82,3 mil.
Qual foi o único levantamento industrial antes da Primeira Guerra?;Inquérito do Centro Industrial do Brasil de 1907, com 3.250 estabelecimentos e 151 mil trabalhadores.
Qual setor concentrava a maior parte dos trabalhadores em 1907?;A indústria têxtil, com pouco mais de um terço do total de trabalhadores industriais.
Qual era a participação do Rio de Janeiro e de São Paulo na produção industrial em 1907?;"Rio de Janeiro: 38%; São Paulo: 16%."
Quais setores representavam a maior parte do valor da produção industrial?;Têxteis 24,6%, alimentos processados 19,1%, vestuário e calçados 8%, bebidas 8%, totalizando 57,7%.
Qual era a principal fonte de energia da indústria em 1907?;Energia a vapor (73%), seguida de hidráulica (22%) e elétrica (5%).
Como evoluiu o consumo aparente de cimento e aço entre 1901-1913?;"Cimento: 53,3 mil t para 367 mil t (+588%); aço: 95,8 mil t para 488,4 mil t (+410%)."
Qual era a situação da produção de bens de capital no Brasil?;"Limitada, mas com fundições e oficinas de metais produzindo máquinas agrícolas e vagões; maior fabricante: Usina Esperança."
Qual foi o crescimento anual da indústria paulista entre 1905 e 1915?;Cerca de 9,5% ao ano.
Como se deu a substituição de importações no início do século XX?;Proporção de bens de consumo importados caiu de 40,1% (1901/02) para 30,7% (1910-13), especialmente não duráveis, favorecendo produção interna.
Qual era a situação logística e de transporte de matérias-primas?;"Transporte caro e ineficiente; exemplo: algodão de Pernambuco ao Rio custava quase tanto quanto para Liverpool, limitando economias de escala."
Até quando o Brasil se tornou autossuficiente em bens de consumo não duráveis simples?;Até a Primeira Guerra Mundial, especialmente tecidos de algodão mais grosseiros.
Como a política tarifária influenciava a industrialização?;Tarifas criavam efeito protecionista indireto, favorecendo equipamentos importados e encarecendo produtos finais, apesar de objetivos fiscais.
Qual era a participação da receita alfandegária na arrecadação federal?;"1889/90: 53,7%; 1896-99: 70,3%; 1900-05: 51,2%; 1906-13: 52,4%."
Qual era a situação fiscal e tributária do Brasil em 1913?;"Imposto sobre consumo: 10% da receita; dívida interna: 13% do PIB; não havia imposto de renda; concentração de renda elevada."
Qual foi o primeiro impacto da Primeira Guerra Mundial no Brasil?;Crise financeira global, interrupção dos fluxos de capital e inviabilização da conversibilidade.
Quando o Brasil abandonou o padrão-ouro?;Em 4 de agosto de 1914, com o fechamento da Caixa de Conversão.
Qual medida financeira o Brasil tomou em outubro de 1914?;Renovou a moratória de suas obrigações externas via novo funding loan de 15 milhões de libras esterlinas, com suspensão de amortizações até 1927.
Como a guerra afetou as exportações de café?;"Comércio com potências centrais interrompido; parte triangulada com países neutros; restrições das potências aliadas; EUA apenas em 1917."
Qual setor foi menos afetado no curto prazo?;A indústria, que podia aumentar produção para consumo interno e mercados não atendidos pelos beligerantes.
Como a guerra favoreceu a industrialização via substituição de importações?;Redução das importações aumentou a utilização da capacidade instalada, incentivando produção interna de equipamentos simples e novos estabelecimentos industriais.
Qual foi a queda das importações de bens de capital entre 1915 e 1918?;Redução para 1,5 milhão de libras esterlinas, contra 9 milhões em 1913, de 13,2% para 3,6% do total.
Quantos novos estabelecimentos industriais foram criados entre 1915 e 1919?;5.936, com média de 11 empregados e 11 HP, apesar de menor dimensão que pré-guerra.
Quais setores industriais tiveram crescimento durante a guerra?;Têxtil, carne refrigerada/frigorificada, madeira, trabalho de metais e siderurgia (ex.: Companhia Siderúrgica Mineira, 1917).
Como a produção industrial variou durante a guerra?;"1914: -8,7%; 1915: +12,9%; 1916: +11,4%; 1917: +8,7%; 1918: -1,1%; 1919: +14,8%."
Como o setor agrícola foi afetado?;"Flutuações menores; 1914: +6,7%; 1915: -0,9%; 1916: +4,2%; 1917: +3,6%; 1918: +3%; 1919: -4,3%; 1920: +13,4%."
Como os serviços se comportaram?;"Queda de 9,3% em 1914; crescimento contínuo 1915-1920, média anual 6,9%."
Qual foi o impacto na imigração durante a guerra?;Forte queda: 148 mil entradas entre 1915-1919, contra 668 mil em 1910-1914.
Qual medida foi tomada para financiar a compra do café durante a guerra?;Emissão de notas inconversíveis do Tesouro (350 mil contos inicialmente e 300 mil contos em 1917), aumento da tarifa ouro e imposto sobre consumo.
Como o Brasil terminou a guerra quanto ao problema de excesso de café?;Sem excesso de oferta, devido à geada de 1918 que reduziu a safra e elevou preços em Nova York de 10,8 para 22 cents por libra.
Qual era a prioridade global após a Primeira Guerra Mundial?;Restabelecimento do padrão-ouro e recriação da ordem comercial e financeira anterior a 1914.
Quando o Brasil conseguiu se reenquadrar no padrão-ouro?;Apenas na segunda metade da década de 1920.
O que o Brasil buscava recompor após 1914?;A combinação de defesa do preço do café com algum arranjo semelhante à Caixa de Conversão (“conversibilidade na margem”).
Qual era a dificuldade do Brasil em reconstruir a normalidade econômica?;Conciliar interesses locais, como defesa do café, com a ortodoxia monetária internacional e limitações do padrão-ouro.
Qual foi o impacto da reabertura do comércio internacional pós-guerra?;Instabilidade econômica, alta inicial de preços devido à recomposição de estoques, seguida de políticas monetárias restritivas e queda cambial.
Qual debate retornou no Brasil nos anos 1920?;A “inelasticidade do meio circulante” e a função do Banco do Brasil como banco central, expandindo ou não o crédito conforme a economia.
O que eram os “money doctors”?;Especialistas financeiros enviados a países latino-americanos para criar bancos centrais modernos e viabilizar empréstimos de estabilização.
Quais missões vieram ao Brasil entre 1924 e 1931?;Montagu (1923/24), D’Abernon (1929) e Niemeyer (1931), visando reformas monetárias e uso prudente de empréstimos externos.
Que instrumento foi criado para financiar a retenção de café?;Carteira de Redesconto do Banco do Brasil, com emissão de notas do Tesouro e desconto de títulos comerciais relacionados ao café.
Como se deu a valorização do café em 1921?;Compras organizadas pelo governo e Banco do Brasil, combinadas com empréstimo de estabilização em Nova York e financiamento doméstico via notas do Tesouro.
Qual foi a participação do Tesouro e do Banco do Brasil na valorização do café?;"Tesouro endossou letras de café; Banco do Brasil descontou essas letras via Carteira de Redesconto, integrando esforços fiscais e bancários."
Qual efeito do programa de retenção de café em 1921?;Estabilização dos preços e 4,5 milhões de sacas estocadas sob controle dos produtores paulistas, evitando interferência de credores externos.
Quem se opôs ao financiamento via notas do Tesouro?;Metalistas mineiros, como Antonio Carlos de Andrada e Mario Brant, que defendiam ortodoxia monetária.
Qual era a expectativa para a safra de café de 1922?;Cerca de 11 milhões de sacas, exigindo levantamento urgente de fundos para manter ou aumentar estoques.
Qual foi o valor do empréstimo externo levantado em 1922?;9 milhões de libras esterlinas, com garantia de todas as 4,5 milhões de sacas estocadas.
Como reagiram os paulistas ao empréstimo externo de 1922?;Ficaram enfurecidos, pois perderiam o controle sobre os estoques e a capacidade de influenciar o mercado internacional.
Qual problema financeiro o governo enfrentava em 1922?;Descontrole fiscal e financiamento das letras de café, pressionando os limites da carteira de redesconto do Banco do Brasil.
Quem assumiu a presidência do Brasil em fins de 1922?;Arthur Bernardes.
Qual era o objetivo do presidente Arthur Bernardes para a economia?;Estabilidade cambial, equilíbrio fiscal e reorganização bancária com a criação de um banco central.
Qual reforma foi feita no Banco do Brasil?;Criação de um “departamento de emissão” para emitir até três vezes as reservas em ouro do Tesouro, visando conversibilidade a 12 pence.
Quem substituiu José Maria Whitaker no Banco do Brasil?;Cincinato Braga, líder paulista e mentor da reforma.
Como o Banco do Brasil atuou na retenção de café?;Facilitou e financiou a retenção de estoques em armazéns no interior, alinhado aos interesses paulistas.
Qual era a expectativa para a safra de café de 1923?;19,5 milhões de sacas, cerca do dobro da safra anterior, gerando enorme pressão sobre o arranjo financeiro existente.
O que levou à busca por um grande empréstimo externo nos anos 1920?;Limites do financiamento doméstico para defesa do café e necessidade de estabilizar a moeda.
O que era a Missão Montagu?;Missão de experts independentes que estabeleceu condições fiscais e monetárias para o empréstimo externo de consolidação de 25 milhões de libras esterlinas.
Qual restrição imposta pela Missão Montagu causou conflito?;Proibição do financiamento doméstico inflacionário das retenções de café.
Qual medida suspendeu os efeitos do empréstimo externo de 1922?;Embargo britânico à concessão de empréstimos externos para acumular reservas visando o padrão-ouro.
Quais foram as consequências da ausência de apoio externo?;Contração de crédito violenta (1925-1926), suspensão do apoio à defesa do café, recessão e forte flutuação de preços e câmbio.
Qual presidente retomou políticas de estabilização e apoio ao café em 1926?;Washington Luís.
O que foi a Caixa de Estabilização?;"Órgão do Tesouro para emitir notas conversíveis à vista contra depósitos em ouro, vinculada à defesa do café e ao padrão-ouro ""na margem""."
Qual nova paridade cambial foi estabelecida nos anos 1920?;5,9 pence, substituindo os 27 pence de 1846.
Qual era o objetivo da reforma de 1926?;"Estabelecer um compromisso entre ortodoxos, papelistas e cafeicultores, usando padrão-ouro ""na margem"" e defesa do café."
Qual órgão assumiu a defesa do café após a reforma de 1926?;O Instituto do Café de São Paulo, com financiamento do Banespa, substituindo o Banco do Brasil na função de empréstimo aos bancos comerciais.
Como se comportou a economia brasileira entre 1926 e 1928?;Crescimento econômico de 10,8% e 11,5%, câmbio apreciado, aumento das importações e superávit no balanço de pagamentos.
Qual era a base da estabilidade econômica no período 1926-1928?;"Combinava padrão-ouro ""na margem"", defesa do café e acesso a financiamentos internacionais."
O que provocou o colapso do sistema de defesa do café em 1929?;Supersafras de 1927 e 1929, deterioração do mercado internacional de capitais, esgotamento do Instituto do Café e pressão federal para venda de estoques.
Qual foi a queda do preço do café em Nova York entre 1929 e 1931?;De 22,5 cents em setembro de 1929 para 8 cents em setembro de 1931.
Qual foi o efeito sobre a economia em 1929?;Queda da produção industrial de 2,2%, estagnação do PIB (1,1%) e início de recessão.
Qual foi o comportamento do deflator implícito do PIB entre 1927 e 1929?;Recuou 2,2% em 1927, aumentou 11,5% em 1928 e recuou 3,6% em 1929.
Como se situava o PIB per capita do Brasil entre 1889 e 1930?;Crescimento anual médio de 0,9%, abaixo de Argentina, México e EUA, ampliando o atraso relativo.
Qual era a posição relativa do Brasil na América Latina em 1930?;País mais populoso (33,6 milhões), 31% da população da região, mas pobre em termos per capita e de abertura econômica.
Qual era o coeficiente de abertura da economia brasileira em 1929-1930?;Entre 18,7% e 23,6%, o menor entre os grandes países latino-americanos.
Por que o Brasil permanecia vulnerável a choques externos apesar da baixa abertura?;Concentração das exportações e volatilidade dos fluxos de capitais, além de dependência de commodities.
Qual era a relação dívida externa/exportações em 1929?;2,67, mostrando melhora em relação a 1914, mas deteriorando-se após a crise mundial.
Qual era o valor da dívida externa e das reservas brasileiras em 1930?;Dívida externa de 1.293,5 milhões de dólares e reservas de 46,1 milhões de dólares, relação dívida/exportações de 4,05.
O que se previa para o novo regime pós-1930 em relação à dívida externa?;Renegociação das obrigações externas devido à rigidez do serviço da dívida e queda das receitas.
Qual a participação da agricultura, indústria e serviços em 1930?;Agricultura 35,8%, indústria 14,8%, serviços 49,4%.
Quantos estabelecimentos industriais havia em 1919 e qual a predominância setorial?;13.336 estabelecimentos com 275,5 mil trabalhadores, predominando têxtil e alimentícia.
Qual o peso dos setores têxtil, vestuário, alimentos e bebidas em 1919?;64,5% do valor adicionado da indústria, contra 57,7% em 1907.
Qual era a participação da indústria de bens de capital em 1919?;2,9% dos estabelecimentos, 2,5% do capital e da potência instalada, 3,2% dos trabalhadores.
Como mudou a distribuição regional da indústria entre 1907 e 1919?;"São Paulo aumentou para 33,1% do valor e 30,6% do emprego; Rio de Janeiro caiu para 28,5% do valor e 26,4% do emprego."
Como se comparava a indústria têxtil brasileira à da China e Índia em 1927?;2,5 milhões de fusos e 76 mil teares, menor que a Índia (6,6 milhões de fusos e 94 mil teares) e comparável à China (3 milhões de fusos e 23 mil teares).
Qual o crescimento do setor têxtil entre 1921 e 1927?;Número de fábricas de 242 para 354, fusos +59%, teares +32%, emprego +17%, produção +8%.
Que efeito teve a valorização cambial pós-1926 sobre os têxteis?;Aumento da concorrência estrangeira nos tecidos de melhor qualidade, levando a tarifas mais altas em 1929.
Quais setores receberam incentivos governamentais nos anos 1920?;Ferro, aço e cimento, com isenções fiscais, fretes favorecidos e financiamento estratégico/militar.
Qual era a produção de ferro gusa e aço entre 1918 e 1929?;"Ferro gusa: 12 mil para 33,7 mil toneladas; aço: Companhia Belgo Mineira produzia 75% das necessidades internas de lingotes em 1929."
Como se desenvolveu a indústria de cimento?;"Primeira fábrica em 1926 com capital canadense; produção de 96,2 mil toneladas em 1929, 15% do consumo interno."
Como se ampliou a indústria de veículos e química?;Investimento norte-americano em veículos, refinação de petróleo, indústria química e farmacêutica, pneus e maquinaria.
Qual foi o papel da cafeicultura nos investimentos industriais paulistas?;Três empresas com capital da cafeicultura entre 18 grandes fundadas entre 1920 e 1929.
Qual a participação do Brasil nos investimentos estrangeiros na América Latina em 1929?;16,1% do britânico (Argentina 33,8%), 4,7% do norte-americano (México 21,8%, Cuba 21,5%).
Qual era o impacto da política econômica sobre a indústria nos anos 1920?;Limitada e inconsistente, devido a conflitos entre cafeicultura e conservadorismo monetário.
Como a desvalorização do mil-réis afetava cafeicultores e trabalhadores?;"Aumentava a renda dos cafeicultores em moeda nacional, mas elevava custos das importações e do serviço da dívida, ""socializando perdas""."
Que paradoxos marcaram a política econômica da Primeira República?;Conflitos entre ortodoxia e cafeicultura, impasses federativos e tensão entre exportadores de café e outros interesses econômicos.
Quantos anos o Brasil permaneceu na disciplina do padrão-ouro durante a Primeira República?;Pouco mais de dez anos ao longo dos quarenta anos da Primeira República.
Qual era a explicação sensata para o bom desempenho econômico entre 1920-1923?;Condições favoráveis da economia internacional e abundância cambial, não o padrão-ouro.
Qual o paradoxo do desempenho econômico brasileiro na Primeira República?;Crescimento excepcional nos anos favoráveis internacionalmente, mas fraco fora dessas condições, apesar da economia relativamente fechada.
Como a crise de 1929 alterou os termos de referência econômicos do Brasil?;Mudou drasticamente a forma de lidar com vulnerabilidade externa, política monetária e cambial, e gestão do mercado de café.
Qual o conteúdo e peso da moeda de 2 mil-réis de 1910?;90% prata, 20 gramas, busto da Liberdade ou República, emissão de 585 mil peças.
