A microeconomia estuda o comportamento agregado da economia.;❌ Errado. A microeconomia estuda agentes individuais, como consumidores e empresas.
No regime de taxa de câmbio fixa, o Banco Central intervém para manter a taxa de câmbio.;✅ Certo. No regime de câmbio fixo, o Banco Central compra ou vende moeda estrangeira para manter a taxa de câmbio estável.
Em um regime de câmbio fixo, a política monetária é autônoma e não sofre restrições.;❌ Errado. Em um regime de câmbio fixo, a política monetária é comprometida, pois o Banco Central deve manter a taxa de câmbio estável.
Em um regime de câmbio flutuante, a taxa de câmbio se ajusta automaticamente para equilibrar a Balança de Pagamentos (BP).;✅ Certo. No regime de câmbio flutuante, a taxa de câmbio se ajusta de acordo com os fluxos de capital e transações comerciais para equilibrar a BP.
No regime de câmbio flutuante, a política monetária é autônoma, podendo ser usada para influenciar a economia.;✅ Certo. Em um regime de câmbio flutuante, a política monetária é independente e pode ser usada para controlar a economia, como ajustar a oferta de moeda.
Em um regime de câmbio fixo, a política fiscal expansionista (aumento de G ou redução de T) desloca a curva IS para a esquerda.;❌ Errado. Em um regime de câmbio fixo, a política fiscal expansionista desloca a curva IS para a direita, aumentando a produção e atraindo capital externo.
Em um regime de câmbio fixo, a política monetária expansionista (aumento de M) tem um efeito direto sobre a LM.;✅ Certo. A política monetária expansionista desloca a curva LM para a direita, mas é neutralizada pelo Banco Central vendendo reservas para manter a taxa de câmbio fixa.
No regime de câmbio flutuante, uma política fiscal expansionista desloca a curva IS para a direita, mas ela é neutralizada pela valorização da moeda.;✅ Certo. A política fiscal expansionista aumenta a produção, mas atrai capital, o que valoriza a moeda e reduz as exportações líquidas, neutralizando parcialmente o impacto.
A política monetária expansionista em um regime de câmbio flutuante pode estimular as exportações e deslocar a curva IS para a direita.;✅ Certo. A política monetária expansionista em um regime de câmbio flutuante desvaloriza a moeda, estimulando as exportações, o que desloca a curva IS para a direita.
No modelo Mundell-Fleming, em um regime de câmbio fixo com mobilidade perfeita de capitais, a política fiscal é eficaz, mas a política monetária não.;✅ Certo. Com câmbio fixo e mobilidade de capitais perfeita, a política fiscal é eficaz para influenciar a economia, enquanto a política monetária não pode ser usada de forma independente.
No modelo Mundell-Fleming, em um regime de câmbio flutuante com mobilidade perfeita de capitais, a política monetária é eficaz, mas a política fiscal não.;✅ Certo. Com câmbio flutuante e mobilidade de capitais perfeita, a política monetária é eficaz, enquanto a política fiscal não tem impacto significativo.
A moeda funciona como um meio de troca, facilitando as transações ao evitar a troca direta de bens e serviços.;✅ Certo. A moeda facilita as transações ao ser utilizada como meio de troca, substituindo o escambo e tornando as trocas mais eficientes.
A moeda serve como unidade de conta, permitindo a comparação de preços de bens e serviços.;✅ Certo. A moeda serve como unidade de conta, ajudando as pessoas a comparar os preços de diferentes bens e serviços de maneira padronizada.
A moeda não é uma reserva de valor, pois perde rapidamente seu valor devido à inflação.;❌ Errado. A moeda é uma reserva de valor, permitindo que as pessoas guardem seu poder de compra para o futuro, embora a inflação possa reduzir seu valor ao longo do tempo.
A moeda pode ser guardada e usada no futuro sem perda significativa de valor, mesmo com inflação moderada.;✅ Certo. Embora a inflação possa afetar o poder de compra, a moeda ainda é usada como reserva de valor para guardar poder de compra a longo prazo.
A moeda como unidade de conta facilita a comparação entre diferentes produtos e serviços.;✅ Certo. A moeda como unidade de conta permite que as pessoas expressem e comparem os valores dos bens e serviços de forma clara e padronizada.
O aumento da oferta monetária em um regime de câmbio fixo leva à desvalorização da moeda.;❌ Errado. Em um regime de câmbio fixo, o aumento da oferta monetária pode ser neutralizado pelo Banco Central, que compra moeda estrangeira para manter a taxa fixa.
A política monetária é eficaz em um regime de câmbio fixo com mobilidade perfeita de capitais.;❌ Errado. Em um regime de câmbio fixo com mobilidade perfeita de capitais, a política monetária não é eficaz, pois o Banco Central precisa intervir para manter a taxa de câmbio.
Em um regime de câmbio flutuante, a política fiscal expansionista pode causar uma valorização da moeda.;✅ Certo. A política fiscal expansionista pode aumentar a demanda por moeda, o que leva a uma valorização da moeda em um regime de câmbio flutuante.
Em um regime de câmbio flutuante, a política monetária expansionista tem um efeito limitado, pois a taxa de câmbio ajusta-se automaticamente.;❌ Errado. Em um regime de câmbio flutuante, a política monetária expansionista tem um efeito significativo, pois pode desvalorizar a moeda, estimulando exportações e crescimento econômico.
A moeda como meio de troca facilita as transações, mas não serve como reserva de valor.;❌ Errado. A moeda serve como meio de troca e também como reserva de valor, permitindo que as pessoas guardem poder de compra para o futuro.
Em um regime de câmbio flutuante, a política fiscal é eficaz para estabilizar a economia.;❌ Errado. Em um regime de câmbio flutuante, a política fiscal tem efeito limitado, pois a taxa de câmbio ajusta-se automaticamente, neutralizando parte do impacto.
O Banco Central de um país com câmbio flutuante pode ajustar sua política monetária sem restrições.;✅ Certo. Em um regime de câmbio flutuante, o Banco Central tem autonomia para ajustar a política monetária, pois a taxa de câmbio se ajusta automaticamente.
No regime de câmbio flutuante, a política monetária pode influenciar a produção e o emprego.;✅ Certo. A política monetária em um regime de câmbio flutuante pode estimular a produção e o emprego ao desvalorizar a moeda, o que aumenta as exportações e o crescimento econômico.
Em um regime de câmbio fixo, o aumento de gastos do governo pode aumentar a oferta monetária devido à intervenção do Banco Central.;✅ Certo. A política fiscal expansionista em um regime de câmbio fixo pode levar a uma valorização da moeda, o que exige que o Banco Central compre moeda estrangeira, aumentando a oferta monetária.
A política monetária em um regime de câmbio flutuante pode afetar diretamente a taxa de juros, mas não a taxa de câmbio.;❌ Errado. A política monetária em um regime de câmbio flutuante pode afetar tanto a taxa de juros quanto a taxa de câmbio, já que a taxa de câmbio ajusta-se de acordo com os fluxos de capital.
Em um regime de câmbio fixo, a política monetária é eficaz para controlar a inflação.;❌ Errado. Em um regime de câmbio fixo, a política monetária é comprometida pela necessidade de manter a taxa de câmbio, o que limita sua eficácia no controle da inflação.
A moeda como reserva de valor perde rapidamente seu poder de compra devido à alta inflação.;✅ Certo. Embora a moeda seja uma reserva de valor, a inflação pode reduzir o poder de compra ao longo do tempo, especialmente em ambientes de alta inflação.
A moeda serve como meio de troca, unidade de conta e reserva de valor.;✅ Certo. A moeda desempenha as três funções principais: meio de troca, unidade de conta e reserva de valor.
O Banco Central é responsável pela criação de moeda física (notas e moedas).;✅ Certo. O Banco Central tem o poder de criar moeda física, como notas e moedas, para regular a quantidade de dinheiro na economia.
Os bancos comerciais podem criar moeda bancária quando oferecem empréstimos aos clientes.;✅ Certo. Os bancos comerciais criam dinheiro bancário ao conceder empréstimos, gerando depósitos nas contas dos clientes.
Quando você pega um empréstimo no banco, o valor é entregue em espécie, aumentando a oferta de moeda.;❌ Errado. O valor do empréstimo é gerado como um depósito bancário, não como dinheiro em espécie, aumentando a quantidade de moeda na economia.
A criação de moeda bancária ocorre apenas quando o Banco Central emite dinheiro físico.;❌ Errado. A criação de moeda bancária ocorre quando os bancos comerciais oferecem empréstimos, gerando depósitos nas contas dos clientes.
A oferta de moeda é controlada exclusivamente pela criação de moeda física pelo Banco Central.;❌ Errado. A oferta de moeda é controlada por várias políticas monetárias, incluindo operações de mercado aberto, taxa de juros e depósitos compulsórios.
O Banco Central pode aumentar a oferta de moeda comprando títulos do governo no mercado.;✅ Certo. Ao comprar títulos do governo, o Banco Central injeta dinheiro na economia, aumentando a oferta de moeda.
A venda de títulos pelo Banco Central aumenta a oferta de moeda na economia.;❌ Errado. A venda de títulos retira dinheiro da economia, reduzindo a oferta de moeda.
A taxa de juros mais alta torna o crédito mais acessível e aumenta a oferta de moeda.;❌ Errado. A taxa de juros mais alta torna o crédito mais caro, reduzindo a quantidade de dinheiro circulando.
O Banco Central pode aumentar a oferta de moeda reduzindo a taxa de juros.;✅ Certo. Ao reduzir a taxa de juros, o Banco Central torna o crédito mais acessível, estimulando a economia e aumentando a oferta de moeda.
O depósito compulsório é uma ferramenta que permite ao Banco Central controlar a quantidade de moeda na economia.;✅ Certo. O depósito compulsório é uma exigência que controla quanto os bancos comerciais podem emprestar, influenciando a oferta de moeda.
A redução da taxa de depósito compulsório permite que os bancos emprestem mais dinheiro, aumentando a oferta de moeda.;✅ Certo. Quando o Banco Central reduz a taxa de depósito compulsório, os bancos têm mais capacidade para emprestar, aumentando a oferta de moeda.
A procura por moeda é influenciada apenas pelo motivo de transação, sem considerar o motivo de precaução.;❌ Errado. A procura por moeda é influenciada por três fatores: transação, precaução e especulação.
A demanda por moeda como motivo de transação aumenta quando a atividade econômica cresce.;✅ Certo. Quanto maior a atividade econômica, maior a demanda por moeda para realizar transações do dia a dia.
O motivo de precaução leva as pessoas a manterem dinheiro para cobrir necessidades futuras e imprevistos.;✅ Certo. As pessoas mantêm dinheiro para se proteger de imprevistos ou necessidades futuras, aumentando a demanda por moeda.
O motivo especulativo envolve manter mais dinheiro quando as pessoas esperam que os preços dos ativos vão cair.;❌ Errado. O motivo especulativo leva as pessoas a manterem mais ou menos dinheiro, dependendo das expectativas de aumento ou queda dos preços dos ativos.
Se você espera que a inflação diminua, você pode manter mais dinheiro em espécie para proteger seu poder de compra.;❌ Errado. Se a inflação diminui, as pessoas tendem a manter mais dinheiro, pois ele perde menos valor ao longo do tempo.
A criação de moeda bancária ocorre exclusivamente pelo Banco Central.;❌ Errado. A criação de moeda bancária ocorre quando os bancos comerciais concedem empréstimos, gerando depósitos bancários.
A compra de títulos pelo Banco Central tem o efeito de reduzir a quantidade de moeda em circulação.;❌ Errado. A compra de títulos aumenta a quantidade de moeda em circulação, pois o Banco Central injeta dinheiro na economia.
A venda de títulos pelo Banco Central é uma maneira de reduzir a oferta de moeda na economia.;✅ Certo. Ao vender títulos, o Banco Central retira dinheiro da economia, diminuindo a oferta de moeda.
O motivo de precaução é irrelevante na determinação da demanda por moeda.;❌ Errado. O motivo de precaução é um fator importante na demanda por moeda, pois as pessoas mantêm dinheiro para situações imprevistas.
A redução da taxa de juros tem o efeito de tornar o crédito mais caro e reduzir a oferta de moeda.;❌ Errado. A redução da taxa de juros torna o crédito mais acessível, estimulando a economia e aumentando a oferta de moeda.
O aumento da taxa de juros faz com que as pessoas prefiram manter mais dinheiro em espécie em vez de investir.;✅ Certo. O aumento da taxa de juros pode reduzir o desejo das pessoas de investir, levando-as a manter mais dinheiro em espécie como forma de precaução.
A criação de moeda bancária ajuda a aumentar a quantidade de dinheiro na economia sem a necessidade de emissão de moeda física.;✅ Certo. A criação de moeda bancária aumenta a oferta de moeda na economia por meio de depósitos gerados pelos empréstimos bancários.
A procura por moeda é exclusivamente motivada pela atividade econômica.;❌ Errado. A procura por moeda também é influenciada pela precaução e especulação, além do motivo de transação.
O motivo especulativo leva as pessoas a manterem dinheiro quando esperam uma alta nos preços de ativos como ações ou imóveis.;✅ Certo. Quando as pessoas esperam que os preços de ativos subam, elas podem manter mais dinheiro na forma de reserva para aproveitar a valorização.
A redução da taxa de depósito compulsório impede que os bancos comerciais emprestem mais dinheiro.;❌ Errado. A redução da taxa de depósito compulsório permite que os bancos emprestem mais dinheiro, aumentando a oferta de moeda.
O Banco Central controla a oferta de moeda apenas por meio de operações de mercado aberto.;❌ Errado. O Banco Central também controla a oferta de moeda por meio da taxa de juros e do depósito compulsório, além das operações de mercado aberto.
A criação de moeda bancária não aumenta a quantidade de dinheiro na economia.;❌ Errado. A criação de moeda bancária aumenta a oferta de moeda, pois os empréstimos dos bancos geram novos depósitos.
A política monetária do Banco Central pode controlar a quantidade de moeda na economia de forma eficaz.;✅ Certo. O Banco Central pode influenciar a quantidade de moeda em circulação por meio de políticas monetárias, como taxa de juros e operações de mercado aberto.
Inflação de demanda ocorre quando a produção não consegue acompanhar o aumento na demanda.;✅ Certo. A inflação de demanda surge quando a demanda por bens e serviços aumenta mais rápido do que a capacidade de produção da economia.
Inflação de custos ocorre quando a produção não consegue acompanhar o aumento na demanda.;❌ Errado. Inflação de custos ocorre quando os custos de produção aumentam, como o aumento de salários ou matérias-primas.
A inflação inercial é causada pelas expectativas inflacionárias passadas.;✅ Certo. A inflação inercial é o resultado da expectativa de que a inflação continuará, levando as empresas e consumidores a ajustarem seus preços e salários.
A inflação de demanda é provocada por um aumento nos custos de produção.;❌ Errado. A inflação de demanda é causada pelo aumento da demanda por bens e serviços, não pelos custos de produção.
Se o Banco Central aumenta a quantidade de moeda sem um aumento correspondente na produção, o resultado é inflação.;✅ Certo. Se mais moeda é injetada na economia sem um aumento na produção, o valor da moeda diminui e os preços sobem.
A Teoria Quantitativa da Moeda afirma que um aumento da oferta de moeda sem um aumento na produção de bens e serviços resulta em inflação.;✅ Certo. A Teoria Quantitativa da Moeda sugere que o aumento da oferta de moeda leva a um aumento proporcional dos preços, se a produção não acompanhar.
Na Teoria Quantitativa da Moeda, M×V = P×Y significa que a quantidade de moeda multiplicada pela velocidade de circulação é igual ao nível de preços multiplicado pela produção.;✅ Certo. A fórmula da TQM mostra a relação entre a quantidade de moeda, a velocidade de circulação, o nível de preços e a produção de bens e serviços.
A velocidade de circulação da moeda (V) é a mesma que a quantidade de moeda em circulação (M).;❌ Errado. A velocidade de circulação (V) refere-se ao tempo médio que a moeda leva para ser gasta, enquanto M é a quantidade de moeda em circulação.
No longo prazo, a quantidade de moeda em circulação tem uma relação direta com o nível de preços.;✅ Certo. No longo prazo, o aumento da oferta de moeda tende a causar inflação se não houver um aumento correspondente na produção de bens e serviços.
A inflação de custos ocorre quando a produção não consegue acompanhar o aumento da demanda.;❌ Errado. Inflação de custos ocorre devido ao aumento dos custos de produção, não pela demanda.
A inflação inercial pode ser causada pela expectativa de que os preços continuarão a subir.;✅ Certo. A inflação inercial é provocada pela expectativa de inflação futura, que leva a aumentos de preços antecipados.
A inflação de demanda não está relacionada ao aumento dos custos de produção.;✅ Certo. A inflação de demanda é causada por uma demanda maior que a oferta de bens e serviços, enquanto a inflação de custos é causada pelos aumentos de custos de produção.
Se a produção de bens e serviços aumenta, a inflação tende a diminuir.;✅ Certo. Se a produção aumenta, mais bens e serviços estão disponíveis, o que pode ajudar a reduzir a pressão inflacionária.
O aumento da quantidade de moeda sempre leva à inflação, independentemente da produção.;❌ Errado. O aumento da moeda leva à inflação apenas se a produção não aumentar proporcionalmente.
O aumento da velocidade de circulação da moeda pode causar inflação, mesmo sem um aumento na quantidade de moeda.;✅ Certo. Se a moeda circula mais rapidamente, mais transações ocorrem, o que pode aumentar os preços, mesmo sem aumento na quantidade de moeda.
O aumento da produção de bens e serviços pode reduzir os efeitos da inflação, mesmo com o aumento da oferta de moeda.;✅ Certo. Se a produção aumenta, pode absorver o aumento da oferta de moeda, evitando a inflação.
A inflação de custos pode ser causada pelo aumento nos preços das matérias-primas, como o petróleo.;✅ Certo. O aumento nos preços de matérias-primas, como o petróleo, pode levar a um aumento nos custos de produção, resultando em inflação.
Se o Banco Central aumenta a quantidade de moeda, mas a economia não cresce, os preços tendem a subir.;✅ Certo. Se o aumento da moeda não é acompanhado por um aumento na produção, os preços tendem a subir devido à maior quantidade de dinheiro perseguindo os mesmos bens.
A inflação de demanda pode ocorrer mesmo quando a produção é suficiente para atender à demanda.;❌ Errado. A inflação de demanda ocorre quando a produção não consegue acompanhar o aumento da demanda por bens e serviços.
A Teoria Quantitativa da Moeda afirma que o aumento da produção pode neutralizar os efeitos de um aumento na oferta de moeda.;✅ Certo. Se a produção aumenta, ela pode absorver o aumento da oferta de moeda, impedindo a inflação.
A inflação de demanda pode ser resultado de uma política fiscal expansionista.;✅ Certo. Uma política fiscal expansionista aumenta a demanda por bens e serviços, podendo causar inflação de demanda.
A inflação de custos é mais comum durante períodos de crescimento econômico rápido.;❌ Errado. A inflação de custos é mais comum quando os custos de produção aumentam, como no caso do aumento dos preços de matérias-primas.
A expectativa de inflação futura pode alimentar a inflação inercial, mantendo os preços elevados.;✅ Certo. A inflação inercial é alimentada pelas expectativas de inflação futura, o que leva as empresas a aumentar preços antecipadamente.
A fórmula M×V = P×Y sugere que a quantidade de moeda não afeta a produção de bens e serviços.;❌ Errado. A fórmula relaciona a quantidade de moeda, a produção e os preços, sugerindo que o aumento da moeda pode levar a um aumento proporcional dos preços se a produção não aumentar.
No longo prazo, a quantidade de moeda em circulação é mais importante do que a velocidade da moeda.;❌ Errado. Tanto a quantidade de moeda quanto a velocidade de circulação da moeda influenciam os preços no longo prazo.
Se a velocidade de circulação da moeda aumenta, os preços tendem a subir, mesmo sem aumento na oferta de moeda.;✅ Certo. Aumento na velocidade de circulação pode aumentar as transações e, consequentemente, os preços, mesmo sem um aumento na quantidade de moeda.
A inflação de custos não afeta o nível geral de preços.;❌ Errado. A inflação de custos resulta no aumento dos preços devido ao repasse dos custos de produção mais altos para os consumidores.
No longo prazo, o aumento da quantidade de moeda sem aumento na produção leva a uma diminuição do valor da moeda.;✅ Certo. O aumento da quantidade de moeda sem um aumento proporcional na produção reduz o valor da moeda, o que resulta em inflação.
O Banco Central é responsável pela execução da política monetária de um país.;✅ Certo. O Banco Central adota políticas para controlar a moeda, taxas de juros e a inflação, garantindo a estabilidade econômica.
O principal objetivo da política monetária é controlar a oferta de moeda.;✅ Certo. A política monetária visa controlar a quantidade de dinheiro na economia para manter a estabilidade dos preços e o crescimento econômico.
O Banco Central tem o poder de regular os bancos comerciais para garantir a estabilidade financeira.;✅ Certo. O Banco Central supervisiona as instituições financeiras para garantir que o sistema bancário seja seguro e eficiente.
A principal ferramenta do Banco Central para controlar a inflação é a taxa de juros (Selic).;✅ Certo. A taxa Selic é usada pelo Banco Central para influenciar os juros no mercado e controlar a inflação.
Quando o Banco Central aumenta a taxa de juros, o consumo e o investimento tendem a aumentar.;❌ Errado. O aumento da taxa de juros torna o crédito mais caro, o que tende a reduzir o consumo e o investimento, ajudando a controlar a inflação.
O Banco Central pode usar operações de mercado aberto para aumentar ou reduzir a quantidade de moeda na economia.;✅ Certo. O Banco Central compra ou vende títulos do governo para ajustar a oferta de moeda na economia.
O depósito compulsório é o valor que os bancos devem manter em reserva, não podendo ser emprestado.;✅ Certo. O depósito compulsório é a quantidade de dinheiro que os bancos precisam manter em reserva, o que afeta a quantidade de dinheiro disponível para empréstimos.
Quando o Banco Central reduz a exigência de depósito compulsório, ele aumenta a quantidade de dinheiro na economia.;✅ Certo. Reduzir o depósito compulsório permite que os bancos emprestem mais dinheiro, aumentando a oferta de moeda.
O controle da taxa de juros pelo Banco Central visa controlar a inflação e estimular o crescimento econômico.;✅ Certo. A taxa de juros é ajustada para controlar a inflação e incentivar o consumo e o investimento quando necessário.
A relação entre inflação alta e taxa de juros é inversamente proporcional.;✅ Certo. Inflação alta leva o Banco Central a aumentar a taxa de juros para controlar a inflação, tornando o crédito mais caro e reduzindo o consumo.
Quando a inflação está baixa, o Banco Central pode reduzir a taxa de juros para estimular o crescimento econômico.;✅ Certo. Uma taxa de juros mais baixa torna o crédito mais acessível, estimulando o consumo e o investimento em períodos de inflação baixa ou recessão.
O Quantitative Easing (QE) é uma política monetária convencional.;❌ Errado. O Quantitative Easing (QE) é uma política monetária não convencional, usada quando as ferramentas tradicionais não são mais eficazes.
O QE envolve a compra de grandes quantidades de ativos financeiros pelo Banco Central para aumentar a liquidez na economia.;✅ Certo. O QE é uma ferramenta não convencional usada pelo Banco Central para estimular a economia, comprando títulos do governo e ativos privados.
Taxas de juros negativas incentivam os bancos a emprestar dinheiro, em vez de manter o dinheiro parado.;✅ Certo. Quando as taxas de juros são negativas, o Banco Central cobra dos bancos para manter dinheiro com ele, incentivando o empréstimo.
Durante a crise financeira de 2008, muitos Bancos Centrais adotaram o QE para evitar uma recessão profunda.;✅ Certo. O QE foi amplamente utilizado após a crise financeira de 2008 para evitar uma recessão ainda maior e estimular o crescimento econômico.
O principal objetivo da política monetária é aumentar o crescimento econômico a qualquer custo.;❌ Errado. O objetivo da política monetária é manter a estabilidade econômica, controlando a inflação e o crescimento de forma sustentável.
A política monetária busca manter a taxa de juros sempre alta para combater a inflação.;❌ Errado. A política monetária visa ajustar a taxa de juros de forma estratégica, dependendo das condições econômicas, para controlar a inflação e estimular o crescimento.
O Banco Central deve manter a inflação em níveis controlados para garantir o poder de compra da moeda.;✅ Certo. O controle da inflação é um dos principais objetivos da política monetária para garantir que o valor da moeda seja estável.
Quando o Banco Central vende títulos do governo, ele está aumentando a quantidade de moeda em circulação.;❌ Errado. Quando o Banco Central vende títulos, ele retira dinheiro da economia, diminuindo a quantidade de moeda em circulação.
O controle da inflação é a única função do Banco Central.;❌ Errado. O Banco Central também regula o sistema financeiro e busca manter a estabilidade econômica e o crescimento sustentável.
A política monetária não tem impacto sobre a taxa de câmbio de uma moeda.;❌ Errado. A política monetária pode afetar a taxa de câmbio, pois a oferta de moeda e as taxas de juros influenciam a atratividade de uma moeda para os investidores.
O Banco Central utiliza o QE apenas em tempos de alta inflação.;❌ Errado. O QE é usado principalmente em tempos de recessão ou quando as taxas de juros tradicionais não são mais eficazes.
A taxa de juros negativa é uma ferramenta usada para incentivar os bancos a emprestar mais dinheiro.;✅ Certo. Taxas de juros negativas cobram dos bancos para manter dinheiro no Banco Central, incentivando-os a emprestar mais.
A política monetária é implementada exclusivamente por meio da alteração da taxa de juros.;❌ Errado. A política monetária também utiliza operações de mercado aberto e o depósito compulsório para controlar a oferta de moeda.
O Banco Central usa a taxa de juros para controlar tanto a inflação quanto o nível de produção econômica.;✅ Certo. A taxa de juros é uma ferramenta importante para controlar a inflação e estimular ou desacelerar a produção econômica, dependendo das necessidades.
O aumento da taxa de juros geralmente leva a um aumento no consumo e nos investimentos.;❌ Errado. O aumento da taxa de juros torna o crédito mais caro, o que tende a reduzir o consumo e o investimento.
O aumento da taxa de juros pode ajudar a controlar a inflação.;✅ Certo. Ao aumentar a taxa de juros, o Banco Central torna o crédito mais caro, reduzindo o consumo e ajudando a controlar a inflação.
A política monetária não convencional pode ser usada quando as ferramentas tradicionais já não são eficazes.;✅ Certo. Quando as políticas tradicionais, como a alteração da taxa de juros, não são suficientes, o Banco Central pode recorrer a ferramentas como o QE e taxas de juros negativas.
O Banco Central usa a política monetária para controlar o nível de produção na economia.;✅ Certo. A política monetária pode ser usada para estimular ou desacelerar a produção econômica ajustando a oferta de moeda e as taxas de juros.
O Banco Central regula os bancos comerciais para evitar crises bancárias.;✅ Certo. O Banco Central exige que os bancos mantenham reservas suficientes e sigam práticas prudenciais para evitar riscos sistêmicos.
A Comissão de Valores Mobiliários (CVM) não tem papel na supervisão do mercado de capitais.;❌ Errado. A CVM supervisiona o mercado financeiro e garante que as empresas sigam regras de transparência para proteger os investidores.
A regulação do sistema bancário inclui garantir que os bancos operem de forma segura e transparente.;✅ Certo. A regulação busca garantir a segurança e a transparência das operações bancárias para evitar crises e proteger os depósitos dos clientes.
A proteção ao consumidor no sistema bancário não envolve a transparência nas taxas de juros.;❌ Errado. A regulação de práticas bancárias visa proteger os consumidores, incluindo a transparência nas taxas de juros e a cobrança de tarifas.
O crescimento econômico é apenas medido pelo aumento da produção de bens e serviços.;❌ Errado. O crescimento econômico é geralmente medido pelo PIB, mas também pode refletir outras variáveis, como a qualidade de vida e a distribuição de renda.
O desenvolvimento econômico envolve melhorias apenas no crescimento da economia.;❌ Errado. O desenvolvimento econômico vai além do crescimento, englobando melhorias em saúde, educação, redução da desigualdade e bem-estar da população.
O aumento da produção de bens e serviços é um indicador de crescimento econômico.;✅ Certo. O crescimento econômico é refletido no aumento da produção de bens e serviços, geralmente medido pelo PIB.
O crescimento econômico sempre leva a melhorias no bem-estar da população.;❌ Errado. Embora o crescimento econômico seja importante, ele nem sempre resulta em melhorias no bem-estar devido a desigualdades ou externalidades negativas.
A Teoria Clássica de Crescimento defende que o crescimento é impulsionado pela acumulação de capital e divisão do trabalho.;✅ Certo. A teoria clássica, defendida por Adam Smith e David Ricardo, destaca a importância do capital e da especialização no trabalho para o crescimento econômico.
A Teoria Neoclássica de Crescimento considera o capital físico, trabalho e tecnologia como fatores determinantes para o crescimento econômico.;✅ Certo. Robert Solow defendeu que o crescimento é impulsionado por esses três fatores e pela produtividade total dos fatores.
A produtividade total dos fatores é irrelevante para o crescimento econômico.;❌ Errado. A produtividade total dos fatores, introduzida por Solow, é fundamental para explicar o impacto da tecnologia no crescimento econômico.
A Teoria Neoclássica prevê que a taxa de crescimento do produto tende a aumentar com o tempo.;❌ Errado. A Teoria Neoclássica sugere que a taxa de crescimento diminui com o tempo devido aos retornos decrescentes do capital.
As teorias endógenas de crescimento acreditam que o crescimento econômico é impulsionado por fatores internos, como inovação e P&D.;✅ Certo. As teorias endógenas, como a de Paul Romer, enfatizam o papel da inovação, P&D e decisões das empresas e indivíduos para o crescimento.
A tecnologia e o conhecimento são considerados fatores exógenos nas teorias endógenas de crescimento.;❌ Errado. Nas teorias endógenas, a tecnologia e o conhecimento são vistos como produtos das próprias decisões na economia, não como fatores exógenos.
O Banco Central é responsável apenas por regular os bancos comerciais e não interfere no mercado de capitais.;❌ Errado. O Banco Central regula o sistema bancário, mas o mercado de capitais também é supervisionado por entidades como a CVM.
A supervisão do mercado financeiro visa garantir que as empresas cumpram normas de transparência e protejam os investidores.;✅ Certo. A supervisão busca garantir que as empresas sigam regras para proteger os investidores e manter a confiança no mercado financeiro.
O crescimento econômico é diretamente medido pela variação do PIB nominal.;"❌ Errado. O PIB nominal não considera a inflação; o PIB real é mais adequado para medir o crescimento econômico ajustado por variações de preços."
O capital humano não é um fator importante nas teorias endógenas de crescimento.;❌ Errado. O capital humano, incluindo educação e habilidades da força de trabalho, é um fator chave nas teorias endógenas de crescimento.
A regulação do sistema bancário ajuda a evitar crises bancárias e riscos sistêmicos.;✅ Certo. A regulação busca garantir que os bancos sigam práticas prudenciais para minimizar o risco de crises bancárias.
A regulação do sistema bancário no Brasil é responsabilidade apenas do Banco Central.;❌ Errado. Embora o Banco Central desempenhe um papel central, a regulação inclui também entidades como a CVM e outros órgãos reguladores.
O crescimento econômico pode ser sustentado por investimentos em capital físico, mas não depende de tecnologia.;❌ Errado. O crescimento econômico também depende de inovação tecnológica, que é um fator crucial para o desenvolvimento sustentado.
A Teoria Clássica de Crescimento enfatiza o papel do mercado livre e da concorrência para impulsionar o crescimento.;✅ Certo. A teoria clássica, de Adam Smith e David Ricardo, acredita que o mercado livre e a concorrência são fundamentais para o crescimento econômico.
A produtividade total dos fatores não tem impacto no crescimento econômico segundo a Teoria Neoclássica.;❌ Errado. A produtividade total dos fatores, que envolve a contribuição da tecnologia, é um componente chave na teoria de Solow.
A supervisão bancária não é necessária quando a economia está em expansão.;❌ Errado. A supervisão bancária é sempre necessária para garantir a estabilidade financeira, independentemente da situação econômica.
As teorias de crescimento exógenas, como a de Solow, consideram a inovação tecnológica como um fator exógeno ao crescimento.;✅ Certo. Nas teorias exógenas, a inovação tecnológica é vista como um fator externo que contribui para o crescimento, mas não é determinado internamente.
O crescimento econômico pode ser sustentado por políticas que incentivem o aumento da força de trabalho.;✅ Certo. Aumentar a força de trabalho pode impulsionar o crescimento econômico, especialmente quando combinado com investimentos em educação e saúde.
A teoria de crescimento endógeno de Paul Romer enfatiza que a inovação não depende das escolhas dos indivíduos e empresas.;❌ Errado. A teoria endógena de Romer sugere que a inovação é produto das próprias decisões econômicas, como investimentos em pesquisa e desenvolvimento.
A Teoria Neoclássica sugere que a tecnologia não tem efeito sobre o crescimento econômico.;❌ Errado. A tecnologia é um dos fatores fundamentais no modelo neoclássico, especialmente em relação à produtividade total dos fatores.
A proteção ao consumidor no mercado financeiro envolve garantir a transparência nas práticas bancárias, como as taxas de juros.;✅ Certo. A regulação financeira visa garantir práticas justas e transparentes para proteger os consumidores, especialmente em relação a taxas de juros e tarifas.
A supervisão do sistema bancário é desnecessária se os bancos seguirem as normas de reserva de capital.;❌ Errado. A supervisão continua sendo necessária para garantir que as normas sejam seguidas corretamente e prevenir riscos financeiros.
