O que George Weerth expressou em 11 de março de 1848?;"Acreditava que a Revolução mudaria o planeta e apoiava a república (""Vive la Republique!"")."
Como a competição internacional afetou o trabalho escravo nas plantações de açúcar?;Pressionou para reduzir custos, dificultando a sobrevivência econômica da escravidão.
Como trabalhadores foram substituídos em Cuba após o declínio da escravidão?;Por trabalhadores endividados, incluindo índios Maias e chineses imigrantes.
Qual era a tendência geral da escravidão na América Latina no século XIX?;Declínio contínuo antes mesmo da abolição formal, principalmente por razões econômicas.
Por que a servidão era vista como um obstáculo ao desenvolvimento industrial?;Porque imobilizava camponeses, impedindo a mobilidade do trabalho livre necessário para a indústria.
O que a agricultura servil dificultava em termos econômicos?;Estimava-se que impedia o cálculo preciso do custo de produção e dificultava o ajuste racional ao mercado.
Quais mercados minaram a servidão?;O mercado interno diversificado e o mercado externo, especialmente para trigo.
Onde a servidão persistiu mais na Rússia?;Nas áreas de produção de sementes com densa população camponesa, onde senhores compensavam fraquezas com aumento de serviços.
Por que os senhores da terra se opunham à emancipação?;"Porque a servidão e a escravidão sustentavam seu status social e poder político; viam-nas como pilares da sociedade."
Qual a reação dos senhores da terra russos ao tzar e ao campesinato?;Eles não se revoltavam contra o tzar, que lhes dava legitimação contra o campesinato, que reconhecia a autoridade imperial.
A abolição da servidão e escravidão foi imposta por quem?;Por forças externas ou superiores, não por decisão dos próprios senhores da terra.
Por que a emancipação não foi plenamente satisfatória em áreas centrais da escravidão/servidão?;Porque não resolveu os problemas agrários para nobreza, campesinato ou agricultura capitalista.
Quais são os dois caminhos principais de agricultura capitalista segundo Lênin?;"""Prussiano"": grandes fazendas com trabalho alugado; ""Americano"": fazendeiros independentes com trabalho alugado em menor escala."
Qual a vantagem econômica das grandes fazendas?;Sua capacidade de gerar excedente agrícola para o mercado, não necessariamente maior produtividade técnica.
"O que caracterizava o campesinato ""pré-comercial""?";Produção voltada para o consumo próprio, com pouca ou nenhuma venda no mercado.
Como ex-escravos e ex-servos conseguiram trabalhar após a abolição?;"Ex-escravos adquiriram alguma terra; ex-servos permaneceram camponeses, apesar de perdas para senhores em áreas comerciais."
O que salvaguardou a economia camponesa tradicional?;A sobrevivência e recrudescimento da comuna de cidade, com distribuição periódica e equitativa de terras.
Como os senhores da terra lidaram com a dificuldade em produzir?;Tendência crescente para alugar suas propriedades a outros, devido à escassez de trabalho próprio.
"O que caracteriza o caminho ""americano"" na agricultura capitalista?";Depende da existência de fazendeiros empresários com propriedades de tamanho mínimo para produção e venda imediata.
Qual o tamanho mínimo de produção considerado lucrativo no sul dos EUA pós-Guerra Civil?;"Produção anual mínima de 50 fardos; abaixo disso, não há lucro nem objetivo de vida."
"O que aconteceu com grande parte do campesinato no caminho ""americano""?";Permaneceu dependente da agricultura de subsistência e, quando necessário, do trabalho fora da propriedade.
"Onde o caminho ""prussiano"" e ""americano"" foram efetivamente aplicados?";Em áreas marginais como Texas, Boêmia e Hungria, com grandes fazendas capitalistas e fazendas comerciais competitivas.
Como era o campesinato nas áreas centrais de coerção física como Rússia e Romênia?;Massa homogênea, descontente e potencialmente revolucionária, mas oprimida e dependente, mantendo-se quieta.
O que causou agitação rural e revolução camponesa na década de 1870?;A Grande Depressão e as tensões causadas pela transformação da agricultura e opressão camponesa.
O que significou a imposição do liberalismo burguês à propriedade agrária?;Transformação da terra em propriedade individual e mercadoria livre para venda, quebrando organizações comunais tradicionais.
Quais países tiveram processos dramáticos de expropriação de terras comunais?;México (Juarez), Bolívia (Melgarejo), Espanha (pós-1854), Itália (pós-unificação) e outras áreas de influência liberal.
Qual o efeito da liberalização da terra sobre o campesinato?;Aprofundou o descontentamento camponês, pois muitos não puderam comprar terra ou entender os processos legais.
Como a esquerda política usou o descontentamento camponês?;Mobilizou-o para movimentos revolucionários e republicanos, especialmente no sul da Europa e Irlanda.
Quais movimentos revolucionários camponeses destacaram-se no sul da Itália e Espanha?;Revolução camponesa de 1860 ligada a Garibaldi na Itália e o republicanismo e Internacional em Andaluzia.
Qual a importância da Land League na Irlanda?;Movimento revolucionário camponês que surgiu no final do século XIX, mobilizando a luta pela terra e direitos dos agricultores.
or que a esquerda falhou em conquistar o campesinato na Europa e fora dela?;Porque a esquerda era urbana, laica e anticlerical, gerando suspeita e hostilidade no meio rural.
Qual foi o sucesso rural excepcional da esquerda na Europa?;Militantes anarquistas anticristãos na Espanha e republicanos na França.
Como era a insurreição rural tradicional na Europa no século XIX?;Em declínio, com raras exceções, como a Segunda Guerra Carlista na Espanha, concentrada nas províncias bascas.
Qual era a visão do campesinato durante a depressão agrária das décadas de 1870 e 1880?;Não podia mais ser visto como elemento conservador na política.
Qual foi a maior transformação da vida rural no século XIX?;Mudanças rápidas devido a ferrovia, escola primária e políticas nacionais, apesar da aparência de tradição lenta.
Que papel teve a escola primária na vida rural?;Ensinava a língua nacional e fragmentava as identidades locais e culturais.
Como os professores influenciaram a cultura local nas vilas como Bray?;Proibiam o uso de apelidos e dialetos, reforçando o uso dos nomes próprios e a língua oficial na escola.
Como mudou a política rural na Tchecoslováquia por volta de 1875?;Tornou-se mais sofisticada, abandonando crenças em salvadores populares e herdeiros imperiais.
"Em que países o pensamento ""pretendente popular"" ainda persistia no século XIX?";Em países analfabetos como a Rússia, onde populistas tentaram organizar revolução camponesa sem sucesso.
Quem eram os maiores guardiões das antigas formas rurais?;Os velhos e as mulheres, transmitindo histórias e tradições de geração em geração.
Qual paradoxo relacionado às mulheres rurais no século XIX?;Mulheres foram frequentemente agentes de mudança e modernização na vida rural, às vezes mais instruídas que os homens.
Como as jovens camponesas ajudaram a modernizar o campo?;Migrando para o serviço doméstico em casas urbanas, aprendendo hábitos civilizados e transmitindo-os depois.
Quem mais impulsionava a educação dos filhos no campo?;"As mães, incentivando os filhos a serem ""melhores do que eles mesmos""."
Qual era o efeito geral da migração dos jovens do campo para a cidade?;Minou antigas formas rurais e facilitou a assimilação de novas práticas e culturas urbanas.
Qual período marcou o início da maior migração da história?;A metade do século XIX, especialmente entre 1846 e 1875.
Quantas pessoas deixaram a Europa entre 1846 e 1875?;Mais de 9 milhões, a maioria indo para os Estados Unidos.
Por que a migração e a industrialização andavam juntas?;Porque o desenvolvimento econômico moderno exigia movimentos populacionais e facilitava a migração por melhorias técnicas.
Quantos europeus emigraram anualmente para os EUA na década de 1880?;Entre 700 mil e 800 mil por ano.
Quais eram as principais nacionalidades de emigrantes europeus no século XIX?;Ingleses, irlandeses, alemães, noruegueses e suecos.
Qual país europeu perdeu população após a fome de 1846-47?;A Irlanda, que perdeu população consistentemente em todas as décadas seguintes.
Como era a migração dos italianos do sul no século XIX?;"Ainda incipiente no período estudado; o grande êxodo para as Américas começou depois de 1880."
Qual era a origem da maioria dos emigrantes europeus?;Majoritariamente camponeses, ou seja, da área rural.
Para onde iam a maioria dos emigrantes?;Para cidades ou para fora do ambiente rural tradicional, buscando melhores oportunidades.
Que porcentagem dos emigrantes para os EUA em 1880 foi para a agricultura?;"Apenas 10%; a maioria não virou fazendeira devido ao custo dos equipamentos."
Como migração e urbanização se relacionavam no século XIX?;"Andavam juntas; mais pessoas se mudavam para cidades, especialmente em países como EUA, Austrália e Argentina."
Quais cidades americanas estavam entre as maiores do mundo em 1890?;Cinco das 20 maiores cidades do mundo estavam nas Américas.
Qual papel teve a ferrovia na migração interna?;Facilitou a migração de pessoas do campo para as cidades, como os bretões que foram para Paris.
Que mudança cultural ocorreu com as migrantes rurais que foram para as cidades?;Passaram a ocupar profissões urbanas, inclusive como prostitutas em bordéis, substituindo grupos anteriores.
Qual era o principal trabalho das mulheres migrantes entre países?;Empregadas domésticas, até se casarem ou mudarem para ocupações urbanas.
Como os homens migrantes conseguiam emprego nas cidades?;Muitas vezes em comércio tradicional, construção ou transporte, áreas que não exigiam especialização.
Qual era a situação dos imigrantes homens em empregos especializados?;"Tinham pouca sorte, exceto como aprendizes; empregos eram geralmente não especializados e mal pagos."
Onde se concentrava a maior produção industrial no século XIX?;Nas cidades médias, vilas e pequenas cidades, especialmente em minas e têxteis.
Qual era o maior problema para imigrantes além da língua?;A questão da origem nacional e a pressão para romper vínculos com o país de origem e adotar a nova cidadania.
Como os EUA tratavam os imigrantes em relação à cidadania?;Esperavam que se tornassem cidadãos americanos e falassem inglês rapidamente.
Como os imigrantes reagiam a essa pressão?;Viviam em guetos autoimpostos, apoiando-se na comunidade de compatriotas e mantendo tradições do país de origem.
Exemplo de uma brochura para ensinar inglês a imigrantes poloneses?;"Frases simples para a rotina de fábrica, como ""Ouço a sirene, preciso andar depressa"", ""É hora de ir para a fábrica"", etc."
Como eram os grandes financistas judeus imigrantes nos EUA?;Mantinham ligações culturais com o país de origem, falavam alemão e enviavam filhos para estudar lá, sem se considerar totalmente americanos.
Quais eram as dificuldades práticas da migração transoceânica?;Descobrir onde ir, o que fazer, custo da viagem, e condições difíceis durante o transporte.
Quanto custava uma passagem de Hamburgo para Nova York em 1885?;Cerca de 7 dólares, barato mas com condições ruins de viagem para imigrantes.
Quem ajudava os migrantes pobres a financiar a viagem?;"Familiares com altos salários enviavam remessas; quando não podiam, intermediários financeiros entravam em ação."
Quais países europeus enviaram muitos emigrantes para os EUA no século XIX?;Irlanda, Alemanha, Ilhas Britânicas, entre outros.
Por que a passagem marítima era barata para os emigrantes?;"Considerados ""carga"" barata, com alojamentos mínimos e pouco espaço, visando lucro para as companhias."
Quem eram os agentes que organizavam a migração no século XIX?;Intermediários que acumulavam migrantes para navios, pagos por empregadores e donos de terras/fábricas que precisavam de trabalhadores.
Como os agentes de migração tratavam os migrantes?;Geralmente exploravam a pobreza e ignorância, cobrando por longas viagens internas antes do embarque, com pouca supervisão.
Por que a burguesia apoiava a emigração?;Acreditava que tirar pobres da Europa ajudaria a aliviar o mercado de trabalho e melhoraria condições para os que ficavam.
A emigração foi benéfica para os países que enviaram migrantes?;"Em geral, não; a economia desses países teria se beneficiado mais se tivesse mantido esses trabalhadores."
Qual foi o principal motivo para as pessoas emigrar?;Razões econômicas, principalmente pobreza. Perseguições políticas e religiosas eram menores.
Como as notícias influenciavam a decisão de emigrar?;"Notícias sobre ouro, empregos e bons salários aumentavam a emigração; depressões econômicas a reduziam."
A emigração era sempre permanente?;"Não, muitos sonhavam em fazer fortuna e voltar; entre 30% e 40% realmente voltaram. Alguns migravam temporariamente."
O que a expansão da economia global gerou em termos de migração?;Novos tipos de trabalhadores nômades, como os ligados a grandes projetos de construção, especialmente estradas de ferro.
Quem eram esses trabalhadores nômades?;Homens marginais, sem lugar fixo, que trabalhavam duro em projetos temporários e gastavam rapidamente seus ganhos.
Qual era o papel social desses trabalhadores nômades?;Eram vistos como heróis de masculinidade não oficial, semelhantes a marinheiros e mineiros de fronteira.
Como funcionava o trabalho nas estradas de ferro no exterior?;Trabalhadores especializados e gerentes, muitos ingleses ou irlandeses, que podiam se estabelecer ou se mover entre países.
Quem eram os construtores móveis nas sociedades agrárias tradicionais?;Camponeses pobres organizados em grupos liderados por capitão, que trabalhavam em construção de cidades, fábricas e ferrovias.
De onde vinham esses trabalhadores móveis?;Principalmente da Itália, Croácia e Irlanda, migrando por continentes e oceanos.
Qual característica marcava esses trabalhadores?;Eram eficientes, disciplinados e dispostos a trabalhar por salários baixos.
Diferença entre Velho e Novo Mundo na população móvel?;"No Velho Mundo, população flutuante era modesta e ligada à sociedade estruturada; no Novo Mundo, trabalhadores ambulantes eram mais visíveis."
Quem foram os “cowboys” do Velho Mundo?;Trabalhadores ambulantes na Austrália, como fazendeiros itinerantes, similares aos cowboys americanos.
Como viajavam as classes média e rica no século XIX?;Por turismo e lazer, aproveitando o avanço das ferrovias, barcos a vapor e comunicações postais.
Como viajavam os pobres?;Por necessidade, geralmente a pé, por curtos períodos e combinando negócios e deslocamentos.
O que foi a Grande Exibição de 1851?;Evento em Londres que popularizou viagens de um dia para as massas com ajuda das ferrovias.
Quem foi Thomas Cook?;Pioneiro do turismo organizado, que começou com excursões na década de 1850.
Como era o turismo da classe média?;Viagens de verão para praias e estações, crescimento de infraestrutura turística com piers e áreas de lazer.
Como era o turismo da aristocracia?;Mudança entre casas na cidade e no campo, com grande comitiva e sem uso de hotéis comuns.
O que eram as estações de águas?;Locais de luxo na Europa para tratamento com águas minerais, frequentados por nobres e classe média rica.
Cite exemplos famosos de estações de águas no século XIX.;Vichy, Spa, Baden-Baden, Gastein, Marienbad, Karlsbad.
Qual o papel político das estações de águas?;Locais de encontros diplomáticos, como Napoleão III com Bismarck em Biarritz.
Como Karl Marx utilizava as estações de águas?;Frequentava Karlsbad, registrando-se como “homem de meios privados” para evitar identificação.
Quando essas estações começaram a florescer?;Principalmente na década de 1860, após serem lugares rurais simples no início do século XIX.
O que eram Sommerfrische e Kurort para os burgueses?;Férias de verão (Sommerfrische) e estações de águas (Kurort), consideradas rotina burguesa.
Quem popularizou a Cote d'Azur como destino turístico?;"Lorde Brougham, cujo nome está ligado à ""Promenade des Anglais"" em Cannes."
Qual destino ganhou fama após a abertura do Canal de Suez?;O Egito, combinando clima, monumentos antigos e domínio europeu.
Por que ir ao Mediterrâneo no verão era visto como loucura?;"Por causa do culto ao sol e à pele bronzeada; só locais como Nápoles e Capri eram tolerados."
Quem frequentava os centros culturais europeus no século XIX?;Americanos ricos, especialmente mulheres, em busca de cultura.
Onde ricos nos países quentes preferiam passar o verão?;Nas montanhas, construindo residências luxuosas (Xanadus).
Qual esporte surgiu nas montanhas suíças e quem o praticava?;"O esqui; atraía intelectuais e profissionais liberais anglo-saxões."
O que foi o Clube Alpino e quando foi fundado?;Associação para amantes de montanhismo, criada em 1858.
Quem guiava os turistas menos ativos no século XIX?;Thomas Cook e os guias Baedeker, que publicavam roteiros turísticos.
Quanto custava uma viagem de seis semanas na década de 1870?;Cerca de 85 libras para duas pessoas, equivalente a 20% da renda anual de um trabalhador médio.
Quem era o turista típico da era das ferrovias e hotéis?;Membros da confortável classe média que podiam pagar preços elevados.
Como mudaram os custos de aluguel e salários domésticos em Nice?;Aluguel subiu de 64 para 100 libras e salários domésticos de 8-10 para 24-30 libras por ano.
A maioria das pessoas na década de 1870 era migratória?;Não, 88% dos franceses, por exemplo, viviam no local de nascimento.
Onde os imigrantes formavam maioria substancial no final do século?;Cidades como Nova York, Chicago, Estocolmo, Berlim, Roma, Paris e Viena.
Quais locais atraíam mais os imigrantes no século XIX?;Cidades e áreas industriais em crescimento.
O que representava a cidade no mundo industrial do século XIX?;O símbolo mais impressionante do mundo industrial, junto com a estrada de ferro.
Quando começou a crescer rapidamente a urbanização?;Depois de 1850, com taxas altas especialmente na Inglaterra, Bélgica, EUA e outras regiões.
Quais países tiveram altas taxas de urbanização entre 1850-1890?;Inglaterra, Bélgica, EUA, Áustria-Hungria, Noruega, Irlanda, Prússia, Austrália e Argentina.
Como eram as cidades industriais típicas no período?;Geralmente cidades médias ou pequenas, próximas ao campo, que cresceram e se tornaram maiores.
Quais cidades europeias eram grandes centros industriais?;Berlim, Viena e São Petersburgo.
Qual era a relação entre a cidade grande e a indústria?;Grandes cidades eram mais centros de comércio, transporte, administração e serviços, não só indústria.
Quantos empregados domésticos havia em Londres em 1851?;Cerca de 1 em cada 5 habitantes era empregado doméstico.
Qual porcentagem da população das grandes cidades era classe média?;Entre 20% e 23% em cidades como Londres e Paris.
O que Ferdinand Toennies chamou de Gemeinschaft e Gesellschaft?;"Gemeinschaft = comunidade tradicional; Gesellschaft = sociedade moderna, individualista, urbana."
Como era o trabalho manual em Reichenberg (Bohemia) em 1866?;Metade da produção era manual, apesar da presença de fábricas grandes.
O que aconteceu com o trabalho manual em Lancashire na década de 1850?;Trabalhadores manuais foram absorvidos por outras formas de trabalho.
O que aumentou na indústria açucareira da Bohemia entre 1853-1873?;A área plantada multiplicou por 20 vezes (de 4.800 para 123.800 hectares).
Como cresceu o número de passageiros nas ferrovias inglesas entre 1848-1854?;Quase dobrou, de 58 milhões para 108 milhões.
O que significava o aumento das receitas das companhias de carga?;Crescimento econômico e comércio impulsionados pela indústria e transporte.
Qual era a ligação entre a vida urbana e o campo para muitos trabalhadores?;Muitos ainda mantinham atividades agrícolas, como plantação de batatas, mesmo trabalhando na cidade.
Como cresceram Viena, Berlim, Paris e Londres entre 1846-1880?;"Viena: 400 mil → 700 mil; Berlim: 378 mil → quase 1 milhão; Paris: 1 milhão → 1,9 milhão; Londres: 2,5 → 3,9 milhões."
O que motivava o planejamento urbano em cidades como Paris e Viena?;Planejamento político para controle social e lucro dos construtores, que evitavam áreas pobres.
Como os pobres eram vistos pelos planejadores e construtores?;Como ameaça pública e mercado pouco lucrativo, muitas vezes confinados a bairros pobres e cortiços.
"O que eram os ""Mietskasernen"" na Alemanha?";Grandes blocos de aluguel para os pobres, construídos por especuladores.
Qual era o problema mais grave nas cidades crescentes?;Superpopulação e condições sanitárias ruins, que só melhoraram no final do século XIX.
Como era o contraste entre as áreas urbanas e rurais próximas?;Habitações escuras e superlotadas na cidade contra fazendas coloridas ao redor.
Quem foram os maiores beneficiados pelo boom da construção?;A burguesia, que teve casas, escritórios e lojas modernas construídas.
"O que foi o ""elevador"" e quando surgiu?";Invenção que possibilitou a construção dos primeiros arranha-céus, nos EUA, final do século XIX.
Como era o setor leste de Nova York na época dos primeiros arranha-céus?;O mais populoso cortiço do mundo ocidental, superlotado com mais de 520 pessoas por acre.
Para quem não eram construídos os arranha-céus?;"Para os pobres e trabalhadores; eles viviam em cortiços."
Qual era o papel das tavernas, teatros e music-halls?;Única empresa privada que atendia basicamente o mercado de massa e classe operária.
Qual o tamanho típico de uma fábrica inglesa em 1871?;Cerca de 180 trabalhadores, considerada uma fábrica grande.
Como eram as grandes empresas industriais?;Controlavam regiões inteiras, especialmente as ferrovias e siderurgias, mobilizando milhares.
O que controlava a North-Eastern Railway na Inglaterra?;Toda a malha ferroviária entre fronteira escocesa, montanhas Pennine, mar e Rio Humber.
Como eram as minas de carvão na época?;Normalmente pequenos empreendimentos individuais, mas com graves acidentes fatais.
O que era a Gutehoffnungshütte A.G.?;Maior empresa da região da Ruhr (Alemanha), que controlava siderurgia, minas, transporte e máquinas.
Quantos trabalhadores tinha Krupp em Essen entre 1848 e 1873?;Cresceu de 72 trabalhadores em 1848 para quase 12 mil em 1873.
Qual a importância da indústria pesada para cidades como Creusot?;A indústria pesada criou cidades inteiras, onde mais da metade da população trabalhava nas fábricas da empresa local.
Quem era visto como autoridade na empresa industrial?;O gerente, identificado com a empresa, que tinha apoio da lei e do Estado.
Como o capitalismo era percebido na época?;Como um negócio dirigido por um único homem, família ou empresário, não uma entidade impessoal.
Como eram financiadas as empresas industriais no século XIX?;Principalmente com capital privado e reinvestimento dos lucros, mas às vezes precisavam de crédito bancário para operações.
Qual dificuldade havia para financiar grandes empreendimentos?;Altos custos iniciais e falta de grandes reservas de capital privado em países industrializantes.
Quem foram os maiores investidores no exterior no século XIX?;Ingleses e franceses investiram muito fora de seus países, às vezes prejudicando suas próprias indústrias.
"O que era o ""crédit mobilier""?";Uma companhia financeira industrial que financiava indústrias e competia com bancos tradicionais, originada na França.
Quem foram os Pereire e Rothschild?;"Rivalizaram pelo controle do crédito industrial: Pereire criaram o crédit mobilier; Rothschild resistiram, mas foram obrigados a seguir."
Qual o papel das bolsas de valores no século XIX?;Comercializavam ações de empresas industriais, de transporte e mineração, crescendo muito na época.
Qual era a opinião dos industriais sobre os financistas?;Desconfiavam deles e evitavam lidar com bancos, preferindo reinvestir lucros.
Por que Krupp precisou buscar capital externo entre 1855-1866?;Cresceu tão rápido que ficou sem capital próprio suficiente para continuar expansão.
Como variava a dependência de capital em países atrasados?;Quanto mais atrasado, maior dependência de poupança em larga escala e financiamento externo.
Qual o papel dos bancos na Alemanha durante a industrialização?;Atuar como agentes de desenvolvimento, financiando e dirigindo indústrias, mais que em outros países ocidentais.
Como os grandes industriais da Alemanha lidavam com os bancos?;"A partir de 1870, passaram a ""colonizar"" os bancos, integrando-se a eles para garantir financiamento."
Qual era o modelo básico de direção nas empresas familiares?;Autocracia patriarcal familiar, onde o chefe dava exemplo pessoal e era acessível aos empregados.
Como os trabalhadores especializados eram treinados nos Krupp?;Por instrução no trabalho, aprendendo com artesãos e trabalhadores mais experientes.
Qual era a alternativa ao comando patriarcal em grandes empresas?;A gerência militar ou burocrática, com hierarquias uniformizadas e disciplina.
Por que as companhias de ferro usavam um modelo militar de gestão?;Porque não havia um modelo empresarial claro para grandes organizações, e o militar oferecia disciplina e hierarquia.
Qual era a visão dos empregadores sobre o trabalho dos operários?;Eles deveriam ser leais, disciplinados e satisfeitos com o mínimo, trabalhando para subir de classe, mas a maioria ficaria na classe trabalhadora.
"O que representava a promessa da ""promoção"" para os trabalhadores?";Um ideal para alguns, mas a maioria permaneceria operária, pois o sistema econômico precisava disso.
Era o dinheiro um incentivo eficaz para os trabalhadores?;Não, empregadores queriam manter os salários o mais baixos possível para maximizar lucros.
O que Thomas Brassey apontou sobre trabalhadores bem pagos?;Trabalhadores bem pagos na Inglaterra eram mais produtivos e, portanto, mais baratos que os muito mal pagos em outras regiões.
O que dizia a teoria econômica do wage-fund?;Que aumentar salários era impossível, e sindicatos estavam condenados ao fracasso.
Quando a teoria do wage-fund começou a perder força?;Por volta de 1870, com o surgimento do trabalhismo organizado como força permanente.
Qual era a visão da classe média sobre a pobreza dos trabalhadores?;Eles acreditavam que os trabalhadores deveriam ser pobres, pois pobreza indicava inferioridade de classe.
Como a classe média via o luxo entre trabalhadores?;Considerava inadequado e indignante que trabalhadores tivessem privilégios como pianos de cauda e champagne.
Que condições mínimas eram consideradas aceitáveis para os trabalhadores?;Comida decente, moradia modesta, vestimenta adequada e saúde, sem imitar os padrões da elite.
Por que era indesejável aumentar salários além desse limite?;Porque poderia gerar imitação da classe alta, perigo social e descontentamento entre os empregadores.
Como mudou a relação salarial no capitalismo inglês da década de 1860?;Passou a ser mais flexível e baseada no mercado, com contratos mais curtos e pagamentos semanais, diários ou por hora.
O que os patrões esperavam dos trabalhadores quanto aos salários?;Que trabalhassem duro e agradecessem pelo emprego, pois havia um grande exército industrial de reserva esperando.
O que é o sistema de pagamento por piece-work?;Pagamento por produção, que incentiva maior produtividade e reduz custos para os empregadores.
Qual era o problema do trabalho por piece-work para os trabalhadores?;Era complexo, obscuro e difícil de administrar, causando resistência especialmente entre os especializados.
Como os trabalhadores tentavam garantir um salário mínimo?;"Por meio de sindicatos ou práticas informais, criando um ""salário padrão"" protegido."
Qual era o principal problema enfrentado pelos trabalhadores do século XIX?;A insegurança: não sabiam quanto ganhariam, se manteriam o emprego ou como enfrentariam acidentes e doenças.
Por que a insegurança era maior para os trabalhadores do que para camponeses?;Porque o trabalho industrial era imprevisível, enquanto os camponeses podiam prever sua vida diária, apesar de riscos naturais.
O que o liberalismo defendia sobre a insegurança no trabalho?;Que era o preço da liberdade e progresso, tolerável pela expansão econômica constante.
"Quem eram os ""empregados"" mais vulneráveis na sociedade burguesa?";Empregados domésticos urbanos, que podiam ser demitidos sem aviso ou recomendação, vivendo alta insegurança.
Como a expansão econômica afetou a insegurança dos trabalhadores?;Mitigou a insegurança, criando muito emprego e movimentando grandes exércitos de trabalhadores rurais para o mercado industrial.
Quando os salários reais começaram a aumentar na Europa?;Só no final da década de 1860, após um longo período de dificuldades nas décadas anteriores.
Por que a competição entre trabalhadores rurais e urbanos não piorou as condições da classe operária?;Porque a expansão econômica era muito forte, criando muitos empregos apesar da concorrência.
Como a classe operária via a insegurança no século XIX?;Como uma condição constante e real, diferente da classe média, sem reservas para emergências.
O que acontecia com famílias operárias em crises, como a guerra civil dos EUA?;Rapidamente caíam na miséria, mesmo famílias que antes ganhavam razoavelmente.
Qual era a expectativa para trabalhadores idosos?;A partir dos 40 anos, a força física diminuía e a pobreza era inevitável na velhice.
Como era vista a vida da classe média nos meados do século XIX?;"Como uma ""idade de ouro"", com homens no auge da carreira e sem declínio físico aparente."
Quem liderava os sindicatos e por quê?;Trabalhadores especializados e mais capazes, que tinham consciência da necessidade de organização para melhorar condições.
Qual era a percepção da classe média sobre os sindicatos?;Viam os sindicatos como grupos desorganizados e agitadores que não conseguiriam melhorar a vida.
Como era o sentimento da maioria dos trabalhadores sobre o trabalho?;Gostavam de trabalhar e tinham expectativas modestas, buscando uma vida digna e honesta.
Como eram vistos os trabalhadores não especializados?;Orgulhosos da força e do trabalho pesado, especialmente os imigrantes e rurais recém-chegados.
Por que os trabalhadores especializados resistiam a certas mudanças?;Queriam manter o orgulho e o respeito pelo trabalho, recusando ordens que diminuíssem a qualidade ou ritmo natural do serviço.
Qual era o lema dos trabalhadores especializados?;"""Um dia justo de trabalho por um dia justo de pagamento."""
Como os trabalhadores viam a relação salário x trabalho?;Esperavam que o pagamento fosse justo e que o trabalho fosse satisfatório para ambas as partes.
Como os empregadores viam os trabalhadores e o mercado de trabalho?;Queriam comprar o trabalho mais barato possível e vender o produto mais caro, mas os trabalhadores buscavam apenas uma vida decente.
O que dominava o compromisso dos trabalhadores com o trabalho?;Mais a vida humana e dignidade do que interesses puramente econômicos.
"Era possível falar dos ""trabalhadores"" como uma categoria única?";Não, pois havia grande diversidade em origem, formação, situação econômica, língua e costumes.
O que unia os trabalhadores apesar das diferenças?;O trabalho manual, a exploração e o destino de serem operários, além da segregação crescente da burguesia.
Como era a relação dos trabalhadores com a burguesia?;A burguesia ficava mais rica e inflexível, dificultando a ascensão dos trabalhadores.
Qual papel social tinha a taverna nas cidades?;"Era o centro social dos trabalhadores, chamada por um burguês liberal de ""a igreja do trabalhador""."
O que ocorreu com a religiosidade tradicional entre os trabalhadores?;Foi enfraquecida, com muitos transferindo sua fé para o socialismo, especialmente entre os especializados.
O que representava a homogeneidade dos trabalhadores pobres na 1ª metade do século?;Uma massa de descontentes e oprimidos, embora essa homogeneidade tenha diminuído com o capitalismo estável.
Quem se beneficiava mais dos sindicatos?;"As minorias mais organizadas e ""respeitáveis"", pois os sindicatos não representavam todos os pobres."
"O que separava os trabalhadores ""respeitáveis"" dos ""sem respeito""?";Uma divisão social e política: os primeiros buscavam moderação e direitos, os últimos eram excluídos politicamente.
"O que significava ""respeitabilidade"" na classe operária?";A adoção de valores da classe média como sobriedade, sacrifício e adiamento da gratificação, essenciais para a autoestima e luta coletiva.
Quem foi William Marcroft?;"Um exemplo de trabalhador modesto que subiu socialmente, defensor da ""ajuda-a-si-mesmo"" (cooperativismo) e moderado politicamente."
Quem foi William Allan?;Trabalhador radical, seguidor da luta de classes e ligado à escola social de Robert Owen, líder sindical liberal e anglicano convicto.
Que papel tinha o trabalhador especializado na classe operária?;Era base do controle social da classe média e da autodefesa coletiva dos trabalhadores, com perspectivas modestas de melhoria.
Como a classe trabalhadora via o mercado livre liberal?;Sabia que ele não garantiria direitos nem supriria necessidades, por isso precisava se organizar e lutar.
"Qual era a situação da ""aristocracia do trabalho"" na Inglaterra?";Camada importante que ajudou a transformar o Partido Liberal e liderou o movimento sindical poderoso.
Como era o movimento operário na Alemanha?;"Mesmo os ""respeitáveis"" eram empurrados ao proletariado e acabavam se aproximando do social-democratismo."
"Onde a ""respeitabilidade"" tinha pouco peso político?";Na França e em países com tradição revolucionária, onde a insurreição era uma resposta comum dos trabalhadores pobres.
"Quem eram os trabalhadores ""não-respeitáveis""?";Trabalhadores pobres, marginalizados, com pouca representação política ou sindical, raramente alcançados por organizações.
Como o Exército da Salvação atuava entre os trabalhadores pobres?;Tentava ajudar, mas acabou sendo mais entretenimento público e fonte de caridade, sem grande impacto político.
Quem participava dos grandes levantes políticos, como o Cartismo?;Trabalhadores como vendedores de mercado, que eram politicamente ativos e mobilizados.
Que grupo apoiou a Comuna de Paris em 1871?;"Especializados e artesãos; os setores marginais entre os pobres tinham pouca participação."
Onde estaria o espírito de insurreição segundo Bakunin?;Entre marginais e subproletariado, embora eles não fossem base real para movimentos revolucionários.
