to abolish;abolir
precipice;precipício
to precipitate;precipitar
precipitous;íngreme, repentino
to preclude;impedir
precocious;precoce
precursor;precursor
predilection;predileção
predominance;predominância
preeminent;proeminente
to preempt;antecipar, prevenir
prelude;prelúdio
premonition;premonição
preponderance;preponderância
preposterous;absurdo, ridículo
prerequisite;pré-requisito
prerogative;prerrogativa
presumption;presunção
presumptuous;presunçoso
pretence;pretensão, fingimento
pretender;pretendente
pretentious;pretensioso
pretext;pretexto
prevalent;prevalente
to prevaricate;tergiversar
primacy;primazia
primeval;primevo
pristine;prístino, imaculado
privation;privação
probity;probidade
proclamation;proclamação
proclivity;propensão
to procrastinate;procrastinar
to procure;procurar, obter
procurement;aquisição
prodigal;pródigo
prodigious;prodigioso
prodigy;prodígio
profane (adj);profano
profanity;profanidade
to profess;professar (declarar)
to proffer;oferecer
proficiency;proficiência
profligate;devasso, perdulário
profusion;profusão
progeny;progênie
prognosis;prognóstico
prohibitive;proibitivo
proliferation;proliferação
prolific;prolífico
prologue;prólogo
promiscuity;promiscuidade
propagandist;propagandista
propensity;propensão
prophecy;profecia
propitious;propício
proponent;proponente
proprietor;proprietário
propriety;propriedade (etiqueta)
prosaic;prosaico
to proscribe;proibir, declarar fora da lei
protagonist;protagonista
prototype;protótipo
to protract;prolongar
protégé;protegido (pupilo)
provenance;proveniência
proverb;provérbio
providence;providência
proviso;condição, ressalva
prowess;proeza, habilidade
proximity;proximidade
proxy;procuração
prudence;prudência
prudent;prudente
pseudonym;pseudônimo
psyche;psique
puerile;pueril
pugnacious;pugnaz
pulpit;púlpito
punctilious;meticuloso, escrupuloso
pundit;especialista (comentarista)
pungency;pungência
pungent;pungente, acre
purge;expurgo
purist;purista
to purport;supostamente (pretender)
purveyor;fornecedor
pusillanimous;pusilânime
quack;charlatão (médico falso)
quadrant;quadrante
quagmire;atoleiro, situação complicada
quaint;pitoresco, encantador
qualm;escrúpulo, dúvida
quandary;dilema
quarantine;quarentena
quarry;pedreira, presa (caça)
quartet;quarteto
to quash;anular, sufocar
quaver;tremor (na voz)
to quell;reprimir, acalmar
querulous;queixoso
quibble;picuinha, detalhe
quicksand;areia movediça
quiescent;quiescente
quintessence;quintessência
quintessential;por excelência
quintet;quinteto
quip;gracejo, observação espirituosa
quiver;tremor, aljava
quixotic;quixotesco
quorum;quórum
rabble;ralé, multidão
radiance;radiância
radicalism;radicalismo
rambunctious;desbocado, agitado
ramification;ramificação
rancour;rancor
ransom;resgate
rapacious;rapaz
rapacity;rapacidade
rapport;relação de harmonia
rapture;êxtase
rascal;tratante, patife
rashness;precipitação, imprudência
ratification;ratificação
to ratify;ratificar
rationale;fundamento lógico
rationalism;racionalismo
raucous;rouco, estridente
ravage (n);devastação
ravine;ravina
to rebuff;repelir, rejeitar
to rebuke;repreender
rebuttal;refutação
recalcitrance;recalcitrância
recalcitrant;recalcitrante
to recant;retratar-se (declaração)
recidivism;reincidência (crime)
reciprocal;recíproco
to reciprocate;retribuir
reciprocity;reciprocidade
recklessness;imprudência
reclamation;recuperação, reivindicação
recluse;recluso
reclusive;recluso
to reconcile;reconciliar
recondite;recondito, obscuro
reconnaissance;reconhecimento (militar)
recourse;recurso (solução)
recrimination;recriminação
rectification;retificação
to rectify;retificar
rectitude;retidão
to redeem;redimir
redemption;redenção
redress;reparação
refinery;refinaria
reformation;reforma (religiosa)
refractory;refratário
refutation;refutação
to refute;refutar
regent;regente
registrar;escrivão, oficial de registro
regression;regressão
reimbursement;reembolso
reincarnation;reencarnação
reiteration;reiteração
to relegate;relegar
relegation;rebaixamento
relic;relíquia
to relinquish;renunciar, largar
to relish;apreciar (comida/experiência)
reluctance;relutância
remembrance;lembrança
reminiscent;reminiscente
remiss;descuidado, negligente
remission;remissão (doença, pena)
to remit;remeter, enviar (dinheiro)
remnant;remanescente
remorse;remorso
remuneration;remuneração
renaissance;renascimento
rendition;interpretação (artística)
renegade;renegado
to renege;voltar atrás (promessa)
to renounce;renunciar
renown;renome
reparation;reparação
repatriation;repatriação
to repeal;revogar (lei)
repentance;arrependimento
repercussion;repercussão
repertoire;repertório
to replenish;reabastecer
replete;repleto
repository;repositório
reprehensible;repreensível
repression;repressão
reprieve;adiamento, trégua
reprimand (n) / to reprimand (v);repreensão / repreender
reprisal;represália
to reproach;reprochar
to repudiate;repudiar
repudiation;repúdio
repugnance;repugnância
repugnant;repugnante
repute;reputação
requisite;requisito
requisition;requisição
to rescind;rescindir
residual;residual
resilience;resiliência
resilient;resiliente
resolute;resoluto
resolutely;resolutamente
resonance;ressonância
respite;trégua, descanso
resplendent;resplandecente
restitution;restituição
restive;inquieto, impaciente
resurgence;ressurgimento
resurrection;ressurreição
to retaliate;retaliar
reticence;reticência
reticent;reticente
retort;resposta (rápida)
to retract;retratar (retirar declaração)
retraction;retratação
retribution;retribuição (punição)
retrospection;retrospetiva
revelry;folia, festa
reverberation;reverberação
to revere;reverenciar
reverent;reverente
reverential;reverente
reverie;devaneio
revisionism;revisionismo
revocation;revogação
to revoke;revogar
rift;fissura, desentendimento
righteousness;retidão, justiça
rigmarole;lengalenga, complicação
rigorous;rigoroso
rigour;rigor
ringleader;líder (de grupo criminoso)
rite;rito
rogue;patife, solitário (animal)
rostrum;tribuna, palanque
rout;derrota (completa)
rubric;rubrica, critério
ruckus;tumulto, confusão
rudiment;rudimento
ruination;ruína
to ruminate;ruminar
rumination;ruminação
to rupture;romper
ruse;ardil, artimanha
sabotage;sabotagem
saboteur;sabotador
sacrilege;sacrilégio
sacrosanct;sacrossanto
to safeguard;proteger, salvaguardar
saga;saga
sagacious;sagaz
sage (n);sábio
sainthood;santidade
salacious;lascivo
salient;saliente, proeminente
salubrious;salubre
salutation;saudação
salvation;salvação
sanctimonious;santarrão, beato
sanctity;santidade
sanctuary;santuário
sanguine;sanguíneo (otimista)
sarcasm;sarcasmo
sardonic;sardônico
to satiate;saciar
satire;sátira
satirist;satírico
savagery;selvageria
savant;sábio, erudito
scaffold;andaime, cadafalso
scapegoat;bode expiatório
scarcity;escassez
scathing;arrasador (crítica)
schism;cisma
scion;rebento, herdeiro
to scorn;desprezar
scoundrel;canalha
scourge;flagelo
scruple;escrúpulo
scrupulous;escrupuloso
to scrutinise;escrutinar
scurrilous;difamatório, grosseiro
secession;secessão
seclusion;reclusão
secretariat;secretariado
sedentary;sedentário
sediment;sedimento
seditious;sedicioso
sedulous;diligente, aplicado
seer;vidente
segregation;segregação
seizure;apreensão, ataque (epilético)
semantics;semântica
semblance;semelhança, aparência
seminal;seminal
senility;senilidade
sequel;sequência, continuação
sequestration;sequestro (bens)
serendipitous;por acaso feliz
serenity;serenidade
serfdom;servidão
servile;servil
servility;servilismo
servitude;servidão
severance;separação, rescisão
severity;severidade
shackle;grilhão
shambles;bagunça
shard;caco, fragmento
sheen;brilho, lustro
to shirk;esquivar-se
shoddy;de má qualidade
shrewdness;astúcia
shrine;santuário
shroud;mortalha, véu
shrouded;envolto (em mistério)
to shun;evitar
siege;sítio (cerco)
silhouette;silhueta
simile;símile
simpleton;simplório
sinecure;sinecura
singular;singular
singularity;singularidade
siren;sirene
skirmish;escaramuça
skullduggery;trapaça, artimanha
slander (n) / to slander (v);calúnia / caluniar
sloth;preguiça
slumber;sono (leve)
smattering;conhecimento superficial
snare;armadilha
snooty;arrogante, esnobe
snub;des ar (recusa)
sobriety;sobriedade
sojourn;estada (temporária)
solace;consolo
solemn;solene
solemnity;solenidade
solicitor;advogado (UK)
solicitous;solícito, preocupado
soliloquy;solilóquio
solitary;solitário
solitude;solidão
solstice;solstício
sombre;sombrio
sophistry;sofisma
sophomore;segundo ano (faculdade)
sordid;sórdido
sovereign;soberano
to sow;semear
spasm;espasmo
spate;enxurrada (de eventos)
to spawn;gerar, procriar
specious;especuloso, enganoso
spectre;espectro
speculator;especulador
spinster;solteirona
splendour;esplendor
spontaneity;espontaneidade
sprawl;expansão desordenada
spur;espora, incentivo
spurious;espúrio
to spurn;rejeitar com desprezo
squadron;esquadrão
squalid;sórdido, miserável
squalor;miséria
to squander;desperdiçar
stagnant;estagnado
staid;sóbrio, sério
stalemate;impasse
stalwart;partidário fiel
stamina;resistência
stampede;debandada
standoff;impasse
standstill;paralisação
stanza;estrofe
stasis;estase
stately;majestoso
statesmanship;estadismo
statute;estatuto
staunch;leal, firme
steadfastness;firmeza
stealth;furtividade
stench;fedor
steward;comissário, administrador
stewardship;gestão
stickler;exigente (com regras)
to stifle;sufocar
stigma;estigma
stint;período (de trabalho), parcimônia
to stipulate;estipular
stoic;estoico
stoicism;estoicismo
stolid;impassível
stopgap;paliativo
stowaway;polizonte
stratagem;estratagema
strategist;estrategista
stratification;estratificação
stratum;estrato
stricture;crítica severa, restrição
strident;estridente
strife;conflito
stringency;rigor
stringent;rigoroso
stronghold;reduto
stupor;estupor
subconscious (n);subconsciente
to subdue;subjugar
to subjugate;subjugar
sublime;sublime
subordinate (adj / n);subordinado
subordination;subordinação
subpoena;intimação
subservience;subserviência
subsistence;subsistência
to substantiate;substanciar, comprovar
substantiation;comprovação
subterfuge;subterfúgio
subtlety;sutileza
subversion;subversão
subversive (adj);subversivo
to subvert;subverter
succinct;sucinto
to succumb;sucumbir
sufficiency;suficiência
suffrage;sufrágio (voto)
suffragette;sufragista
sullen;mal-humorado
summation;resumo, soma
summons;intimação
sumptuous;suntuoso
superficial;superficial
superfluous;supérfluo
to supersede;substituir, sobrepor
superstition;superstição
supine;supino, passivo
to supplant;suplantar
supple;flexível, maleável
supremacist;supremacista
supremacy;supremacia
surfeit;excesso
to surmise;supor
to surmount;superar
to surpass;superar
surreptitious;sorrateiro
surrogate;substituto
susceptibility;suscetibilidade
susceptible;suscetível
sustenance;sustento
swathe;faixa, leira
swindle;fraude, golpe
sycophancy;servilismo
sycophant;sicofanta, bajulador
sycophantic;bajulador
syllabus;programa (de curso)
symbiosis;simbiose
symbolism;simbolismo
symposium;simpósio
syndicate;sindicato (financeiro)
synergy;sinergia
synopsis;sinopse
tableau;quadro (cena)
tabloid;tabloide
taboo;tabu
tacit;tácito
taciturn;taciturno
tact;tato
tactician;tático
taint;mancha, contaminação
talisman;talismã
tangential;tangencial
tangible;tangível
tantamount;equivalente
tantrum;birra, ataque de raiva
tariff;tarifa
to tarnish;manchar
taskmaster;capataz
tawdry;espalhafatoso, de mau gosto
tedious;tedioso
tedium;tédio
telepathy;telepatia
temerity;temeridade
temperament;temperamento
temperance;temperança
tempestuous;tempestuoso
tempo;tempo (música/ritmo)
temporal;temporal (relativo ao tempo)
tenacious;tenaz
tenacity;tenacidade
tenet;princípio (doutrina)
tenor;teor, tendência
tentative;provisório, experimental
tenuous;ténue
termination;rescisão, término
terminology;terminologia
terminus;terminal
terse;lacônico, seco
testament;testamento
testimonial;depoimento, referência
tether;amarra
theatricality;teatralidade
theologian;teólogo
theorem;teorema
thesaurus;dicionário de sinônimos
thicket;matagal
thoroughfare;via pública
thrall;cativeiro, fascínio
thrift;parcimônia
throwback;reminiscência (do passado)
to thwart;frustrar, impedir
timbre;timbre
timidity;timidez
timorous;timorato, medroso
tipster;informante (apostas)
tirade;discurso inflamado
titan;titã
tithe;dízimo
token;símbolo, ficha
tokenism;simbolismo superficial
tombstone;lápide
tome;tomo (livro)
tonnage;tonelagem
topography;topografia
torment (n) / to torment (v);tormento / atormentar
tornado;tornado
torpid;torpido, letárgico
torpor;torpor
torque;torque
torrent;torrente
torrid;tórrido
tortuous;tortuoso
totalitarian;totalitário
touchstone;padrão, referência
tourniquet;torniquete
toxicity;toxicidade
tract;trato (área, folheto)
tractable;tratável, maleável
tradesman;comerciante
traditionalism;tradicionalismo
trafficker;traficante
trailblazer;pioneiro
trajectory;trajetória
trance;transe
tranquil;tranquilo
tranquillity;tranquilidade
to transcend;transcender
transcendence;transcendência
to transcribe;transcrever
to transgress;transgredir
transgression;transgressão
transient;transitório
translucent;translúcido
travesty;farsa, zombaria
treacherous;traiçoeiro
treachery;traição
treason;traição (à pátria)
treatise;tratado
tremor;tremor
trenchant;incisivo, cortante
trepidation;trepidação
tribalism;tribalismo
tribulation;tribulação
tribunal;tribunal
tribune;tribuno
tributary;afluente, tributário
trickery;trapaça
trickster;trapaceiro
trifle;ninharia
trilogy;trilogia
trinket;bugiganga
trite;banal, gasto
troupe;trupe
truculent;truculento
trudge;caminhada pesada
truism;truísmo
to truncate;truncar
trusteeship;tutela
tumult;tumulto
tumultuous;tumultuado
tundra;tundra
turbulence;turbulência
turbulent;turbulento
turmoil;agitação
turncoat;traidor (de partido)
turpitude;torpeza
tutelage;tutela
twilight;crepúsculo
tycoon;magnata
typhoon;tufão
tyranny;tirania
tyrant;tirano
ubiquitous;ubíquo
ubiquity;ubiquidade
ultimatum;ultimato
umbrage;ofensa (take umbrage)
umpire;árbitro
unanimity;unanimidade
unanimous;unânime
unctuous;untuoso, fingido
undaunted;intrépido
undercurrent;corrente subterrânea
underdog;azarão, oprimido
underling;subalterno
underpinning;fundamento
understatement;eufemismo (minimizar)
understudy;substituto (teatro)
undertaker;agente funerário
undertaking;empreendimento
undertone;tom baixo
underworld;submundo
underwriter;subscritor (seguro)
undoing;ruína, perdição
unease;desconforto
unenviable;nada invejável
unequivocal;inequívoco
unfathomable;insondável
unification;unificação
uniformity;uniformidade
unison;uníssono
universality;universalidade
unpalatable;desagradável
unpretentious;sem pretensão
unremitting;incessante
unrivalled;sem rival
unruly;indisciplinado
unsullied;imaculado
untenable;insustentável
unthinkable;impensável
untrodden;inexplorado
unwieldy;pesado, difícil de manusear
unwitting;inconsciente
to upbraid;repreender
upheaval;convulsão
upkeep;manutenção
uprising;revolta
uproar;tumulto
uproarious;ruidoso, hilariante
upshot;resultado final
upsurge;aumento súbito
upturn;melhora, recuperação
urbane;cortês, urbano
urgency;urgência
usher;porteiro
to usurp;usurpar
usurpation;usurpação
utensil;utensílio
utilitarianism;utilitarismo
utmost;máximo
utopia;utopia
utopianism;utopismo
utterance;palavra, declaração
vacancy;vaga
to vacillate;vacilar
vacillation;vacilação
vacuous;vazio (sem conteúdo)
vagary;capricho
vagrant;vagabundo
vain;vaidoso, vão (inútil)
to validate;validar
valour;valentia, coragem
valuation;avaliação
vandal;vândalo
vandalism;vandalismo
vanguard;vanguarda
vanity;vaidade
to vanquish;vencer, derrotar
vanquished;vencido
vapid;insípido, sem graça
variance;desacordo
variegated;variegado
vastness;vastidão
vault;abóbada, cofre, salto
vehemence;veemência
vehemently;veementemente
velocity;velocidade
velvet;veludo
venal;venal (subornável)
vendetta;rixa, vingança
veneer;verniz, fachada
venerable;venerável
veneration;veneração
vengeance;vingança
venom;veneno
vent;abertura, desabafo
veracity;veracidade
verbatim;verbatim (literal)
verbose;prolixo
verdant;verdejante
verge;beira, limite
verification;verificação
verisimilitude;verossimilhança
vermin;verme (pragas)
vernacular;vernáculo
versatility;versatilidade
vertex;vértice
vertigo;vertigem
verve;garra, energia
vestige;vestígio
veto (n) / to veto (v);veto / vetar
vexation;aborrecimento
vexatious;aborrecido
viability;viabilidade
vicarious;vicário (experiência)
vicinity;vizinhança
vicissitude;vicissitude
victor;vencedor
vigil;vigília
vigilance;vigilância
vigilante;justiceiro
vigour;vigor
vile;vil
vilification;vilipêndio
to vilify;vilipendiar
villain;vilão
villainy;vilania
to vindicate;vindicar
vindication;reabilitação
vindictive;vingativo
vindictiveness;vingança
vintage;safra, antigo (de qualidade)
viper;víbora
virtuosity;virtuosismo
virtuoso;virtuose
virulence;virulência
virulent;virulento
visage;semblante, rosto
visceral;visceral
visionary (n);visionário
vista;vista, panorama
vitality;vitalidade
vitriolic;vitriólico
to vituperate;vituperar
vivacious;vivaz
vivacity;vivacidade
vocation;vocação
vociferous;vociferante
vogue;moda
void (n / adj);vazio
volatile;volátil
volatility;volatilidade
volition;volição, vontade
volley;saraivada
voracious;voraz
vortex;vórtice
voucher;comprovante, vale
voyeur;voyeur
vulgarity;vulgaridade
to wager;apostar
waiver;renúncia (direito)
walkout;greve (abandono)
to wane;minguar
wanton;imoderado, gratuito
wantonness;libertinagem
warden;guarda, diretor (prisão)
warlord;senhor da guerra
warranty;garantia
wasteland;terra devastada
watchdog;fiscal
watchword;lema, palavra de ordem
watershed;divisor de águas
to waver;vacilar
wayward;rebelde, voluntarioso
waywardness;rebeldia
weaponry;armamento
weariness;cansaço
wedlock;matrimônio
wharf;cais
wheedling;bajulação
whereby (adv);pelo qual
wherewithal;recursos financeiros
whim;capricho
whimsical;caprichoso
whimsy;fantasia
whirlpool;redemoinho
whirlwind;vendaval
whistleblower;denunciante
whitewash;encobrimento
wickedness;maldade
to wield;empunhar
wilderness;deserto, selva
wildfire;incêndio florestal
willfulness;teimosia
windfall;ganho inesperado
wisp;fio, tufo, rastro
wistful;melancólico (desejo)
wistfulness;melancolia
witchcraft;bruxaria
to withstand;resistir
witticism;tirada espirituosa
wizardry;feitiçaria
wizened;enrugado (pela idade)
woe;infelicidade, problema
wordiness;prolixidade
workmanship;artesanato, acabamento
wrath;ira
wreckage;destroços
wretched;miserável
wrongdoer;infrator
wry;torto, irônico
xenophobe;xenófobo
xenophobia;xenofobia
yardstick;critério, referência
yarn;fio, história (longa)
yearning;anseio, saudade
yoke;jugo, canga
yokel;caipira (pejorativo)
youngster;jovem
zeal;zelo
zealot;zelote, fanático
zealotry;fanatismo
zealous;zeloso
zeitgeist;espírito da época
zenith;zênite
zest;entusiasmo, gosto
zigzag;ziguezague
zodiac;zodíaco
zoology;zoologia
