Qual é o período identificado por Eugênio Vargas Garcia como de prevalência do pan-americanismo na política externa brasileira?;De 1889 (I Conferência Pan-Americana) até 1961 (início da Política Externa Independente - PEI).
Quantos Estados atualmente reconhecem a competência contenciosa da CtIDH?;Vinte Estados reconhecem a competência contenciosa: Argentina, Barbados, Bolívia, Brasil, Chile, Colômbia, Costa Rica, Equador, El Salvador, Guatemala, Haiti, Honduras, México, Nicarágua, Panamá, Paraguai, Peru, República Dominicana, Suriname e Uruguai.
Qual foi o processo do Brasil para ratificar a CADH e reconhecer a jurisdição da CtIDH?;"O Brasil ratificou a CADH em 1992, com declaração interpretativa restringindo visitas in loco; aceitou supervisão plena em 1998 no governo FHC; reconheceu a jurisdição da Corte em 1998; e promulgou decreto em 2002 para implementação nacional."
Qual a função da CtIDH na emissão de Medidas Provisórias?;Proferir medidas urgentes e de extrema gravidade para evitar danos irreparáveis à proteção dos direitos humanos.
Quando a CtIDH realizou sua primeira ação contenciosa?;Em 1986, após um período inicial dedicado principalmente a opiniões consultivas.
Quais são as três principais fontes de financiamento da Corte Interamericana de Direitos Humanos (CtIDH)?;Fundo Ordinário da OEA (60,32%), cooperação internacional (28,88%) e contribuições voluntárias de Estados-Membros (10,80%). Apenas México e Costa Rica contribuem voluntariamente.
Quais organizações internacionais contribuem para a cooperação financeira da CtIDH?;Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ), Agência Suíça para o Desenvolvimento e a Cooperação (COSUDE) e Ministério de Relações Exteriores da Noruega, entre outros.
O que é o Fundo de Assistência Legal da Corte?;É um mecanismo que facilita o acesso à justiça para pessoas que não dispõem de recursos econômicos para levar casos ao SIPDH, financiado por doações, principalmente dos governos da Noruega e Dinamarca, e avaliado pela Presidência do Tribunal.
Quantos períodos de sessões a CtIDH realiza atualmente por ano?;Ao menos sete períodos, incluindo sessões ordinárias e extraordinárias.
Qual o quórum para deliberações da CtIDH e como são tomadas as decisões?;"O quórum mínimo é de cinco juízes; decisões são tomadas pela maioria dos presentes e, em caso de empate, o presidente tem voto de qualidade."
As audiências da CtIDH são públicas?;Sim, como regra geral as audiências são públicas, exceto em casos excepcionais decididos em contrário.
Quando e onde ocorreu o 150º Período Ordinário de Sessões da CtIDH?;De 22 a 27 de agosto de 2022, em Brasília, Brasil.
Qual a importância da realização de sessões da CtIDH em diferentes países, como o Brasil?;"Consolida os valores e a institucionalidade dos direitos humanos no continente; é uma singularidade do sistema americano, já que cortes europeia e africana não possuem mecanismo similar de movimentação para seus períodos de sessões."
Cite três tratados interamericanos de direitos humanos dos quais o Brasil é signatário.;Declaração Americana dos Direitos e Deveres do Homem (1948), Convenção Americana sobre Direitos Humanos (1969), Convenção Interamericana para a Eliminação de Todas as Formas de Discriminação contra Pessoas Portadoras de Deficiência (1999).
Quem foi Paulo Abrão e o que ocorreu durante sua gestão na CIDH?;Foi secretário-executivo da CIDH, reeleito por unanimidade em 2020, mas destituído pelo secretário-geral da OEA devido a denúncias funcionais. A CIDH considerou a decisão um ataque sério, defendendo o devido processo. A nova secretária-executiva, Tania Reneaum Panzsi, foi nomeada em 2021.
Quem é Rodrigo de Bittencourt Mudrovitsch?;Juiz brasileiro eleito para a CtIDH em novembro de 2021, empossado em fevereiro de 2022, sendo o terceiro brasileiro a integrar a Corte.
Quantos casos contenciosos envolvendo o Brasil foram julgados pela CtIDH?;Doze casos julgados e outros oito em tramitação nos últimos dois anos.
Qual foi a decisão da CtIDH no caso Ximenes Lopes vs. Brasil (2006)?;O Brasil foi condenado por violar os direitos à vida, integridade pessoal e garantias judiciais, sendo determinadas medidas de reparação, satisfação e não repetição, como indenização à família e programas de capacitação em saúde mental.
Qual foi o desfecho do caso Nogueira de Carvalho e outro vs. Brasil (2006)?;Apesar das graves violações, o Brasil não foi condenado, por falta de provas suficientes para comprovar violação das garantias e proteção judiciais.
O que o caso Escher e outros vs. Brasil (2009) denunciou e qual foi a decisão da Corte?;Denunciou interceptação ilegal e divulgação de conversas telefônicas de membros do MST pela Polícia Militar do Paraná. A CtIDH condenou o Brasil por violar direitos à privacidade, honra, reputação e liberdade de associação, determinando indenização e investigação dos fatos.
Qual foi o contexto do caso Garibaldi vs. Brasil (2009)?;O MST teve um integrante assassinado durante operação extrajudicial de despejo em Querência do Norte (PR). O caso foi submetido à CIDH e envolve violações graves dos direitos humanos de trabalhadores rurais sem-terra.
Qual foi a decisão da CtIDH no caso Garibaldi vs. Brasil?;O Estado violou direitos às garantias judiciais e à proteção judicial por não investigar, sancionar o crime, publicar a sentença e indenizar os familiares da vítima.
O que o caso Gomes Lund e outros (“Guerrilha do Araguaia”) vs. Brasil trata?;Detenção arbitrária, tortura e desaparecimento forçado de 70 pessoas entre 1972-1975 pelo Exército brasileiro na tentativa de erradicar a Guerrilha do Araguaia.
Qual a posição da CtIDH sobre a Lei da Anistia no caso Gomes Lund?;A Corte considerou a Lei da Anistia incompatível com o Direito Internacional, impedindo a investigação e punição de graves violações, e determinou que o Estado adeque seu direito interno à Convenção Americana.
Quais medidas de reparação foram determinadas no caso Gomes Lund?;Investigar os fatos, esclarecer o paradeiro das vítimas desaparecidas, oferecer tratamento às vítimas, implementar curso obrigatório sobre direitos humanos nas Forças Armadas e tipificar o desaparecimento forçado conforme a Convenção.
Qual foi a responsabilidade do Estado no caso Trabalhadores da Fazenda Brasil Verde vs. Brasil?;O Estado foi responsabilizado pela prática de trabalho forçado e servidão por dívidas, pois tinha conhecimento das práticas desde 1989 e não tomou providências para prevenir ou responder.
Quais medidas a CtIDH determinou para o Estado no caso Fazenda Brasil Verde?;Reabrir investigações, processar e punir responsáveis, indenizar trabalhadores resgatados e evitar prescrição do crime de escravidão e suas formas análogas.
Sobre o que versa o caso Favela Nova Brasília vs. Brasil?;Falhas e demora nas investigações das execuções extrajudiciais de 26 pessoas em operações policiais nos anos 1994 e 1995 na comunidade Favela Nova Brasília, RJ.
Que violações foram consideradas no caso Favela Nova Brasília?;"Violação das garantias judiciais de independência, imparcialidade e prazo razoável; direito à proteção judicial; e integridade pessoal das vítimas."
Quais medidas foram impostas pela CtIDH no caso Favela Nova Brasília?;Investigar e punir responsáveis, oferecer tratamento gratuito às vítimas, criar políticas para redução da violência policial e uniformizar termos nos relatórios policiais sobre mortes e lesões.
Qual o foco do caso Herzog e outros vs. Brasil?;Responsabilização do Estado pela detenção arbitrária, tortura e morte do jornalista Vladimir Herzog em 1975, e a impunidade decorrente da Lei da Anistia.
Como a CtIDH classificou as violações no caso Herzog?;Como crimes contra a humanidade, imprescritíveis, que obrigam o Estado a punir os responsáveis independentemente da Lei da Anistia.
Quais foram as medidas determinadas no caso Herzog?;Investigar o caso, indenizar familiares e adotar medidas para reconhecer a imprescritibilidade dos crimes contra a humanidade e internacionais.
Qual a decisão da CtIDH no caso do Povo Indígena Xucuru e seus membros vs. Brasil?;O Estado violou direitos ao prazo razoável, proteção judicial e propriedade coletiva, por demora na retirada de ocupantes não indígenas, mas não violou o direito à integridade pessoal.
Quais medidas foram ordenadas no caso Xucuru?;Garantir o direito do povo Xucuru sobre seu território e efetivar a retirada das intrusões indevidas.
Sobre o que trata o caso Empregados da Fábrica de Fogos em Santo Antônio de Jesus e seus familiares vs. Brasil?;Violação dos direitos à vida, integridade e trabalho em condições satisfatórias por explosão em fábrica de fogos em 1998 que causou mortes e ferimentos.
Quais medidas a CtIDH determinou no caso da fábrica de fogos?;Investigar o caso, reabilitar vítimas, implementar inspeções periódicas e desenvolver programas para a população local.
Qual o tema do caso Barbosa de Souza e outros vs. Brasil?;Impunidade e demora no julgamento do assassinato de Márcia Barbosa de Souza, configurando feminicídio, com imunidade parlamentar gerando atraso discriminatório.
Que violações a CtIDH considerou no caso Barbosa de Souza?;Violação das garantias judiciais, igualdade perante a lei, proteção judicial e integridade pessoal.
Quais medidas foram determinadas para combater o feminicídio no caso Barbosa de Souza?;Implementação de sistema de dados sobre violência contra a mulher, protocolo nacional sobre feminicídio e capacitação policial e judicial com perspectiva de gênero e raça.
Qual foi a decisão da CtIDH no caso Sales Pimenta vs. Brasil (2022)?;"O Estado foi condenado por violação dos direitos à integridade pessoal, proteção judicial e garantias judiciais; determinou criação de espaço público de memória em Belo Horizonte e protocolo para investigação de crimes contra defensores de direitos."
Sobre o que trata o caso Da Silva e outros vs. Brasil (2021)?;Investigação em andamento sobre o homicídio do trabalhador rural Manoel Luiz da Silva, integrante do MST, ocorrido em 1997 na Paraíba.
Qual a alegação central no caso Dos Santos Nascimento e outra vs. Brasil (2021)?;"Discriminação racial contra duas mulheres negras em processo seletivo para emprego em 1998; o Brasil reconheceu violação em 2023."
O que envolve o caso Airton Honorato e outros vs. Brasil (2021)?;Investigação em andamento sobre a morte de 12 supostos integrantes do PCC em 2002 durante a “Operação Castelinho” em São Paulo, envolvendo ação policial violenta.
Qual o foco do caso Tavares Pereira e outros vs. Brasil (2021)?;Em andamento, trata do assassinato de Antônio Tavares Pereira e lesões a 185 trabalhadores do MST pela Polícia Militar do Paraná em 2000.
O que ocorreu no caso Collen Leite e outros vs. Brasil (2022)?;"Detenções arbitrárias, tortura e execução extrajudicial de Eduardo Collen Leite e Denise Peres Crispim, grávida na época, em 1970; processo ainda sem sentença."
Qual a denúncia no caso Leite de Souza e outros vs. Brasil (2022)?;"Desaparecimento forçado em 1990 de 11 pessoas no Rio de Janeiro; processo em andamento."
Sobre o que versa o caso Comunidades Quilombolas de Alcântara vs. Brasil (2022)?;"Alegada desapropriação de terras quilombolas em Alcântara e construção de base militar sem consulta prévia; Brasil reconheceu responsabilidade, pediu desculpas e instituiu grupo para titulação e consulta às comunidades."
O que o caso Muniz da Silva vs. Brasil (2022) aborda?;"Suposto desaparecimento forçado do trabalhador rural e defensor dos direitos na Paraíba, com impunidade até o momento; processo em andamento."
Qual é a origem histórica do sistema interamericano e seus conceitos iniciais?;Remonta ao século XIX, com conceitos de hispano-americanismo, latino-americanismo e pan-americanismo. O pan-americanismo prevalece desde a União Pan-Americana (1890) e depois a OEA (1948), envolvendo cooperação em comércio, direitos e segurança coletiva.
O que é a Cúpula das Américas e qual sua relação com a OEA?;É um mecanismo que reúne periodicamente chefes de Estado e governo das Américas, criado após a revisão da Carta de Bogotá, não formalmente parte da OEA, similar ao Conselho Europeu antes de integrar a UE. Foi proposta em 1994 pelos EUA fora da OEA para reformular o multilateralismo regional.
Quais foram os temas centrais da Cúpula das Américas até o início dos anos 2000?;Direitos humanos, democracia, livre comércio, segurança coletiva e iniciativas comerciais como ALALC, ALADI e negociações da ALCA.
O que foi a Área de Livre Comércio das Américas (ALCA) e qual o papel do Brasil nas negociações?;Proposta nas Cúpulas para integração econômica hemisférica, com negociações iniciadas em 1994. O Brasil copresidiu o grupo negociador junto com os EUA. O processo colapsou por volta de 2005.
Quais são os principais documentos e mecanismos resultantes das Cúpulas das Américas?;Destacam-se a Agenda Comum, o Mecanismo Multilateral de Avaliação no combate às drogas (MEM), o MESICIC para combater corrupção, e a Carta Democrática Interamericana (CDI) de 2001.
Quantas e quais Cúpulas das Américas já foram realizadas até 2022?;Nove cúpulas ordinárias e duas extraordinárias: Miami (1994), Santa Cruz (1996), Santiago (1998), Quebec (2001), Monterrey (2004), Mar del Plata (2005), Port-of-Spain (2009), Cartagena (2012), Cidade do Panamá (2015), Lima (2018) e Los Angeles (2022).
Como a Cúpula das Américas lida com temas diversos além da política tradicional?;Integra uma agenda ampla incluindo direitos humanos, educação, justiça, trabalho, telecomunicações, agricultura, igualdade de gênero, ciência, cultura, desenvolvimento sustentável, saúde, turismo, luta contra terrorismo, corrupção, defesa, energia e transporte.
Quem atua como presidente e vice-presidente do processo das Cúpulas das Américas?;A nação anfitriã da Cúpula atua como presidente do processo, enquanto o país que sediou a Cúpula anterior é vice-presidente.
Quais mecanismos promovem a implementação dos mandatos adotados nas Cúpulas das Américas?;O Grupo de Revisão da Implementação de Cúpulas (SIRG) e o Sistema de Acompanhamento das Cúpulas das Américas (Follow-up System).
O que é o Summit Implementation Review Group (SIRG) e qual sua função?;Criado em 1995, é um órgão administrativo formado por coordenadores nacionais que se reúnem três vezes por ano para analisar e informar sobre a implementação dos acordos das Cúpulas, reportando à Assembleia Geral da OEA.
Quais são os dois órgãos consultivos que auxiliam o SIRG?;O Comitê de Direção (Steering Committee), composto pelos países sedes da Cúpula em formato de troika (passado, presente e futuro), e o Conselho Executivo (Executive Council), que assessora e fortalece iniciativas futuras, incluindo representantes de CARICOM, CAN, América Central e Grupo do Rio.
Quais entidades externas participam do Conselho Executivo das Cúpulas das Américas?;Comunidade do Caribe (CARICOM), Comunidade Andina (CAN), América Central e Grupo do Rio, além de representantes de alguns países das Américas.
Qual a importância da Declaração da Cúpula de Quebec (2001)?;Estabeleceu o compromisso hemisférico para enfrentar problemas e desafios do continente, buscando integração, responsabilidade coletiva e melhoria do bem-estar econômico e segurança dos povos das Américas, além da criação oficial do Secretariado das Cúpulas das Américas.
Que atores externos, além dos governos, participam do Processo de Cúpulas?;Banco Mundial, bancos regionais, agências de cooperação e a sociedade civil, por meio de fóruns da juventude, sociedade civil e CEOs das Américas.
Qual o calendário recente do SIRG para acompanhamento da IX Cúpula das Américas?;Em reunião ministerial à margem da 52ª Assembleia Geral da OEA, foi aprovado o calendário de seguimento dos compromissos da IX Cúpula, incluindo reunião ministerial prevista para junho de 2023 na 53ª Assembleia Geral.
O que é o Summit of the Americas Implementation and Follow-up System (SISCA) e qual sua função?;É um sistema online que permite acompanhar resultados, acessar informações e realizar consultas públicas, além de proporcionar um fórum interativo onde governos e entidades acompanham metas e progressos dos mandatos das Cúpulas das Américas.
O que é o Joint Summit Working Group (JSWG) e quando foi criado?;Criado em Quebec, em 2001, é um grupo formado por treze instituições do processo da Cúpula das Américas que oferece auxílio técnico, promove projetos e facilita negociações entre participantes para criar sinergia e sincronizar esforços.
Quais são algumas das instituições que compõem o Joint Summit Working Group (JSWG)?;OEA, Banco Interamericano de Desenvolvimento (BID), CEPAL, CELAC, OPAS, IICA, Banco de Desenvolvimento da América Latina (CAF), OIT e OCDE, entre outras.
Qual a importância do Secretariado da OEA para o JSWG?;O Secretariado da OEA serve como sede do JSWG, apoiando seu funcionamento técnico e político.
Qual foi o contexto político da IX Cúpula das Américas em Los Angeles (2022)?;Após a ausência do presidente Trump na VIII Cúpula (Lima, 2018), o presidente Biden buscou reafirmar a liderança dos EUA e reaproximar os países do continente.
Qual foi o tema central da IX Cúpula das Américas (2022)?;“Construindo um futuro sustentável, resiliente e equitativo”, baseado em cinco pilares principais.
Quais são os cinco pilares da IX Cúpula das Américas?;"1) Saúde e resiliência das Américas; 2) Nosso futuro verde; 3) Acelerando a transição para energia limpa; 4) Transformação digital; 5) Governança democrática."
O que envolve o pilar “Saúde e resiliência das Américas” da IX Cúpula?;"Fortalecer serviços de saúde para comunidades remotas e marginalizadas, prevenção e preparo para pandemias, com financiamento de US$ 1 bilhão; criação da Americas Health Corps para treinar 500 mil profissionais em saúde pública em cinco anos."
Quais compromissos fazem parte da declaração “Nosso Futuro Verde Sustentável”?;Implementar a Declaração sobre Florestas e Uso da Terra de Glasgow, desenvolver planos nacionais e regionais com participação da sociedade civil e setor privado, além da Parceria EUA-Caribe para energia limpa, a Declaração para Proteção ao Oceano e US$ 50 bilhões para projetos verdes nos próximos cinco anos.
O que prevê a declaração “Acelerando a Transição Energética, Limpa, Sustentável, Renovável e Justa”?;Reforça compromissos do Acordo de Paris, do Pacto do Clima de Glasgow e da Agenda 2030 para promover energia eficiente, renovável, sustentável e reduzir emissões de gases do efeito estufa, visando emissões líquidas zero até 2050 conforme legislação de cada Estado.
Quais são os focos da Agenda Regional para Transformação Digital?;Compromisso com abertura e transformação digital governamental, cibersegurança, crescimento econômico, competitividade, ecossistemas digitais e conectividade.
Que investimento o Google anunciou na IX Cúpula para a América Latina?;Investimento de US$ 1,2 bilhão para os próximos cinco anos em infraestrutura, capacitação digital e empreendedorismo, parte por meio da organização filantrópica do Google e parte destinada à ONG Pro Mujer e a organizações que protegem a biodiversidade na Floresta Amazônica.
Qual o objetivo do Plano de Ação Interamericano sobre Governança Democrática?;Ressaltar os princípios entre democracia e direitos humanos, democracia e desenvolvimento sustentável, além de promover transparência e compromissos anticorrupção.
Quais eventos paralelos ocorreram durante a IX Cúpula das Américas?;8º Fórum da Sociedade Civil, 6º Fórum dos Jovens das Américas e 4ª Cúpula de CEOs das Américas.
O que é a Parceria das Américas para Prosperidade Econômica anunciada na IX Cúpula?;Uma iniciativa dos EUA para aprofundar cooperação econômica baseada em valores compartilhados, focada no fortalecimento de cadeias de suprimento, energia limpa e comércio inclusivo, com negociações formais previstas para outubro.
O que é a iniciativa Cities Forward e qual seu propósito?;Projeto do Departamento de Estado dos EUA para enfrentar desafios urbanos de sustentabilidade, equidade e resiliência, criando empregos e inovação, conectando cidades dos EUA e América Latina com participação do setor privado, sociedade civil e agências multilaterais.
Qual a finalidade da Declaração de Los Angeles sobre Migração e Proteção?;Promover migração segura, regular e humana, fortalecer estruturas internacionais de proteção e cooperação, estabelecer metas para programas de trabalhadores temporários e apoio a comunidades afetadas pela migração, refletindo estruturas de resposta à migração venezuelana em países como Colômbia e Equador.
O que é o Corpo de Serviço da América Central (CASC) e qual o investimento previsto?;Iniciativa de US$ 50 milhões anunciada para oferecer oportunidades de serviços comunitários pagos a jovens em El Salvador, Guatemala e Honduras, visando enfrentar causas da migração, com apoio de treinamento e orientação do setor privado.
Quais compromissos financeiros foram anunciados para o Call to Action na IX Cúpula?;US$ 1,9 bilhão novos compromissos do setor privado dos EUA para criar oportunidades econômicas na América Central, totalizando US$ 3,2 bilhões desde 2021, para engajar o setor privado no desenvolvimento regional.
O que destaca a Declaração dos Produtores Agrícolas da Cúpula das Américas?;Reforça o papel da agricultura e insumos agrícolas na segurança alimentar mundial pós-COVID-19, com compromisso dos países em maximizar cadeias de insumos, prestar ajuda humanitária, melhorar acesso e uso de fertilizantes.
Por que o governo Biden não convidou Nicarágua, Cuba e Venezuela para a IX Cúpula das Américas?;Por defender valores democráticos e direitos humanos, Biden não estendeu convite a esses países, como forma de pressão política, representando um retrocesso em relação à aproximação ocorrida na era Obama, especialmente com Cuba.
Qual foi a reação do presidente mexicano López Obrador à exclusão de alguns países na Cúpula?;"López Obrador não compareceu pessoalmente à Cúpula, criticando a política de exclusão praticada há tempos pelos EUA; foi acompanhado pelos presidentes de Honduras e Guatemala."
Qual foi a justificativa do presidente boliviano para não participar da IX Cúpula das Américas?;Alegou a falta de engajamento de todos os países para justificar sua ausência na Cúpula.
Como reagiram os governos excluídos da IX Cúpula?;Manifestações de protesto foram feitas, denunciando o fracasso da Cúpula devido à exclusão política.
Que tipo de manifestação ocorreu contra o tratamento dos migrantes durante a IX Cúpula?;"Uma caravana de migrantes saiu de Tapachula (México), percorrendo cerca de 3.000 km a pé para protestar contra abusos; a Human Rights Watch denunciou maus-tratos a esses migrantes."
Quais problemas econômicos o presidente Jair Bolsonaro destacou em seu discurso na IX Cúpula?;Mencionou inflação e desemprego como principais problemas enfrentados pelos países da região.
Que liberdades o presidente Bolsonaro ressaltou em seu discurso na Cúpula?;Destacou a liberdade de expressão, de trabalho e de culto religioso no Brasil.
Como o Brasil se posicionou em relação à segurança alimentar mundial na IX Cúpula?;Bolsonaro ressaltou o papel do Brasil na segurança alimentar global, destacando sua contribuição.
Qual programa ambiental o presidente Bolsonaro apresentou na IX Cúpula?;Lançou o Programa Metano Zero, com objetivo de reduzir em 30% a emissão total de metano no Brasil, compromisso assumido durante a COP26.
Que destaque Bolsonaro fez sobre a matriz energética brasileira?;Evidenciou a grande participação de energia renovável na matriz energética do Brasil.
Quais acordos de cooperação energética o Brasil confirmou na IX Cúpula?;Confirmou compromissos de colaboração no setor energético com Argentina, Guiana, Suriname e Bolívia.
Qual o objetivo principal da criação da Conferência Ibero-Americana em 1991?;Estimular avanços políticos, econômicos e culturais comuns, fomentar cooperação ampla, não seletiva e não discriminatória entre os países de língua espanhola e portuguesa, convertendo afinidades históricas em instrumento de unidade e desenvolvimento baseado no diálogo e solidariedade.
Quais valores e compromissos a Conferência Ibero-Americana busca promover?;Combate ao colonialismo, desenvolvimento econômico e social, direitos humanos, democracia, fortalecimento institucional, Direito Internacional, solução pacífica de controvérsias, promoção da educação e cultura.
Como a Conferência Ibero-Americana se relaciona com o fim da Guerra Fria?;Sua criação está ligada ao fim da bipolaridade da Guerra Fria, pois o desaparecimento da confrontação Leste-Oeste evidenciou o desnível entre Norte e Sul globais, o que motivou a cooperação entre países ibero-americanos.
Qual é o órgão principal da Conferência Ibero-Americana e com que frequência se reúne?;A Cúpula Ibero-Americana, que até 2014 foi anual, e atualmente é realizada bienalmente, sendo o fórum de mais alto nível para a tomada de decisões na Conferência.
Quem coordena a Cúpula Ibero-Americana e qual é sua função?;A secretaria pro tempore, composta pelo país anfitrião, em conjunto com a Secretaria-Geral Ibero-Americana (SEGIB), coordena a cúpula, convocando reuniões e preparando declarações e temas de discussão durante o mandato de dois anos.
Quais países compõem a secretaria pro tempore atualmente?;A República Dominicana foi secretária pro tempore até março de 2023, quando passou a função para o Equador.
Que instâncias existem abaixo da Cúpula Ibero-Americana para tratar de questões setoriais?;Reuniões ministeriais, reuniões dos Coordenadores Nacionais e Responsáveis de Cooperação, além de fóruns e encontros com empresários, sociedade civil, parlamentares e governos locais.
Quantos países são membros da Conferência Ibero-Americana e quais critérios caracterizam os membros?;São 22 países da América e Europa de língua espanhola e portuguesa, incluindo Andorra, Argentina, Brasil, Espanha, Portugal, entre outros, ligados por afinidades culturais e históricas comuns.
Quais são as categorias de observadores na Conferência Ibero-Americana?;Observadores Associados (Estados com afinidades linguísticas e culturais ou que contribuem significativamente) e Observadores Consultivos (organismos intergovernamentais que contribuem para o espaço ibero-americano).
Cite exemplos de países Observadores Associados na Conferência Ibero-Americana.;Hungria, Alemanha, Japão, França, Coreia do Sul, Bélgica, Itália, entre outros.
Quais organizações internacionais participam como Observadores Consultivos?;CPLP, ONU Mulheres, UNICEF, ALADI, CEPAL, PNUD, PNUMA, FAO, entre outras.
O que é necessário para que um país ou organização se torne observador na Conferência Ibero-Americana?;Apresentar petição à SEGIB e obter aprovação unânime dos Chefes de Estado e de Governo dos países-membros.
Qual foi o lema e principal foco da I Cúpula Ibero-Americana em Santo Domingo, 1991?;"""Construção de um fórum de encontro para avançar em um processo político, econômico e cultural comum"", criando a Conferência Ibero-Americana como espaço de concertação e cooperação."
Quais compromissos importantes foram assumidos na I Cúpula Ibero-Americana?;Defesa do Direito Internacional, desenvolvimento econômico e social, promoção da educação e cultura, reestruturação dos fóruns multilaterais (como ONU), combate ao narcotráfico, criação de fundo para povos indígenas (FILAC), combate à deterioração ambiental.
O que foi criado na II Cúpula Ibero-Americana (Madri, 1992) para promover cooperação na educação?;Programas de intercâmbio universitário (como MUTIS) e a Televisão Educativa e Cultural Ibero-Americana (TEIb), além do Fundo para o Desenvolvimento dos Povos Indígenas na América Latina e Caribe (FILAC).
Qual o tema central da III Cúpula Ibero-Americana, realizada em Salvador em 1993?;Desenvolvimento com ênfase no desenvolvimento social, promovendo intercâmbio de conhecimento, ciência e tecnologia, e início de políticas globais para controle do HIV/AIDS.
Qual foi o enfoque principal da IV Cúpula Ibero-Americana, em Cartagena, 1994?;Temas econômicos e desenvolvimento de uma Ibero-América mais igualitária, justa e sustentável, apoio à criação da OMC e fortalecimento de normas multilaterais de comércio, além de ações para inclusão social de populações indígenas.
O que marcou a V Cúpula Ibero-Americana (San Carlos de Bariloche, 1995) em termos de cooperação?;Convênio de cooperação para regular relações entre membros, estimular progresso econômico e social, participação cidadã, diálogo e solidariedade entre povos e governos ibero-americanos.
Qual organismo foi criado pela SEGIB para substituir a SECIB em 2005?;A Secretaria-Geral Ibero-Americana (SEGIB), que coordena a cooperação ibero-americana e as ações da Conferência.
Como o conceito de coesão social foi tratado na XVII Cúpula Ibero-Americana (Santiago, 2007)?;Foi definido como prioridade para enfrentar desigualdades, com foco na redução da concentração de renda, acesso a serviços públicos, combate à discriminação e promoção de respostas integrais e integradas para a coesão social.
Que estratégia de cooperação foi aprovada na XXI Cúpula Ibero-Americana (Assunção, 2011)?;A Estratégia da Cooperação Ibero-Americana, orientada ao fortalecimento da identidade ibero-americana e ao desenvolvimento cultural, científico, educativo, social e econômico, baseada na solidariedade e no compromisso voluntário.
Qual modalidade de cooperação é reconhecida nas diretrizes aprovadas em 2013 para a Cooperação Ibero-Americana?;A Cooperação Sul-Sul, incluindo a modalidade triangular, como importante instrumento para o desenvolvimento regional.
Qual é uma característica importante da cooperação ibero-americana renovada em relação à educação?;A educação é considerada essencial para a coesão da Comunidade Ibero-Americana e para o desenvolvimento da região.
Quais perspectivas foram incorporadas ao Sistema Ibero-Americano a partir da XV Cúpula (Salamanca, 2005)?;A perspectiva de gênero, a dimensão étnica e a transversalização da perspectiva de juventude, que ganhou ênfase a partir da XXIV Cúpula (Veracruz, 2014).
Quais são as três áreas prioritárias para a cooperação ibero-americana definidas na XXIV Cúpula (Veracruz, 2014)?;Espaço Ibero-Americano do Conhecimento (EIC), Espaço Ibero-Americano da Cultura (ECI) e Espaço Ibero-Americano de Coesão Social (EICS).
Como a cooperação ibero-americana se alinhou à partir de 2015 com relação aos Objetivos de Desenvolvimento Sustentável?;Passou a seguir os 17 ODS da Agenda 2030 da ONU por meio dos Planos de Ação Quatrienal da Cooperação Ibero-Americana (PACCI), que definem diretrizes e prioridades para concretizar objetivos estratégicos.
O que foi determinado na I Reunião de Ministros das Relações Exteriores (Cartagena, 2015) em relação ao PACCI?;Que a SEGIB desenvolveria um roteiro para elaboração do I PACCI (2015-2018), com prioridades e linhas de ação para as áreas estratégicas da cooperação ibero-americana.
Qual é o objetivo estratégico do I PACCI em relação ao Espaço Ibero-Americano da Cultura (ECI)?;Posicionar a cultura como eixo transversal ao desenvolvimento, com ações como o desenvolvimento e difusão do Código Ibero-Americano de Patrimônio Cultural.
Quando foi adotado o primeiro programa operacional anual do PACCI?;Em 2015, junto com a aprovação do I PACCI.
Qual foi o foco do II PACCI (2019-2022) aprovado na XXVI Cúpula Ibero-Americana (La Antigua, 2018)?;Aprofundar o alinhamento da cooperação ibero-americana à Agenda 2030 e aos ODS, ampliando as áreas de atuação e integração.
"O que é o ""Compromisso de Andorra sobre Inovação para o Desenvolvimento Sustentável""?";Um documento aprovado na XXVII Cúpula Ibero-Americana que compila diretrizes para inovação sustentável, elaborado durante as reuniões de 2019-2020, período da pandemia de COVID-19.
Qual foi o lema da XXVIII Cúpula Ibero-Americana (Santo Domingo, 2023)?;"""Juntos por uma Ibero-América justa e sustentável""."
Quem representou o Brasil na XXVIII Cúpula Ibero-Americana, e qual foi sua principal mensagem?;O chanceler Mauro Vieira representou o presidente Lula e destacou o papel do Brasil na integração regional, segurança alimentar, compromissos ambientais, aprovação do III PACCI, ingresso da CPLP como Observador Consultivo e repudiou a guerra na Ucrânia.
Quais documentos e compromissos foram aprovados na XXVIII Cúpula Ibero-Americana?;Carta de Princípios e Direitos Digitais, Carta Ambiental Ibero-Americana, Caminho Crítico para Segurança Alimentar Inclusiva e Sustentável, comunicados conjuntos e o III PACCI (2023-2026).
Quais áreas ganharam destaque no III PACCI (2023-2026)?;Saúde, cooperação jurídica, criação de oportunidades, desenvolvimento sustentável, igualdade de gênero e bilinguismo, alinhados à Agenda 2030.
Quais iniciativas regionais o Brasil se comprometeu a revitalizar segundo o discurso do ministro Mauro Vieira?;A Comunidade dos Estados Latino-Americanos e Caribenhos (CELAC) e a União de Nações Sul-Americanas (UNASUL).
Que evento empresarial ocorreu às margens da XXVIII Cúpula Ibero-Americana?;O XVI Encontro Empresarial Ibero-Americano, que reuniu mais de mil empresários da região.
