Qual é a principal fonte formal do Direito Internacional Público, segundo o Estatuto da Corte Internacional de Justiça?;Os tratados internacionais.
"O que é um ""sujeito internacional sui generis""?";É uma entidade que não se enquadra perfeitamente nas categorias tradicionais (ex.: Ordem de Malta).
"Os ""agentes internacionais"" (como enviados especiais) são sujeitos de DIP?";Não, são representantes de sujeitos, não sujeitos em si.
"O ""indivíduo"" pode ser considerado sujeito de DIP no direito penal internacional?";Sim, como sujeito passivo (vítima) e ativo (criminoso) de crimes internacionais.
"O que é o ""Tribunal Penal Internacional"" (TPI) e sua relação com os indivíduos?";É um tribunal que julga indivíduos por crimes de guerra, crimes contra a humanidade, genocídio e agressão.
O TPI é um sujeito de DIP?;Sim, é uma organização internacional com personalidade jurídica.
"Os ""tribunais penais internacionais ad hoc"" (ex.: TPI para a ex-Iugoslávia) são sujeitos de DIP?";Sim, são organizações internacionais com personalidade limitada.
"O que é a ""responsabilidade internacional do indivíduo""?";O indivíduo pode ser responsabilizado diretamente por crimes internacionais, independentemente de seu Estado.
"O que é a ""imprescritibilidade dos crimes internacionais""?";São crimes que não prescrevem, como o genocídio e os crimes contra a humanidade.
"Os ""refugiados"" são sujeitos de DIP?";São titulares de direitos (ex.: non-refoulement), mas não são sujeitos plenos.
O Alto Comissariado das Nações Unidas para os Refugiados (ACNUR) é um sujeito de DIP?;Sim, é uma organização internacional com personalidade jurídica.
"As ""ONGs"" têm personalidade jurídica internacional?";Não, regra geral. São sujeitos de direito interno, mas podem ter status consultivo na ONU.
"O que é o ""status consultivo"" da ONU para ONGs?";É a capacidade de participar de reuniões do ECOSOC, sem direito a voto.
O Greenpeace é um sujeito de DIP?;Não, é uma ONG, mas pode influenciar o DIP e participar de conferências.
"A ""Anistia Internacional"" é sujeito de DIP?";Não, é uma ONG, mas com atuação relevante no campo dos direitos humanos.
"Os ""Estados observadores"" na ONU são sujeitos de DIP?";Sim, são Estados com personalidade plena, mas sem direito a voto na AGNU.
A Palestina é um Estado observador na ONU?;Sim, desde 2012, tem status de Estado observador não membro.
A Palestina tem personalidade internacional plena?;Não, é um Estado parcialmente reconhecido, com personalidade limitada.
O Kosovo é um sujeito de DIP?;É um território com reconhecimento limitado, considerado sujeito por alguns Estados, mas não pela maioria.
A República de Chipre do Norte é um sujeito de DIP?;Não, é um território não reconhecido, sem personalidade internacional plena.
"O que é a ""secessão"" e sua relação com os sujeitos de DIP?";A secessão cria novos Estados, que devem ser reconhecidos para se tornarem sujeitos plenos.
"A ""Catalunha"" é sujeito de DIP?";Não, é uma região da Espanha, sem personalidade internacional.
"A ""Escócia"" é sujeito de DIP?";Não, é parte do Reino Unido, sem personalidade internacional.
"O ""Tibete"" é sujeito de DIP?";É uma região da China, sem personalidade internacional reconhecida.
"O que é a ""personalidade jurídica internacional das províncias"" na Argentina?";As províncias argentinas não têm personalidade internacional, apenas o Estado federal.
"O ""Canadá"" é um Estado federal; suas províncias têm personalidade internacional?";Limitada, em certas matérias, com autorização do governo federal.
"O que é a ""soberania limitada"" de alguns sujeitos?";É a capacidade reduzida de exercer direitos internacionais, como no caso de Estados sob tutela.
"Os ""territórios administrados pela ONU"" são sujeitos de DIP?";Sim, têm personalidade limitada, como a antiga Administração Transitória da ONU em Timor-Leste (UNTAET).
"A ""UNTAET"" (Timor-Leste) era um sujeito de DIP?";Sim, era uma administração internacional com personalidade para governar o território.
"O que é a ""personalidade jurídica das organizações financeiras internacionais""?";O FMI, o Banco Mundial e o BID têm personalidade internacional para seus fins.
"O que é o ""Banco Interamericano de Desenvolvimento"" (BID)?";É uma OI regional com personalidade jurídica, focada no desenvolvimento da América Latina.
"O que é a ""Organização Internacional do Trabalho"" (OIT)?";É uma OI com personalidade jurídica, que estabelece normas trabalhistas internacionais.
A OIT é um sujeito de DIP?;Sim, tem personalidade internacional.
"Os ""sindicatos"" são sujeitos de DIP?";Não, são sujeitos de direito interno, mas podem participar de órgãos da OIT.
"O que é a ""personalidade jurídica das comunidades religiosas"" no DIP?";Limitada, apenas a Santa Sé e a Ordem de Malta têm personalidade internacional.
"O ""Dalai Lama"" e o governo tibetano no exílio são sujeitos de DIP?";Não, não são reconhecidos internacionalmente.
"O que é o ""governo no exílio"" e sua personalidade?";É um governo que perdeu o controle de seu território, mas pode ser reconhecido como sujeito limitado (ex.: governo polonês em Londres).
O governo no exílio pode celebrar tratados?;Em regra, não, salvo se for reconhecido como o governo legítimo.
"A ""Liga Árabe"" é sujeito de DIP?";Sim, é uma organização internacional regional com personalidade jurídica.
"A ""União Africana"" é sujeito de DIP?";Sim, é uma organização internacional com personalidade para seus fins.
"A ""Organização dos Estados Americanos"" (OEA) é sujeito de DIP?";Sim, é uma OI regional com personalidade jurídica.
;
;
ual o rol das fontes formais do DIP segundo o art. 38 do Estatuto da CIJ?;Tratados internacionais, costume internacional, princípios gerais de direito, jurisprudência e doutrina (como meios subsidiários).
Qual é a principal fonte do DIP na contemporaneidade?;Os tratados internacionais, em razão de sua precisão e crescente codificação.
O que é um tratado internacional?;É um acordo formal celebrado por escrito entre sujeitos de DIP, regido pelo DIP, com o objetivo de produzir efeitos jurídicos.
Qual a Convenção que codifica o direito dos tratados?;A Convenção de Viena sobre o Direito dos Tratados (1969), em vigor desde 1980.
"O que é o ""costume internacional""?";É uma prática geral e constante aceita como direito (opinio juris sive necessitatis), sendo fonte não escrita do DIP.
Quais são os dois elementos constitutivos do costume internacional?;O elemento material (prática geral e constante) e o elemento subjetivo (convicção de obrigatoriedade – opinio juris).
"O que são os ""princípios gerais de direito"" como fonte do DIP?";São princípios comuns aos grandes sistemas jurídicos do mundo, utilizados para preencher lacunas (ex.: boa-fé, coisa julgada).
A jurisprudência é fonte formal do DIP?;É fonte subsidiária, segundo o art. 38 do Estatuto da CIJ, auxiliando na determinação das regras de direito.
A doutrina é fonte formal do DIP?;É fonte subsidiária, sendo a opinião dos publicistas mais qualificados, utilizada como meio auxiliar.
"O que são os ""atos unilaterais dos Estados"" como fonte do DIP?";São declarações formais de um Estado que produzem efeitos jurídicos internacionais sem necessidade de concordância de outro (ex.: promessa, renúncia).
O ato unilateral vincula o Estado que o pratica?;Sim, desde que seja feito de forma pública, clara e com intenção de se obrigar (ex.: promessa de não construir mísseis).
"O que é a ""notificação"" como ato unilateral?";É a comunicação formal de um ato ou intenção a outro Estado, com efeitos jurídicos.
"O que é a ""protesto"" no DIP?";É a manifestação formal de um Estado contra um ato de outro, para preservar seus direitos.
"A ""renúncia"" (waiver) é um ato unilateral?";Sim, é a abdicação voluntária de um direito internacional, produzindo efeitos jurídicos.
Os atos das organizações internacionais são fontes do DIP?;Sim, especialmente as resoluções vinculantes (ex.: Resoluções do Conselho de Segurança da ONU).
As resoluções da Assembleia Geral da ONU são vinculantes?;Em regra, são recomendações (não vinculantes), mas podem refletir o direito costumeiro ou criar obrigações para os membros em certos casos.
"O que é a ""soft law""?";São instrumentos sem força vinculante, mas com relevância política e moral, que podem evoluir para direito costumeiro (ex.: Declaração Universal dos Direitos Humanos).
A soft law é fonte formal do DIP?;Não, mas é uma fonte material relevante, influenciando a formação do direito.
"O que são as ""obrigações erga omnes""?";São obrigações devidas por um Estado à comunidade internacional como um todo (ex.: proibição de genocídio).
"O que são as ""normas imperativas"" ou jus cogens?";São normas aceitas e reconhecidas pela comunidade internacional como inderrogáveis, não podendo ser afastadas por tratados (ex.: proibição da escravidão).
Um tratado que viole o jus cogens é válido?;Não, é nulo de pleno direito, conforme o art. 53 da Convenção de Viena de 1969.
Qual a diferença entre jus cogens e obrigações erga omnes?;"Jus cogens é a qualidade da norma (inderrogável); erga omnes é o efeito da obrigação (devida a todos). Toda norma de jus cogens gera obrigações erga omnes."
"O que é a ""analogia"" no DIP?";É a aplicação de uma regra a um caso não previsto, com base em semelhança com outro caso regulado.
A analogia é fonte formal do DIP?;Não, é um método de integração, permitido na ausência de fontes primárias.
"O que é a ""equidade"" no DIP?";É a aplicação da justiça do caso concreto, podendo ser usada como fundamento de decisão, se as partes concordarem.
A equidade pode ser usada pela CIJ?;Sim, desde que as partes concordem (ex aequo et bono), conforme o art. 38, §2º, do Estatuto da CIJ.
"O que são os ""atos de organizações internacionais"" como fontes?";São decisões, resoluções e recomendações adotadas por OIs, que podem ser vinculantes ou não.
As resoluções do Conselho de Segurança da ONU são vinculantes para todos os membros?;Sim, nos termos do art. 25 da Carta da ONU.
As resoluções da Assembleia Geral podem ser vinculantes?;Em geral não, mas podem ser vinculantes para questões internas da ONU (ex.: orçamento).
"O que é um ""acordo executivo"" (executive agreement) no DIP?";É um tratado celebrado pelo Chefe do Executivo, sem a aprovação do Legislativo, para matérias de sua competência exclusiva.
Os acordos executivos são válidos no DIP?;Sim, pois o DIP não exige um procedimento interno específico para a validade de um tratado.
No Brasil, os acordos executivos são admitidos?;Sim, em matérias que não exijam aprovação legislativa (ex.: acordos de cooperação técnica simples).
A jurisprudência da CIJ vincula os Estados?;As decisões da CIJ vinculam apenas as partes no caso concreto, mas têm grande autoridade como meio auxiliar.
"O que é o ""precedente"" no DIP?";Não há o princípio do stare decisis no DIP, mas as decisões da CIJ são frequentemente seguidas.
A doutrina é fonte de direito no Brasil?;"No plano interno, não é fonte formal; no DIP, é meio auxiliar, conforme o art. 38 da CIJ."
"O que é a ""incorporação de fontes extraconvencionais"" ao direito brasileiro?";É a recepção de normas consuetudinárias e princípios gerais do DIP pelo ordenamento interno, sem necessidade de incorporação formal.
O costume internacional é automaticamente incorporado no Brasil?;Sim, como regra geral, o costume internacional é aplicado automaticamente no Brasil, sem necessidade de ato de internalização.
Os princípios gerais do DIP são aplicados no Brasil?;Sim, como fonte supletiva, desde que não contrariem a Constituição.
O jus cogens é aplicado no Brasil?;Sim, como norma imperativa de DIP, prevalece sobre qualquer tratado ou lei interna.
A soft law tem efeitos no direito brasileiro?;Não tem força vinculante, mas pode ser usada como parâmetro interpretativo e político.
"O que é um ""tratado-contrato"" e um ""tratado-lei""?";"Tratado-contrato cria obrigações recíprocas entre poucos Estados; tratado-lei estabelece normas gerais de direito internacional."
Os tratados-lei são fontes formais de DIP?;Sim, e podem gerar costumes se adotados por muitos Estados.
"O que é a ""codificação"" do DIP?";É o processo de transformar o costume em tratado escrito, realizado pela Comissão de Direito Internacional (CDI) da ONU.
A Convenção de Viena de 1969 é um exemplo de codificação?;Sim, codifica o direito consuetudinário dos tratados.
"O que são as ""cláusulas de não vinculação"" em um tratado?";São cláusulas que permitem a um Estado não se obrigar a certa parte do tratado (reservas).
"O que é a ""reserva"" a um tratado?";É uma declaração unilateral feita por um Estado ao ratificar um tratado, excluindo ou modificando seus efeitos.
As reservas são admitidas em tratados de direitos humanos?;Sim, desde que não sejam incompatíveis com o objeto e propósito do tratado.
"O que é a ""interpretação de tratados"" e qual a regra geral?";É a busca do sentido do tratado, regida pelo art. 31 da Convenção de Viena: interpretação de boa-fé, segundo o sentido comum e o objeto e propósito.
A interpretação autêntica é aquela feita por quem?;Pelas próprias partes do tratado, por meio de acordos ou protocolos adicionais.
"O que é a ""interpretação evolutiva"" dos tratados?";É a interpretação que considera a evolução do DIP e das circunstâncias, sem necessidade de alteração do texto.
"O que é a ""aplicação provisória"" de um tratado?";É a aplicação antes da entrada em vigor, conforme o art. 25 da Convenção de Viena.
"O que é a ""entrada em vigor"" de um tratado?";É o momento em que o tratado começa a produzir efeitos, conforme o número de ratificações previsto.
"O que é a ""denúncia"" de um tratado?";É a retirada unilateral de um Estado de um tratado, conforme as regras do próprio tratado ou do art. 56 da CVDT.
"O que é a ""nulidade"" de um tratado?";É a invalidade do tratado por vícios (ex.: coação, erro, violação do jus cogens), conforme os arts. 46 a 53 da CVDT.
"O que é a ""extinção"" de um tratado?";O fim da vigência do tratado por cumprimento, denúncia, revogação, ou superveniência de norma de jus cogens.
"O que é o ""princípio da boa-fé"" na aplicação das fontes?";É a obrigação de cumprir os tratados e os costumes de maneira honesta e leal (pacta sunt servanda).
O que é o pacta sunt servanda?;É o princípio basilar do DIP segundo o qual os tratados devem ser cumpridos de boa-fé pelas partes.
O que é o rebus sic stantibus?;É a cláusula que permite a revisão ou extinção de um tratado se houver mudança fundamental nas circunstâncias.
O costume internacional pode modificar um tratado?;Sim, se houver prática posterior incompatível e opinio juris, pode-se formar um novo costume.
"O que é o ""tratado posterior"" e sua relação com o anterior?";O tratado posterior prevalece sobre o anterior, no que for incompatível, se as partes forem as mesmas (art. 30 da CVDT).
Como se resolve o conflito entre tratado e costume?;Pelo critério da especialidade (lex specialis) e da posterioridade (lex posterior).
"O que é a ""hierarquia das fontes"" no DIP?";Não há hierarquia rígida, mas o jus cogens está no topo. Tratados, costumes e princípios gerais estão no mesmo plano.
As resoluções da ONU podem criar obrigações para Estados não membros?;Em regra, não, mas podem refletir costume internacional, vinculando todos.
"O que é a ""doutrina dos publicistas"" no DIP?";São os escritos de autores renomados, citados como meio subsidiário para a determinação das regras de direito.
A doutrina pode ser fonte de criação de normas?;Sim, influencia a formação do costume e a interpretação de tratados.
"O que é a ""jurisprudência internacional"" e sua função?";São as decisões dos tribunais internacionais, que auxiliam na interpretação e formação do DIP.
As decisões da Corte Interamericana vinculam o Brasil?;Sim, o Brasil é membro e deve cumprir as sentenças da Corte IDH.
"O que são os ""atos jurídicos vinculantes"" da UE?";São regulamentos, diretivas e decisões, que têm força normativa direta nos Estados-membros.
Os regulamentos da UE são fontes de DIP?;Sim, são normas de direito derivado da União Europeia, com efeitos internacionais.
"O que é o ""direito derivado"" das organizações internacionais?";São as normas produzidas por uma OI com base em seu tratado constitutivo (ex.: resoluções, regulamentos).
"O que é o ""direito originário"" das organizações internacionais?";É o tratado constitutivo da organização, que estabelece sua estrutura e competências.
"O que é a ""incorporação do DIP costumeiro"" no Brasil?";Ocorre automaticamente, pois o costume é fonte direta do DIP, aplicado pelo Judiciário.
Os princípios gerais do DIP são incorporados no Brasil?;Sim, como normas supletivas, para preencher lacunas do direito interno.
O jus cogens é incorporado no Brasil com qual hierarquia?;Acima da Constituição? A doutrina majoritária entende que o jus cogens prevalece sobre qualquer norma interna, inclusive a CF.
A soft law pode ser usada pelo STF?;Sim, como argumento de autoridade e para interpretação de direitos fundamentais.
"O que é a ""analogia"" no DIP brasileiro?";É a aplicação de normas de DIP a casos não previstos, com base na semelhança.
A equidade pode ser usada pelo juiz brasileiro?;Sim, nas hipóteses legais (ex.: arbitragem) ou quando as partes concordarem.
"O que são os ""acordos de cavalheiros""?";São entendimentos políticos não escritos, sem força jurídica, classificados como soft law.
Os acordos de cavalheiros são fontes do DIP?;Não, não são fontes formais, pois não criam obrigações jurídicas.
"O que é a ""declaração interpretativa"" de um tratado?";É uma declaração unilateral que busca esclarecer o sentido de uma disposição, sem modificar seus efeitos.
A declaração interpretativa se distingue da reserva?;"Sim, a reserva modifica efeitos; a declaração interpretativa apenas esclarece."
"O que é a ""cláusula da nação mais favorecida"" (NMF)?";É uma cláusula que garante a um Estado o mesmo tratamento concedido a outro em um tratado comercial.
A cláusula NMF é uma fonte de direito?;É uma cláusula contratual prevista em tratados, não uma fonte autônoma.
"O que é o ""princípio da primazia do direito internacional"" no Brasil?";Não é absoluto, mas há posições que defendem a supremacia do DIP em matéria de direitos humanos.
A incorporação de um tratado no Brasil exige decreto legislativo e decreto executivo?;Sim, conforme o art. 84, VIII, e o art. 49, I, da CF.
O Decreto de promulgação é uma fonte de direito no Brasil?;É uma norma de direito interno que formaliza a incorporação do tratado.
O tratado não incorporado no Brasil pode ser invocado em juízo?;Não, pois não é norma interna, mas pode ser usado como fonte de interpretação.
"O que é a ""teoria da incorporação automática"" do DIP no Brasil?";É a tese de que os tratados, uma vez ratificados, são automaticamente aplicáveis, sem necessidade de decreto.
O STF adota a teoria da incorporação automática?;Não, adota o sistema de incorporação legislativa (decreto legislativo + decreto executivo).
"O que é a ""transformação"" do DIP em direito interno?";É a técnica de adaptação das normas internacionais por meio de lei interna.
"O que é a ""recepção"" do DIP no direito interno?";É a aplicação direta da norma internacional, sem transformação em lei interna.
O Brasil adota a transformação ou a recepção?;Adota a transformação para tratados (por meio de decreto) e a recepção para costumes.
"O que é o ""controle de convencionalidade"" no Brasil?";É o dever do juiz de verificar a compatibilidade da lei interna com os tratados de direitos humanos.
As normas de jus cogens são objeto de controle de convencionalidade?;Sim, prevalecem sobre qualquer lei interna.
"O que é o ""diálogo de fontes"" no DIP?";É a interação entre diferentes fontes (tratados, costumes, princípios) para uma aplicação harmônica.
"O que é a ""argumentação de princípios"" no DIP?";É o uso de princípios gerais para justificar decisões quando as fontes primárias são omissas.
A equidade pode suprir lacunas no DIP?;Sim, se as partes concordarem ou se o juiz for autorizado a decidir ex aequo et bono.
"O que é a ""codificação costumeira"" no DIP?";É a transformação de regras consuetudinárias em texto escrito, por meio de tratados.
A CDI (Comissão de Direito Internacional) tem papel na codificação?;Sim, é o órgão da ONU responsável por estudar e codificar o DIP.
"O que é a ""lex lata"" e a ""lex ferenda"" no DIP?";"Lex lata é o direito vigente; lex ferenda é o direito que se deseja criar."
A soft law pode se tornar lex lata?;Sim, por meio da formação de costume ou de tratado.
"O que é o ""princípio da precaução"" como fonte de DIP?";É um princípio geral (ambiental) que orienta a ação preventiva, mesmo sem certeza científica.
O princípio da precaução é fonte formal do DIP?;Não é fonte formal, mas é princípio geral aplicado em tratados ambientais.
"A ""jurisprudência da Corte de Haia"" é fonte do DIP?";É fonte subsidiária, servindo como meio auxiliar para a determinação do direito.
;
;
Qual é o princípio fundamental da Carta da ONU sobre solução de controvérsias?;A obrigação de resolver controvérsias internacionais por meios pacíficos, sem ameaça ou uso da força (art. 2º, §3º).
Quais são os meios diplomáticos (políticos) de solução pacífica?;Negociação, bons ofícios, mediação, investigação (inquérito) e conciliação.
Quais são os meios jurisdicionais (jurídicos) de solução pacífica?;Arbitragem e meios judiciais (Corte Internacional de Justiça e outros tribunais).
O que é a negociação direta?;É o meio mais simples, pelo qual as partes dialogam diretamente para resolver a controvérsia, sem a intervenção de terceiros.
A negociação é um meio obrigatório antes de outros meios?;Não, mas é o meio primário e recomendado pela Carta da ONU.
O que são os bons ofícios?;É a intervenção de um terceiro que facilita a comunicação entre as partes, sem propor soluções.
Os bons ofícios se distinguem da mediação?;"Sim, na mediação, o terceiro propõe soluções; nos bons ofícios, apenas aproxima as partes."
O que é a mediação?;É a intervenção de um terceiro que, com o consentimento das partes, propõe soluções para a controvérsia.
O mediador tem poder de impor uma solução?;Não, sua função é facilitar o acordo, sem força vinculante.
O que é a investigação (inquérito)?;É a apuração dos fatos por uma comissão imparcial, para esclarecer a controvérsia e facilitar a solução.
A investigação produz uma decisão vinculante?;Não, apenas estabelece os fatos, que podem ser usados em negociações posteriores.
O que é a conciliação?;É um procedimento em que uma comissão investiga os fatos e propõe uma solução (recomendação) às partes.
A recomendação da conciliação é vinculante?;Não, a conciliação é um meio político, com recomendações não obrigatórias.
Qual a diferença entre mediação e conciliação?;"A mediação é mais flexível e o terceiro atua como facilitador; a conciliação envolve uma comissão que propõe uma solução formal."
O que é a arbitragem?;É um meio jurisdicional pelo qual as partes submetem a controvérsia a um tribunal arbitral, cuja decisão (laudo) é vinculante.
A arbitragem é um meio judicial ou extrajudicial?;É um meio jurisdicional, mas não judicial (não integra o Poder Judiciário).
Qual a base jurídica da arbitragem no DIP?;A Convenção de Haia de 1899 e 1907 e a Convenção de Viena sobre Sucessão de Estados (para tratados).
"O que é o ""compromisso arbitral""?";É o acordo pelo qual as partes submetem uma controvérsia existente à arbitragem.
"O que é a ""cláusula compromissória""?";É a cláusula prevista em um tratado, pela qual as partes se comprometem a submeter futuras controvérsias à arbitragem.
O laudo arbitral tem força de coisa julgada?;Sim, é definitivo e vinculante para as partes, sem possibilidade de recurso, salvo anulação por vícios.
O Brasil já recorreu à arbitragem em disputas territoriais?;Sim, como na Questão de Palmas (arbitragem de Grover Cleveland) e na Questão do Amapá (arbitragem da Suíça).
O que é a Corte Internacional de Justiça (CIJ)?;É o principal órgão judicial da ONU, com sede em Haia, criado pela Carta da ONU (1945) e seu Estatuto.
Quais são as funções da CIJ?;Julgar controvérsias jurídicas entre Estados (contencioso) e emitir opiniões consultivas (consultivo).
Quem pode ser parte em um processo contencioso na CIJ?;Apenas Estados (sujeitos de DIP).
A CIJ tem jurisdição obrigatória para todos os Estados?;Não, apenas para os que aceitaram sua jurisdição, por declaração facultativa (art. 36, §2º, do Estatuto).
O Brasil aceitou a jurisdição obrigatória da CIJ?;Sim, por meio de declaração em 1948, com algumas reservas.
Como um Estado pode submeter um caso à CIJ?;Por notificação de acordo especial, por cláusula compromissória em tratado ou por declaração de aceitação da jurisdição obrigatória.
A sentença da CIJ é vinculante?;Sim, para as partes no litígio, e é definitiva (art. 59 do Estatuto).
A CIJ pode julgar casos envolvendo organizações internacionais?;Não, apenas Estados, salvo em opiniões consultivas.
"O que é a ""exceção preliminar"" na CIJ?";É a arguição de que a Corte não tem jurisdição ou que o pedido é inadmissível.
A CIJ pode conceder medidas provisórias (cautelares)?;Sim, para preservar os direitos das partes enquanto o mérito não é julgado (art. 41 do Estatuto).
A CIJ julga com base em quê?;Nos tratados, costumes, princípios gerais, jurisprudência e doutrina (art. 38 do Estatuto).
"O que é a ""competência consultiva"" da CIJ?";É a emissão de opiniões consultivas sobre questões jurídicas, a pedido da AGNU, do CS ou de outras OIs autorizadas.
As opiniões consultivas da CIJ são vinculantes?;Não, são consultivas, mas têm grande autoridade e influência no DIP.
"O que são os ""tribunais arbitrais ad hoc""?";São tribunais criados especificamente para julgar uma controvérsia, dissolvendo-se após o laudo.
O que é a Corte Permanente de Arbitragem (CPA)?;É uma instituição com sede em Haia, criada em 1899, que facilita a arbitragem, disponibilizando uma lista de árbitros.
A CPA é um tribunal ou uma instituição?;"É uma instituição, não um tribunal; oferece estrutura para arbitragens."
"O que é o ""Tribunal Internacional do Direito do Mar"" (TIDM)?";É um tribunal sediado em Hamburgo, criado pela CNUDM (1982), que julga disputas sobre o direito do mar.
O TIDM julga apenas Estados?;Sim, Estados-partes da CNUDM, e também entidades como a Autoridade Internacional dos Fundos Marinhos.
O Brasil reconhece a jurisdição do TIDM?;Sim, como parte da CNUDM.
"O que são os ""tribunais internacionais de direitos humanos""?";São cortes regionais (Corte Interamericana, Corte Europeia, Corte Africana) que julgam violações de direitos humanos.
A Corte Interamericana de Direitos Humanos (CIDH) tem jurisdição sobre o Brasil?;Sim, desde 1998, com reconhecimento da competência contenciosa.
As sentenças da Corte IDH são vinculantes para o Brasil?;Sim, e devem ser cumpridas pelo Estado brasileiro.
"O que é o ""Tribunal Penal Internacional"" (TPI)?";É um tribunal permanente, com sede em Haia, que julga indivíduos por genocídio, crimes contra a humanidade, crimes de guerra e agressão.
O TPI julga Estados ou indivíduos?;Indivíduos (pessoas físicas).
O Brasil é membro do TPI?;Sim, ratificou o Estatuto de Roma em 2002.
"O que é o ""Princípio da Complementaridade"" do TPI?";O TPI só atua quando os Estados não querem ou não podem julgar os crimes.
"O que são os ""tribunais penais internacionais ad hoc""?";Foram criados para julgar crimes específicos (ex.: TPI para a ex-Iugoslávia e para Ruanda).
"O que é a ""Corte de Justiça da União Europeia""?";É o tribunal da UE, que julga questões de direito comunitário, com sede em Luxemburgo.
A Corte da UE julga Estados-membros?;Sim, por descumprimento de obrigações comunitárias.
"O que é o ""Mecanismo de Solução de Controvérsias"" da OMC?";É o sistema da OMC para resolver disputas comerciais entre membros, com painéis e órgão de apelação.
O Brasil participa ativamente do sistema da OMC?;Sim, é um dos maiores usuários do sistema de solução de controvérsias.
"O que é a ""prática diplomática brasileira"" em solução de controvérsias?";O Brasil prioriza a negociação, a mediação e a arbitragem, com forte tradição pacifista e legalista.
O Brasil tem tradição em arbitragem?;Sim, desde o Império, com a arbitragem na Questão de Palmas (1895) e outras.
O Brasil já foi parte em casos perante a CIJ?;Sim, em casos como o litígio sobre o Lago de Constança (não contencioso) e outros.
"O que é a ""Questão de Palmas"" (1895) para a prática brasileira?";Foi uma arbitragem bem-sucedida (com o Presidente dos EUA) que consolidou a fronteira com a Argentina.
"O que é a ""Questão do Amapá"" (1900) para a prática brasileira?";Foi uma arbitragem com a França (Suíça), que deu o Amapá ao Brasil.
"O que é a ""Questão de Pirara"" (1904) para a prática brasileira?";Foi uma arbitragem com a Guiana Inglesa (Itália), que deu a região à Inglaterra.
O Brasil já usou a mediação para resolver conflitos?;Sim, como na mediação na Guerra do Peru e Equador (1941) e em outros conflitos regionais.
O Brasil é signatário da Convenção de Haia de 1907 sobre arbitragem?;Sim, e participa da Corte Permanente de Arbitragem (CPA).
"O que é a ""Cláusula Calvo"" e sua relação com a arbitragem?";A Cláusula Calvo veda a proteção diplomática, preferindo a solução local, mas não impede a arbitragem.
"O que é o ""Tratado de Itaipu"" e sua arbitragem?";Prevê arbitragem para questões de interpretação, embora nunca tenha sido utilizada.
"O Brasil tem adotado a ""arbitragem de investimentos"" (ICSID)?";Sim, o Brasil é signatário da Convenção de Washington (ICSID) desde 2002.
O que é o Centro Internacional para Arbitragem de Disputas sobre Investimentos (ICSID)?;É um órgão do Banco Mundial que arbitra disputas entre investidores e Estados.
O Brasil tem aderido a tratados de investimento com cláusulas de arbitragem?;Sim, e também tem firmado acordos de cooperação e facilitação de investimentos (ACFIs).
"O que são os ""painéis de investigação"" na OMC?";São grupos de especialistas que apuram os fatos em disputas comerciais.
"O que é o ""Órgão de Apelação"" da OMC?";É o tribunal de apelação do sistema da OMC, que revisa as decisões dos painéis.
A CIJ pode julgar casos de direitos humanos?;"Não diretamente, pois julga Estados; mas pode analisar violações de tratados de direitos humanos."
"O que é a ""exceção de coisa julgada"" na CIJ?";A decisão da CIJ é definitiva e não pode ser revista, salvo por novo fato superveniente.
"O que é a ""intervenção de terceiros"" na CIJ?";Um Estado pode intervir em um caso se tiver interesse jurídico na decisão (art. 62 do Estatuto).
A CIJ pode julgar casos envolvendo países que não aceitaram sua jurisdição?;Sim, se o fizerem por acordo especial (compromisso).
"O que é o ""princípio da solução pacífica"" na CF/88?";Está no art. 4º, VII, como princípio das relações internacionais do Brasil.
A prática diplomática brasileira prefere a solução política ou jurídica?;O Brasil combina ambas, mas tem forte tradição jurídica e arbitral.
O Brasil já atuou como mediador em conflitos na América do Sul?;Sim, como na crise entre Peru e Equador (1995) e entre Colômbia e Equador (2008).
"O que é a ""Comissão de Conciliação"" no DIP?";É um órgão criado para investigar e propor soluções, sem força vinculante.
"O que é a ""Comissão de Inquérito"" no DIP?";É um órgão para apurar os fatos de uma controvérsia, sem propor solução.
"O que é a ""Corte de Arbitragem Desportiva"" (CAS)?";É um tribunal que julga disputas esportivas, com sede em Lausanne.
A CAS é um tribunal internacional?;Sim, é um tribunal arbitral com sede na Suíça, reconhecido pelo DIP.
O Brasil já recorreu à CAS?;Sim, em disputas envolvendo atletas e confederações esportivas.
"O que é o ""Tribunal de Justiça da Comunidade dos Países de Língua Portuguesa""?";Não é um tribunal judicial, mas um órgão consultivo da CPLP.
"O Brasil participa da ""Corte Centro-Americana de Justiça""?";Não, pois é uma corte regional da América Central, da qual o Brasil não faz parte.
"O que é a ""Corte Europeia de Direitos Humanos""?";É um tribunal regional que julga violações da Convenção Europeia de Direitos Humanos.
O Brasil não faz parte da Corte Europeia (obviamente), mas sua jurisprudência influencia?;Sim, como fonte de interpretação.
"O que é a ""Corte Africana de Direitos Humanos e dos Povos""?";É o tribunal regional da África, criado pela União Africana.
O Brasil pode usar a jurisprudência da Corte Africana?;Como argumento de autoridade, sim.
"O que é a ""arbitragem de Estado a Estado"" no DIP?";É a arbitragem entre dois Estados sobre uma controvérsia qualquer, prevista em tratado.
"O que é a ""arbitragem entre investidor e Estado"" (ISDS)?";É a arbitragem permitida por tratados de investimento, pela qual o investidor demanda o Estado.
